Nama Makanan,Harga,Deskripsi,Waktu Scraping
Crispy Chicken Steak Potato with mushroom sauce,38.480,Crispy chicken steak with potato and mushroom sauce,2025-05-24 16:34:45
Rice Beef Sausage Egg with mushroom sauce,37.000,nasi sosis mini 3 dengan telur dan saus jamur premium,2025-05-24 16:34:45
Crispy Chicken Steak Rice with mushroom suce,38.480,nasi dengan steak ayam dan saus jamur premium. dijamin ketagihan,2025-05-24 16:34:45
Nasi Bistik Ayam +telor ceplok,37.000,Nasi bistik ayam dengan telor ceplok,2025-05-24 16:34:45
Nasi Bakar Ayam Suwir Special,25.900,nasi gurih + ayam suwir bumbu special,2025-05-24 16:34:45
Nasi Bakar Ikan Tuna Special,25.900,nasi gurih + tuna bumbu special,2025-05-24 16:34:45
Nasi Bakar Ikan Cakalang Special,25.900,nasi gurih +cakalang bumbu special,2025-05-24 16:34:45
nasi bakar cakalang + teri,27.520,nasi gurih + cakalang + teri medan,2025-05-24 16:34:45
nasi bakar Tuna + teri,27.520,nasi gurih + tuna + teri medan,2025-05-24 16:34:45
Nasi Bakar Ayam Suwir Special + Teri Medan,27.520,nasi gurih + ayam suwir bumbu special +campuran teri medan,2025-05-24 16:34:45
Nasi Bakar Ikan Cakalang Special,25.900,nasi gurih +cakalang bumbu special,2025-05-24 16:34:45
Nasi Bakar Ayam Suwir Special,25.900,nasi gurih + ayam suwir bumbu special,2025-05-24 16:34:45
nasi bakar cakalang + teri,27.520,nasi gurih + cakalang + teri medan,2025-05-24 16:34:45
Nasi Bakar Ayam Suwir Special + Teri Medan,27.520,nasi gurih + ayam suwir bumbu special +campuran teri medan,2025-05-24 16:34:45
Nasi Bakar Ikan Tuna Special,25.900,nasi gurih + tuna bumbu special,2025-05-24 16:34:45
nasi bakar Tuna + teri,27.520,nasi gurih + tuna + teri medan,2025-05-24 16:34:45
Rice Beef Sausage Egg with mushroom sauce,37.000,nasi sosis mini 3 dengan telur dan saus jamur premium,2025-05-24 16:34:45
Otak-Otak isi 4,25.000,otak-otak goreng,2025-05-24 16:34:45
Nasi Telor Pontiank,23.000,Crispy chicken steak with potato and mushroom sauce,2025-05-24 16:34:45
Crispy Chicken Steak Potato with mushroom sauce,38.480,nasi sosis mini 3 dengan telur dan saus jamur premium,2025-05-24 16:34:45
Rice Beef Sausage Egg with mushroom sauce,37.000,nasi dengan steak ayam dan saus jamur premium. dijamin ketagihan,2025-05-24 16:34:45
Crispy Chicken Steak Rice with mushroom suce,38.480,Nasi bistik ayam dengan telor ceplok,2025-05-24 16:34:45
Nasi Bistik Ayam +telor ceplok,37.000,otak-otak goreng,2025-05-24 16:34:45
Telor Ceplok Dadakan,13.000,otak-otak goreng,2025-05-24 16:34:45
Telor Dadar Dadakan,13.000,sosis mini premium rasa mantab,2025-05-24 16:34:45
Otak-Otak isi 2,13.000,sosis daging premium rasa mantab,2025-05-24 16:34:45
Otak-Otak isi 4,25.000,nasi gurih + ayam suwir bumbu special,2025-05-24 16:34:45
Sosis mini Kanzler isi 2,15.000,nasi gurih + tuna bumbu special,2025-05-24 16:34:45
Sosis mini Kanzler isi 4,28.000,nasi gurih +cakalang bumbu special,2025-05-24 16:34:45
Nasi Bakar Ayam Suwir Special,25.900,nasi bakar ati ampla,2025-05-24 16:34:45
Nasi Bakar Ikan Tuna Special,25.900,nasi bakar Usus,2025-05-24 16:34:45
Nasi Bakar Ikan Cakalang Special,25.900,nasi gurih + cumi bumbu special,2025-05-24 16:34:45
Nasi Bakar Ati Ampla Nagih,35.000,nasi gurih + cakalang + teri medan,2025-05-24 16:34:45
Nasi Bakar Usus Nagih,35.000,nasi gurih + tuna + teri medan,2025-05-24 16:34:45
Nasi Bakar Cumi Special,35.000,nasi gurih + ayam suwir bumbu special +campuran teri medan,2025-05-24 16:34:45
nasi bakar cakalang + teri,27.520,Nasi bakar Ati ampla + teri medan,2025-05-24 16:34:45
nasi bakar Tuna + teri,27.520,nasi bakar usus +ati ampla,2025-05-24 16:34:45
Nasi Bakar Ayam Suwir Special + Teri Medan,27.520,nasi gurih + cumi + teri medan,2025-05-24 16:34:45
Nasi bakar Ati ampla + teri medan,32.000,nasi gurih + ayam + cumi,2025-05-24 16:34:45
Nasi bakar Usus + ati ampla,32.000,nasi gurih + cumi + tuna,2025-05-24 16:34:45
nasi bakar cumi + teri,32.000,nasi gurih + cakalang + cumi,2025-05-24 16:34:45
nasi bakar ayam + cumi,32.000,Deskripsi tidak ditemukan,2025-05-24 16:34:45
nasi bakar cumi + tuna,32.000,Deskripsi tidak ditemukan,2025-05-24 16:34:45
nasi.bakar cakalang + cumi,32.000,Deskripsi tidak ditemukan,2025-05-24 16:34:45
