Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Ayam Geprek Saus Mayo Tanpa Nasi,26.775,"Ayam Geprek Dengan Balutan Saos Mayo + Lalapan,Sambel Bisa Request",https://food-cms.grab.com/compressed_webp/items/IDITE2022120700104295402/detail/menueditor_item_6cfa5afce77e448d86506de068df5c75_1670371755698908263.webp,2025-05-28 12:48:03
Paket Hemat,31.000,Nasi Ayam Geprek Stereoform Plus Es Teh,https://food-cms.grab.com/compressed_webp/items/IDITE2024011709570258661/detail/menueditor_item_f5b2f82f6c394927a7c2f7d0bede8465_1705485386536761180.webp,2025-05-28 12:48:03
Nasi Ayam Geprek Saus Mayonaise,28.050,"Nasi Ayam Geprek Dengan Balutan Saos Mayo + Lalapan,Sambel Bisa Request",https://food-cms.grab.com/compressed_webp/items/IDITE2022120700085897031/detail/menueditor_item_909856676b614166a4874dc12592b51a_1670371665074701724.webp,2025-05-28 12:48:03
Nasi Ayam Geprek Sambel Bawang,23.750,"Nasi + Ayam + kemasan box + Lalapan,Tuk Sambel Dan Tingkat Kepedasan Bisa request Level 0 - 15",https://food-cms.grab.com/compressed_webp/items/IDITE2020112013130741343/detail/6-CZBWDBB2A8C3N6_c3bf8f2c9f2c4c7ba17c5418e7ac34a4_1684736356553756155.webp,2025-05-28 12:48:03
Ayam Geprek Komplit Tanpa Nasi,21.375,Ayam + Lalapan + TukTingkat Kepedasan Bisa Request Level 0 - 15,https://food-cms.grab.com/compressed_webp/items/IDITE2020071600131047777/detail/6-CZBWDBB2A8C3N6_93dee503a93a4467a9217c41e6709ac4_1684736356390385659.webp,2025-05-28 12:48:03
Nasi Ayam Geprek Sambel Bawang,23.750,"Nasi + Ayam + kemasan box + Lalapan,Tuk Sambel Dan Tingkat Kepedasan Bisa request Level 0 - 15",https://food-cms.grab.com/compressed_webp/items/IDITE2020112013130741343/detail/6-CZBWDBB2A8C3N6_c3bf8f2c9f2c4c7ba17c5418e7ac34a4_1684736356553756155.webp,2025-05-28 12:48:03
Ayam Geprek Komplit Tanpa Nasi,21.375,Ayam + Lalapan + TukTingkat Kepedasan Bisa Request Level 0 - 15,https://food-cms.grab.com/compressed_webp/items/IDITE2020071600131047777/detail/6-CZBWDBB2A8C3N6_93dee503a93a4467a9217c41e6709ac4_1684736356390385659.webp,2025-05-28 12:48:03
Paket Hemat,31.000,Nasi Ayam Geprek Stereoform Plus Es Teh,https://food-cms.grab.com/compressed_webp/items/IDITE2024011709570258661/detail/menueditor_item_f5b2f82f6c394927a7c2f7d0bede8465_1705485386536761180.webp,2025-05-28 12:48:03
milk tea,12.000,milktea,https://food-cms.grab.com/compressed_webp/items/IDITE2023122403393497604/detail/menueditor_item_934f2661f9be4a2cb416eda89679b2d2_1703389103402883903.webp,2025-05-28 12:48:03
Nasi Putih,7.000,1Nasi Putih,https://food-cms.grab.com/compressed_webp/items/IDITE2020042101543820865/detail/menueditor_item_d8baa42ed6fd40afa58fd4fa6a340a4b_1588002796261665123.webp,2025-05-28 12:48:03
nutrisusu,12.000,nutrisari+susu,https://food-cms.grab.com/compressed_webp/items/IDITE2024030401591089773/detail/menueditor_item_643b51a029184810b6c2b9fa0669365c_1709517510467651802.webp,2025-05-28 12:48:03
Nasi Ayam Geprek Saus Mayonaise,28.050,"Nasi Ayam Geprek Dengan Balutan Saos Mayo + Lalapan,Sambel Bisa Request",https://food-cms.grab.com/compressed_webp/items/IDITE2022120700085897031/detail/menueditor_item_909856676b614166a4874dc12592b51a_1670371665074701724.webp,2025-05-28 12:48:03
Paket Hemat,31.000,Nasi Ayam Geprek Stereoform Plus Es Teh,https://food-cms.grab.com/compressed_webp/items/IDITE2024011709570258661/detail/menueditor_item_f5b2f82f6c394927a7c2f7d0bede8465_1705485386536761180.webp,2025-05-28 12:48:03
