Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Nasi Ayam Geprek Sambal Bawang,24.000,bisa reques sambal ijo / sambal bawang,https://food-cms.grab.com/compressed_webp/items/IDITE2022031502014848724/detail/082a6684254346528295664140277c76_1679276769767968288.webp,2025-05-28 10:16:18
Indomie Goreng Jumbo + Ayam Geprek Sambal Bawang,25.000,Nasi paru + Oseng daun singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2022031707285073984/detail/c4d0304192484029b37fba89182ad5e2_1679136505999128080.webp,2025-05-28 10:16:18
Lauk Ayam Geprek Sambal Bawang,18.000,Nasi paru + Oseng daun singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2022031501373975702/detail/1e60d1b56042473bb6a4301cba84745b_1679135603531225734.webp,2025-05-28 10:16:18
Nasi Ayam Geprek + Nugget,28.500,nasi paru + oseng daun singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2023081801073543787/detail/menueditor_item_a8ee6dba0768416387893113c28afa4a_1692320763542626541.webp,2025-05-28 10:16:18
Indomie jumbo + telor,18.000,Nasi kulit + Sambal,https://food-cms.grab.com/compressed_webp/items/IDITE2023012219222621891/detail/menueditor_item_726a9f3d6d2b4928b7c6a862772af4d3_1674415285760151462.webp,2025-05-28 10:16:18
Nasi Ayam Geprek Saus Keju,26.000,Nasi paru + oseng saung singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2022031502001287243/detail/menueditor_item_8d52161e072140489d608768304cc781_1647309588884474217.webp,2025-05-28 10:16:18
Indomie Goreng Jumbo,14.000,Nasi paru + Oseng daun singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2022031707194952672/detail/3f9c58a58b0b41b7b2d6fdb8e2666c0d_1677762662390526865.webp,2025-05-28 10:16:18
Nasi Paru Rica Sambal Bawang,29.500,bisa reques sambal ijo / sambal bawang,https://food-cms.grab.com/compressed_webp/items/IDITE2022112106580002025/detail/menueditor_item_97e141e6ffee4370ad5f81352c7294ff_1669013857191859022.webp,2025-05-28 10:16:18
Nasi Ayam Geprek Sambal Bawang,24.000,indomie goreng jumbo +ayam,https://food-cms.grab.com/compressed_webp/items/IDITE2022031502014848724/detail/082a6684254346528295664140277c76_1679276769767968288.webp,2025-05-28 10:16:18
Nasi Paru Rica Sambal Bawang,29.500,4 wings,https://food-cms.grab.com/compressed_webp/items/IDITE2022112106580002025/detail/menueditor_item_97e141e6ffee4370ad5f81352c7294ff_1669013857191859022.webp,2025-05-28 10:16:18
Nasi Paru Goreng Sambal Bawang,29.500,4 wings + saos sambal sachet,https://food-cms.grab.com/compressed_webp/items/IDITE2022112106443084136/detail/menueditor_item_63813bf646b4441a9adaea07b1925dbd_1669013048304930345.webp,2025-05-28 10:16:18
Nasi Ayam Geprek + Nugget,28.500,dilengkapi dengan saos sambal,https://food-cms.grab.com/compressed_webp/items/IDITE2023081801073543787/detail/menueditor_item_a8ee6dba0768416387893113c28afa4a_1692320763542626541.webp,2025-05-28 10:16:18
Nasi + Indomie jumbo + Telor,22.000,chicken skin + saos sambal sashet,https://food-cms.grab.com/compressed_webp/items/IDITE2023012219290634044/detail/menueditor_item_21fbfa67d0d247249304c922e768869b_1674415675960204880.webp,2025-05-28 10:16:18
Nasi Nugget Geprek,20.000,7000,https://food-cms.grab.com/compressed_webp/items/IDITE2023012219270084026/detail/menueditor_item_0a44a00db84a4ecfb69942e2577d0424_1674415589857711700.webp,2025-05-28 10:16:18
