Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
bebek goreng + nasi,28.000,sambal serundeng sambal pencit bumbu kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2022120907295704447/detail/IDITE2022120907295704447_a3ea23a261294c67ad369752a1e55c12_1684479745365401840.webp,2025-05-27 21:10:41
lalapan bebek goreng,20.000,"bebek goreng, sayur, tahun tempe, serundeng,sabal pedas+sambal pencit",https://food-cms.grab.com/compressed_webp/items/IDITE2022120908284766957/detail/IDITE2022120908284766957_e80bb3e2cbb24c78b647b5d33c0f25de_1684479745290356108.webp,2025-05-27 21:10:41
Ayam goreng+ Nasi,20.000,sambal tomat sambal pencit bumbu kuning sayur serundeng,https://food-cms.grab.com/compressed_webp/items/IDITE2022120907402888805/detail/IDITE2022120907402888805_cb154e176908410e935230c5006e3439_1684479744736066536.webp,2025-05-27 21:10:41
lele goreng + nasi,18.000,sambal bumbu lalapan serundeng,https://food-cms.grab.com/compressed_webp/items/IDITE2022120907485378690/detail/menueditor_item_ce2f1f570e6d404ebbfe1ae8d2adeb56_1670571845826139014.webp,2025-05-27 21:10:41
Nasi mujair,21.000,ada sambel ada sambel pencit serundeng bumbu kuning sayur,https://food-cms.grab.com/compressed_webp/items/IDITE2022121005540321649/detail/menueditor_item_182d8c98f3a64ffa963c08e26a679942_1670651556256038903.webp,2025-05-27 21:10:41
lalapan AYAM goreng,18.100,"Ayam goreng, serundeng,sambal pades, sambal pencit, sayur lalapan",https://food-cms.grab.com/compressed_webp/items/IDITE2022120908342894921/detail/IDITE2022120908342894921_6eb26c142c3b4e8ea6d21e00c8ce9687_1684479745797870078.webp,2025-05-27 21:10:41
TELOR DADAR,10.150,"telor dadar, serundeng, sayur sambal pencit sambal pedas",https://food-cms.grab.com/compressed_webp/items/IDITE2022120908225275363/detail/menueditor_item_d2d1899b7c4742c58e211c1dcb0c0079_1670574110894813395.webp,2025-05-27 21:10:41
"bebek bakar ,+ nasi",27.000,sambel serundeng sayur bumbu kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2023051515223737161/detail/menueditor_item_47c6e95e22074c9aa56a31f0d9a1455f_1745851482179415132.webp,2025-05-27 21:10:41
nasi mujair bakar,23.000,sambal kacang garam enak sekali,https://food-cms.grab.com/compressed_webp/items/IDITE2023051610331596472/detail/menueditor_item_a93e94fd6cf24dac8af16cf159068689_1745851131663830053.webp,2025-05-27 21:10:41
"bebek bakar ,+ nasi",27.000,sambel serundeng sayur bumbu kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2023051515223737161/detail/menueditor_item_47c6e95e22074c9aa56a31f0d9a1455f_1745851482179415132.webp,2025-05-27 21:10:41
lalapan mujair,18.000,ada sambel sambal pencit serundeng bumbu kuning sayur,https://food-cms.grab.com/compressed_webp/items/IDITE2022121005551369225/detail/menueditor_item_38932b4171a0437291b5d4eb4f4636d4_1670651674497102367.webp,2025-05-27 21:10:41
Nasi mujair,21.000,ada sambel ada sambel pencit serundeng bumbu kuning sayur,https://food-cms.grab.com/compressed_webp/items/IDITE2022121005540321649/detail/menueditor_item_182d8c98f3a64ffa963c08e26a679942_1670651556256038903.webp,2025-05-27 21:10:41
lalapan mujair bakar,18.000,nasi ayam goreng timun telor,https://food-cms.grab.com/compressed_webp/items/IDITE2022121004482593130/detail/menueditor_item_239365b0d2bb4df9b26f5cd9e84e5a97_1745851255545577483.webp,2025-05-27 21:10:41
