Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Bertiga Bubur Ayam Ori,36.000,Tiga porsi lebih hemat!,https://food-cms.grab.com/compressed_webp/items/IDITE2025020609525509228/detail/menueditor_item_6e083f67094741c6888115c4cf4e8443_1738838617614546369.webp,2025-05-28 10:00:04
Berlima Bubur Ayam Ori,60.000,"5 PORSI, LEBIH HEMAT!",https://food-cms.grab.com/compressed_webp/items/IDITE2022073123105742718/detail/menueditor_item_d9c3ddae0bf64c3c8a6e583c4583705d_1738838676471382749.webp,2025-05-28 10:00:04
Bubur Ayam tambah telur rebus,16.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi biasa dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan + sebutir telur rebus.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020701340710896/detail/menueditor_item_55c106fbfcff4a71a91711457efcd87b_1738892000140594428.webp,2025-05-28 10:00:04
Bubur Ayam tambah telur ceplok,16.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi biasa dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan + telur ceplok.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020701321165777/detail/menueditor_item_68c0519bc1e64e35ad1ee3b37891e7cf_1738891886050756587.webp,2025-05-28 10:00:04
Bubur Ayam JUMBO tambah telur rebus,17.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi jumbo dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan + sebutir telur rebus.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020701364488767/detail/menueditor_item_e1e6a9fe3cfd415cb4e3e5eeb64a10bb_1738892144438830088.webp,2025-05-28 10:00:04
Bubur Ayam JUMBO tambah telur ceplok,17.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi jumbo dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan + telur ceplok.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020701381243938/detail/menueditor_item_67b1679faabe4d18be72b4f8fc4083bc_1738892246263156015.webp,2025-05-28 10:00:04
Bubur Ayam Ori JUMBO,14.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi jumbo dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020609574269110/detail/menueditor_item_9eabc39dc1ff4a469c13838e3538120e_1738838719458779305.webp,2025-05-28 10:00:04
Bubur Ayam Ori,13.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi biasa dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020609563360578/detail/menueditor_item_af159f9b79e849198a38eb1b29cbe08d_1738838760344122343.webp,2025-05-28 10:00:04
Bubur Ayam Ori JUMBO,14.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi jumbo dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020609574269110/detail/menueditor_item_9eabc39dc1ff4a469c13838e3538120e_1738838719458779305.webp,2025-05-28 10:00:04
Bubur Ayam Ori,13.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi biasa dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020609563360578/detail/menueditor_item_af159f9b79e849198a38eb1b29cbe08d_1738838760344122343.webp,2025-05-28 10:00:04
Bubur Ayam tambah telur rebus,16.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi biasa dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan + sebutir telur rebus.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020701340710896/detail/menueditor_item_55c106fbfcff4a71a91711457efcd87b_1738892000140594428.webp,2025-05-28 10:00:04
Bubur Ayam JUMBO tambah telur rebus,17.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi jumbo dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan + sebutir telur rebus.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020701364488767/detail/menueditor_item_e1e6a9fe3cfd415cb4e3e5eeb64a10bb_1738892144438830088.webp,2025-05-28 10:00:04
Bertiga Bubur Ayam Ori,36.000,Tiga porsi lebih hemat!,https://food-cms.grab.com/compressed_webp/items/IDITE2025020609525509228/detail/menueditor_item_6e083f67094741c6888115c4cf4e8443_1738838617614546369.webp,2025-05-28 10:00:04
Berlima Bubur Ayam Ori,60.000,"5 PORSI, LEBIH HEMAT!",https://food-cms.grab.com/compressed_webp/items/IDITE2022073123105742718/detail/menueditor_item_d9c3ddae0bf64c3c8a6e583c4583705d_1738838676471382749.webp,2025-05-28 10:00:04
Bubur Ayam JUMBO tambah telur ceplok,17.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi jumbo dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan + telur ceplok.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020701381243938/detail/menueditor_item_67b1679faabe4d18be72b4f8fc4083bc_1738892246263156015.webp,2025-05-28 10:00:04
Telur rebus,4.000,Tiga porsi lebih hemat!,https://food-cms.grab.com/compressed_webp/items/IDITE2022081422283991427/detail/b978925e4d714185ac44e004039a4ca0_1661318919589805928.webp,2025-05-28 10:00:04
Bertiga Bubur Ayam Ori,36.000,"5 PORSI, LEBIH HEMAT!",https://food-cms.grab.com/compressed_webp/items/IDITE2025020609525509228/detail/menueditor_item_6e083f67094741c6888115c4cf4e8443_1738838617614546369.webp,2025-05-28 10:00:04
Berlima Bubur Ayam Ori,60.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi biasa dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan + sebutir telur rebus.",https://food-cms.grab.com/compressed_webp/items/IDITE2022073123105742718/detail/menueditor_item_d9c3ddae0bf64c3c8a6e583c4583705d_1738838676471382749.webp,2025-05-28 10:00:04
Bubur Ayam tambah telur rebus,16.000,"TOPPING SELALU DIPISAH. Bubur ayam porsi biasa dengan isi ayam suwir, cakwe, kacang goreng, kulit pangsit goreng, seledri dan bawang goreng. Dilengkapi dengan kerupuk, kuah dan sendok makan + telur ceplok.",https://food-cms.grab.com/compressed_webp/items/IDITE2025020701340710896/detail/menueditor_item_55c106fbfcff4a71a91711457efcd87b_1738892000140594428.webp,2025-05-28 10:00:04
