Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Bakpao Ayam Teriyaki,14.500,Isian daging cacah ayam lembut dan manis menggungah selera,https://food-cms.grab.com/compressed_webp/items/IDITE2022062000444606494/detail/menueditor_item_75448416268f45e79e38dc7777190764_1695732106678461208.webp,2025-05-28 10:07:23
Bakpao Cheese Smoked Beef,14.500,"Daging sapi asap yang lembut, dipadukan dengan keju leleh yang menggoda. Deskripsi ini dibuat oleh AI",https://food-cms.grab.com/compressed_webp/items/IDITE2025011722435353388/detail/menueditor_item_953233f3179347b3a777db1f28776135_1737166317414406844.webp,2025-05-28 10:07:23
Bakpao Kacang Hitam,14.500,Dibuat dari Kacang Hitam Pilihan,https://food-cms.grab.com/compressed_webp/items/IDITE2022062000490757034/detail/menueditor_item_f08f939408374962a06319620173697b_1695986717757824757.webp,2025-05-28 10:07:23
Bakpao Kacang Tanah,14.500,Kacang tanahnya gurih dan mantap,https://food-cms.grab.com/compressed_webp/items/IDITE2022062000474262991/detail/menueditor_item_18f677b9ba5b40b0bf09562f1e0f5d41_1695986829787041724.webp,2025-05-28 10:07:23
Bakpao Babi Charsiu,18.000,Daging Babi pilihan yang dimasak dengan aroma khas cita rasa charsiu,https://food-cms.grab.com/compressed_webp/items/IDITE2023092701404003906/detail/menueditor_item_128382dccc1b43aa8607e7c2a7ad064d_1695778802770715858.webp,2025-05-28 10:07:23
Bakpao Coklat,14.500,Coklat nya meleleh dan mantap,https://food-cms.grab.com/compressed_webp/items/IDITE2022092700183740425/detail/menueditor_item_c318580c506b4ac38cb415631aeae621_1695986359144885330.webp,2025-05-28 10:07:23
Bakpao Keju,14.500,Keju isi lelehannya nikmat tiada banding,https://food-cms.grab.com/compressed_webp/items/IDITE2022062000461360107/detail/menueditor_item_0f6e1c1e93364ad2bb45674db3c142c0_1695975146994454302.webp,2025-05-28 10:07:23
Fluffy Set,112.500,8 pcs Bakpao - Mix Rasa (Halal),https://food-cms.grab.com/compressed_webp/items/IDITE2022062000573176067/detail/menueditor_item_f4f59532387b4215b6128e55de8ba41e_1655686614054706849.webp,2025-05-28 10:07:23
Bakpao Gapit Polos,7.250,Bakpao polos gapit candice kulit lembut cocok dipadukan dengan hidangan apa saja,https://food-cms.grab.com/compressed_webp/items/IDITE2024083007155428995/detail/menueditor_item_4f9b27cf1c3e4920b8196fafc3c3e331_1725002119272465954.webp,2025-05-28 10:07:23
Bakpao Ayam Spesial,22.500,Berisi ayam isian jumbo dipadukan dengan telur asin,https://food-cms.grab.com/compressed_webp/items/IDITE2024082304364997678/detail/menueditor_item_9bcace1fa34542248543da4181941a1a_1724387806559507398.webp,2025-05-28 10:07:23
Bakpao Cheese Smoked Beef,14.500,"Daging sapi asap yang lembut, dipadukan dengan keju leleh yang menggoda. Deskripsi ini dibuat oleh AI",https://food-cms.grab.com/compressed_webp/items/IDITE2025011722435353388/detail/menueditor_item_953233f3179347b3a777db1f28776135_1737166317414406844.webp,2025-05-28 10:07:23
Bakpao Ayam Pedas,14.500,Bakpao lembut isi ayam pedas yang menggugah selera. Deskripsi ini dibuat oleh AI,https://food-cms.grab.com/compressed_webp/items/IDITE2024110422523711423/detail/menueditor_item_2d37dc75617844c3b564a447cd6a79ab_1730760753088592967.webp,2025-05-28 10:07:23
Bakpao Kacang Pandan,14.500,Dibuat dari kacang beraroma pandan yang harum dan menggugah selera,https://food-cms.grab.com/compressed_webp/items/IDITE2023101102241051868/detail/menueditor_item_5153a46a5def480393d9cbb86aa0c8cd_1696991005888464727.webp,2025-05-28 10:07:23
Bakpao Coklat,14.500,Coklat nya meleleh dan mantap,https://food-cms.grab.com/compressed_webp/items/IDITE2022092700183740425/detail/menueditor_item_c318580c506b4ac38cb415631aeae621_1695986359144885330.webp,2025-05-28 10:07:23
Bakpao Kacang Hijau,14.500,Kc hijau gurih dan nikmat,https://food-cms.grab.com/compressed_webp/items/IDITE2022092700180233671/detail/menueditor_item_7cc88bdcec784f84a6198d0e915b9a3f_1695986593428984828.webp,2025-05-28 10:07:23
Bakpao Kacang Hitam,14.500,Dibuat dari Kacang Hitam Pilihan,https://food-cms.grab.com/compressed_webp/items/IDITE2022062000490757034/detail/menueditor_item_f08f939408374962a06319620173697b_1695986717757824757.webp,2025-05-28 10:07:23
Bakpao Kacang Tanah,14.500,Kacang tanahnya gurih dan mantap,https://food-cms.grab.com/compressed_webp/items/IDITE2022062000474262991/detail/menueditor_item_18f677b9ba5b40b0bf09562f1e0f5d41_1695986829787041724.webp,2025-05-28 10:07:23
Bakpao Keju,14.500,Keju isi lelehannya nikmat tiada banding,https://food-cms.grab.com/compressed_webp/items/IDITE2022062000461360107/detail/menueditor_item_0f6e1c1e93364ad2bb45674db3c142c0_1695975146994454302.webp,2025-05-28 10:07:23
Bakpao Ayam Teriyaki,14.500,Isian daging cacah ayam lembut dan manis menggungah selera,https://food-cms.grab.com/compressed_webp/items/IDITE2022062000444606494/detail/menueditor_item_75448416268f45e79e38dc7777190764_1695732106678461208.webp,2025-05-28 10:07:23
Paketan Gapit Polos Hemat,70.000,"Berisi 10 pcs bakpao gapit polos Khas Candice, Nikmati bakpao lembut dengan cita rasa autentik",https://food-cms.grab.com/compressed_webp/items/IDITE2024092201160480799/detail/menueditor_item_7e9b31100e604e1dab344a59ede18a6e_1726967643050475698.webp,2025-05-28 10:07:23
Yummy Set,140.000,10 Pcs Bakpao - Mix Rasa (Halal),https://food-cms.grab.com/compressed_webp/items/IDITE2022062000582571539/detail/menueditor_item_f2b0c3fb834a42f0a788ef3821911238_1655686675464313102.webp,2025-05-28 10:07:23
Fluffy Set,112.500,8 pcs Bakpao - Mix Rasa (Halal),https://food-cms.grab.com/compressed_webp/items/IDITE2022062000573176067/detail/menueditor_item_f4f59532387b4215b6128e55de8ba41e_1655686614054706849.webp,2025-05-28 10:07:23
Healthy Set,70.000,5 pcs Bakpao - Mix Rasa ( Kec. Babi),https://food-cms.grab.com/compressed_webp/items/IDITE2022062000554161253/detail/menueditor_item_203541ddf8a349b69311a9f5b8b31115_1655686500101260755.webp,2025-05-28 10:07:23
Bakpao Babi Charsiu,18.000,Daging Babi pilihan yang dimasak dengan aroma khas cita rasa charsiu,https://food-cms.grab.com/compressed_webp/items/IDITE2023092701404003906/detail/menueditor_item_128382dccc1b43aa8607e7c2a7ad064d_1695778802770715858.webp,2025-05-28 10:07:23
