Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Ayam Kecap Hongkong,33.000,"Ayam Dimasak Dengan Bumbu Kecap Special, Sudah Include Nasi Dan Telur",https://food-cms.grab.com/compressed_webp/items/IDITE2024021705042598227/detail/menueditor_item_7784426a4c80497b9f48683c19516681_1708146214318548619.webp,2025-05-27 21:06:27
Ayam goreng saos madu,33.000,Paket Ayam Goreng Dengan Perpaduan Dari Bumbu Dan Madu Cocok Bagi Yang Menyukai Rasa Manis,https://food-cms.grab.com/compressed_webp/items/IDITE2024022103572781280/detail/menueditor_item_e8d46518843b458881f2e9f4245c36f2_1712191715642083051.webp,2025-05-27 21:06:27
Spicy Chicken Satay,33.000,"Ayam Fillet Dimasak Dengan Bumbu Rempah Yang Nikmat Dan Sedikit Pedas, Dilengkapi Dengan Nasi Putih Hangat Dan Telur.",https://food-cms.grab.com/compressed_webp/items/IDITE2024021704560225739/detail/menueditor_item_d6985fe894554fcbb048093196af3886_1708145657355750951.webp,2025-05-27 21:06:27
Sweet n Spicy Chicken (Gochujang),45.000,Hanya Lauk Ayamnya Saja,https://food-cms.grab.com/compressed_webp/items/IDITE2024041105553982968/detail/menueditor_item_5bf815cab2ce4ff991178981d24b8eb6_1712814882952644505.webp,2025-05-27 21:06:27
Ayam Goreng Daun Pandan,33.000,"Paket Nasi Dengan Bumbu Ayam Goreng Daun Pandan Yang Wangi Dan Nikmat, Lengkap Dengan Telur Dan Sambal",https://food-cms.grab.com/compressed_webp/items/IDITE2024021704574283852/detail/menueditor_item_935d414debea4e56a4db0bc51fafb86b_1708145809848788997.webp,2025-05-27 21:06:27
Garlic butter rice chicken,33.000,Sudah dengan nasi + telur + ayam garlic butter saus,https://food-cms.grab.com/compressed_webp/items/IDITE2024083008075085795/detail/menueditor_item_58d05fced544409ead1432972eaa4a0c_1725005150188428079.webp,2025-05-27 21:06:27
Chicken Mushroom Sauce,33.000,Nasi Ayam Crispy Yang Disiram Dengan Saus Jamur Disajikan Dengan Telur Dan Sambal Yang Nikmat,https://food-cms.grab.com/compressed_webp/items/IDITE2024021616434424322/detail/menueditor_item_32026295acb745769e636b53934ecef7_1708101394494563215.webp,2025-05-27 21:06:27
Sweet n Spicy Chicken (Gochujang),36.000,Paket Nasi Plus Ayam Goreng Fillet Yang Dimasak Dengan Gochujang Dengan Rasa Manis Yang Dominan,https://food-cms.grab.com/compressed_webp/items/IDITE2024041105523484649/detail/menueditor_item_6e7e758147404221bd14a8f90f354014_1712814712450752738.webp,2025-05-27 21:06:27
Yamie manis,25.000,"Mie yamie manis dengan daging ayam, bawang goreng, dan sayuran.",https://food-cms.grab.com/compressed_webp/items/IDITE2024120804241398930/detail/menueditor_item_c4ac88c7e1e74558a6c3f17961981843_1733631789947048996.webp,2025-05-27 21:06:27
Yamie original,25.000,Mie yamie lezat dengan daging ayam cincang dan sayuran,https://food-cms.grab.com/compressed_webp/items/IDITE2024120804223648275/detail/menueditor_item_014f183dcb7b4ee2ad254b79b9a8ae2e_1733631653427229041.webp,2025-05-27 21:06:27
Sweet n Spicy Chicken (Gochujang),36.000,Paket Nasi Plus Ayam Goreng Fillet Yang Dimasak Dengan Gochujang Dengan Rasa Manis Yang Dominan,https://food-cms.grab.com/compressed_webp/items/IDITE2024041105523484649/detail/menueditor_item_6e7e758147404221bd14a8f90f354014_1712814712450752738.webp,2025-05-27 21:06:27
Ayam Kecap Hongkong,33.000,"Ayam Dimasak Dengan Bumbu Kecap Special, Sudah Include Nasi Dan Telur",https://food-cms.grab.com/compressed_webp/items/IDITE2024021705042598227/detail/menueditor_item_7784426a4c80497b9f48683c19516681_1708146214318548619.webp,2025-05-27 21:06:27
