Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
UDANG KEJU,12.273,"2 mie gacoan lv 1, 1 udang keju, 1 udang rambutan, 2 lemon tea - js",https://food-cms.grab.com/compressed_webp/items/IDITE20250305011923028130/detail/3cb72be9_230909111508.webp,2025-05-27 20:56:47
MIE GACOAN LV 1,13.182,"1 mie gacoan, 1 mie gacoan lv 1, 1 udang keju, 1 udang rambutan, 2 lemon te - js",https://food-cms.grab.com/compressed_webp/items/IDITE20250305011920013977/detail/7ec1828a_230908152101.webp,2025-05-27 20:56:47
MIE GACOAN,13.182,"1 mie hompimpa lv 1, 1 mie gacoan lv 1, 1 udan keju, 1 udang rambutan, 2 lemon tea - js",https://food-cms.grab.com/compressed_webp/items/IDITE20250305011919030057/detail/618a9f16_230908151521.webp,2025-05-27 20:56:47
MIE GACOAN LV 2,13.182,"1 mie suit, 1 mie gacoan lv 1 , 1 udang keju, 1 udang rambutan, 2 lemon tea - js",https://food-cms.grab.com/compressed_webp/items/IDITE20250305011920028369/detail/3069e705_230908152316.webp,2025-05-27 20:56:47
SIOMAY AYAM,12.273,"2 mie gacoan lv 0, 1 udang keju, 1 udang rambutan, 2 lemon tea - js",https://food-cms.grab.com/compressed_webp/items/IDITE20250305011923015167/detail/63e4012c_230909100329.webp,2025-05-27 20:56:47
MIE GACOAN LV 3,13.182,"2 mie hompimpa lv 1, 1 udang keju, 1 udang rambutan, 2 lemon tea - js",https://food-cms.grab.com/compressed_webp/items/IDITE20250305011920035294/detail/cc9fb519_230908152732.webp,2025-05-27 20:56:47
LUMPIA UDANG,12.273,"1 mie gacoan, 1 mie gacoan lv 1, 1 udang keju, 1 udang rambutan, 2 lemon te - np",https://food-cms.grab.com/compressed_webp/items/IDITE20250305011922022514/detail/af12fe5b_230908151210.webp,2025-05-27 20:56:47
UDANG RAMBUTAN,12.273,"2 mie gacoan lv 1, 1 udang keju, 1 udang rambutan, 2 lemon tea - np",https://food-cms.grab.com/compressed_webp/items/IDITE20250305011923038681/detail/e8ee0e1d_230909111703.webp,2025-05-27 20:56:47
GACOAN COMBAT JS A,64.546,"2 mie hompimpa lv 1, 1 udang keju, 1 udang rambutan, 2 lemon tea - np",https://food-cms.grab.com/compressed_webp/items/IDITE20250421162248018221/detail/c7e94ef8_250421201820.webp,2025-05-27 20:56:47
GACOAN COMBAT JS B,64.546,"2 mie gacoan lv 0, 1 udang keju, 1 udang rambutan, 2 lemon tea - np",https://food-cms.grab.com/compressed_webp/items/IDITE20250421162249018962/detail/bf72e27e_250421201915.webp,2025-05-27 20:56:47
GACOAN COMBAT JS C,64.546,"1 mie suit, 1 mie gacoan lv 1 , 1 udang keju, 1 udang rambutan, 2 lemon tea - np",https://food-cms.grab.com/compressed_webp/items/IDITE20250421162249035143/detail/85edcd77_250421202018.webp,2025-05-27 20:56:47
GACOAN COMBAT JS D,64.546,"1 mie hompimpa lv 1, 1 mie gacoan lv 1, 1 udan keju, 1 udang rambutan, 2 lemon tea - np",https://food-cms.grab.com/compressed_webp/items/IDITE20250421162250018042/detail/28f540e9_250421202115.webp,2025-05-27 20:56:47
GACOAN COMBAT JS E,64.546,"Mie gacoan lv 1, lumpia udang, es orange - js",https://food-cms.grab.com/compressed_webp/items/IDITE20250421162250027521/detail/be23b4fc_250421202157.webp,2025-05-27 20:56:47
GACOAN COMBAT JS F,64.546,"1 Mie gacoan LV 1, 1 Udang Keju, 1 Es Lemon Tea - JS",https://food-cms.grab.com/compressed_webp/items/IDITE20250421162249023988/detail/3f673f48_250421202249.webp,2025-05-27 20:56:47
GACOAN COMBAT NP B,64.546,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011914017553/detail/4c57c0da_240903102516.webp,2025-05-27 20:56:47
GACOAN COMBAT NP A,64.546,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011914030591/detail/0b57c7d3_40910175854.webp,2025-05-27 20:56:47
GACOAN COMBAT NP F,64.546,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011914041686/detail/0ee726cf_240903111351.webp,2025-05-27 20:56:47
GACOAN COMBAT NP E,64.546,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011915015730/detail/031e0f17_240903110426.webp,2025-05-27 20:56:47
GACOAN COMBAT NP D,64.546,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011915020540/detail/63a95e89_240903105629.webp,2025-05-27 20:56:47
GACOAN COMBAT NP C,64.546,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011915039955/detail/f201cc27_240903104652.webp,2025-05-27 20:56:47
PAKET FEST A - JS,32.273,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250421162251010932/detail/7751354b_250502102352.webp,2025-05-27 20:56:47
PAKET FEST C - JS,33.637,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250421162250039168/detail/6f8e5971_250502102426.webp,2025-05-27 20:56:47
PAKET FEST C - NP,33.637,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011916018603/detail/2fb49815_240706115625.webp,2025-05-27 20:56:47
PAKET FEST A - NP,32.273,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011916022349/detail/a3addc5a_240706115507.webp,2025-05-27 20:56:47
MIE SUIT,13.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011917012384/detail/ab4d47ca_230909093446.webp,2025-05-27 20:56:47
MIE HOMPIMPA LV 1,13.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011917020744/detail/60ed2f98_230908153440.webp,2025-05-27 20:56:47
MIE HOMPIMPA LV 2,13.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011917030097/detail/bf2abefb_230908154637.webp,2025-05-27 20:56:47
MIE HOMPIMPA LV 3,13.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011918017527/detail/e520204a_230908155022.webp,2025-05-27 20:56:47
MIE HOMPIMPA LV 4,13.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011918024026/detail/27e95ea8_230908160718.webp,2025-05-27 20:56:47
MIE HOMPIMPA LV 6,14.091,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011919017324/detail/d2856aa9_230909093130.webp,2025-05-27 20:56:47
MIE HOMPIMPA LV 8,14.091,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011919022313/detail/3591a69d_230909093308.webp,2025-05-27 20:56:47
MIE GACOAN,13.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011919030057/detail/618a9f16_230908151521.webp,2025-05-27 20:56:47
MIE GACOAN LV 1,13.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011920013977/detail/7ec1828a_230908152101.webp,2025-05-27 20:56:47
MIE GACOAN LV 2,13.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011920028369/detail/3069e705_230908152316.webp,2025-05-27 20:56:47
MIE GACOAN LV 3,13.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011920035294/detail/cc9fb519_230908152732.webp,2025-05-27 20:56:47
MIE GACOAN LV 4,13.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011921011802/detail/ee01439b_230908152918.webp,2025-05-27 20:56:47
MIE GACOAN LV 6,14.091,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011921020578/detail/06c710b8_230908153121.webp,2025-05-27 20:56:47
MIE GACOAN LV 8,14.091,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011921034862/detail/ff142061_230908153318.webp,2025-05-27 20:56:47
PANGSIT GORENG,13.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011922011229/detail/41fcf5a9_230909100032.webp,2025-05-27 20:56:47
LUMPIA UDANG,12.273,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011922022514/detail/af12fe5b_230908151210.webp,2025-05-27 20:56:47
SIOMAY AYAM,12.273,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011923015167/detail/63e4012c_230909100329.webp,2025-05-27 20:56:47
UDANG KEJU,12.273,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011923028130/detail/3cb72be9_230909111508.webp,2025-05-27 20:56:47
UDANG RAMBUTAN,12.273,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011923038681/detail/e8ee0e1d_230909111703.webp,2025-05-27 20:56:47
ES GOBAK SODOR,11.819,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011924012266/detail/c2e2805c_230908134602.webp,2025-05-27 20:56:47
ES PETAK UMPET,11.819,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011924026833/detail/fedab8b4_230908135201.webp,2025-05-27 20:56:47
ES SLUKU BATHOK,8.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011924031821/detail/86a2caba_230908135509.webp,2025-05-27 20:56:47
ES TEKLEK,8.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011925019608/detail/6828e51c_230908135826.webp,2025-05-27 20:56:47
ORANGE ICE - JS,6.819,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250420161323029421/detail/3e86b4e6_250421201447.webp,2025-05-27 20:56:47
LEMON TEA ICE - JS,8.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250420161323044963/detail/f0dcd866_250421201404.webp,2025-05-27 20:56:47
CHOCOAN ICE - JS,10.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250420161323017359/detail/c09671cd_250421201140.webp,2025-05-27 20:56:47
VANILLA LATTE ICE - JS,10.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250420161323032165/detail/482edd66_250421201629.webp,2025-05-27 20:56:47
TEH TARIK ICE - JS,8.637,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250420161323054830/detail/b0b6aac1_250421201538.webp,2025-05-27 20:56:47
AIR MINERAL BOTOL,5.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011925026244/detail/d4eed9f4_230908133604.webp,2025-05-27 20:56:47
TEA,5.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011925038517/detail/379805e8_230909103444.webp,2025-05-27 20:56:47
THAI TEA ORI,10.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011927019701/detail/9346457e_30909111327.webp,2025-05-27 20:56:47
GREEN THAI TEA,10.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011927026468/detail/f564daa7_230908140244.webp,2025-05-27 20:56:47
ORANGE - NP,6.819,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011926017074/detail/21b609a1_231113085556.webp,2025-05-27 20:56:47
LEMON TEA - NP,8.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011926028668/detail/3a038d4d_231113085038.webp,2025-05-27 20:56:47
TEA TARIK ICE - NP,8.637,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011926030932/detail/e1d9a8b5_231113085758.webp,2025-05-27 20:56:47
CHOCOAN ICE - NP,10.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011927031258/detail/b9b7cc45_231113085437.webp,2025-05-27 20:56:47
VANILLA LATTE - NP,10.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011927044328/detail/18ca297d_231113090905.webp,2025-05-27 20:56:47
ORANGE HOT - JS,6.819,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250420161323073086/detail/f7c31336_250421200845.webp,2025-05-27 20:56:47
LEMON TEA HOT - JS,8.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250420161323064970/detail/07f0d2fd_250421200755.webp,2025-05-27 20:56:47
CHOCOAN HOT - JS,10.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250420161323084494/detail/f671f06e_250421200634.webp,2025-05-27 20:56:47
VANILLA LATTE HOT - JS,10.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250420161323098218/detail/2a021919_250421201042.webp,2025-05-27 20:56:47
TEH TARIK HOT - JS,8.637,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250420161323109579/detail/508ab6c3_250421201000.webp,2025-05-27 20:56:47
TEA HOT,5.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011928010013/detail/d56147f7_230909103633.webp,2025-05-27 20:56:47
ORANGE HOT - NP,6.819,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011928020254/detail/7db8fe79_231113085723.webp,2025-05-27 20:56:47
LEMON TEA HOT - NP,8.182,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011929016932/detail/96fe6e4f_231113085157.webp,2025-05-27 20:56:47
TEA TARIK HOT - NP,8.637,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011929021063/detail/ccfa3a28_231113090743.webp,2025-05-27 20:56:47
CHOCOAN HOT - NP,10.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011929031811/detail/14230c80_231113085310.webp,2025-05-27 20:56:47
VANILLA LATTE HOT - NP,10.455,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250305011930011521/detail/329235fb_241023045152.webp,2025-05-27 20:56:47
