Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Gado Gado,30.000,1 Porsi Gado-gado dan 1 Botol Sinom 250ml,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000jzz1535169000409575443/detail/menueditor_item_2b527b5e7cb342d9acebc37d66659767_1590817003205586635.webp,2025-05-28 13:02:18
Paket Sehat,34.000,1 pack isi 5,https://food-cms.grab.com/compressed_webp/items/IDITE2021100204243142446/detail/menueditor_item_c8eb216ce47648128e87b466da07edb5_1633148635495467719.webp,2025-05-28 13:02:18
Kerupuk Puli (kotak),7.000,Gado-gado + Teh Pucuk 250 ml Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2021013002092373486/detail/menueditor_item_771b4aa0e39249feb91e3da82ee05208_1721056980198659375.webp,2025-05-28 13:02:18
Gado-Gado + Teh Pucuk 250 ml,33.000,Minuman tradisional khas citarasa Indonesia. Sangat bermanfaat untuk kesehatan tubuh. Diproses secara alami dan higienis. Tanpa pewarna / pemanis buatan dan pengawet.,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C66DCEWHMCJHDA0493.webp,2025-05-28 13:02:18
Teh Botol,6.000,Gado-gado + Teh Pucuk 250 ml Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2021112104404688716/detail/menueditor_item_4f3aa59a735545c8ab8207e0dc2eb297_1637470821457117073.webp,2025-05-28 13:02:18
Kunyit Asem / Sinom ASLI Homemade (250ml),7.000,1 Porsi Gado-gado dan 1 Botol Sinom 250ml,https://food-cms.grab.com/compressed_webp/items/IDITE2019090315124043739/detail/fd9b39438854411f9ff58241e0c66637_1670498398867616062.webp,2025-05-28 13:02:18
Gado-Gado + Teh Pucuk 250 ml,33.000,1 pack isi 5,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C66DCEWHMCJHDA0493.webp,2025-05-28 13:02:18
Paket Sehat,34.000,Bumbu pecel 100% kacang asli kemasan 250 Gr,https://food-cms.grab.com/compressed_webp/items/IDITE2021100204243142446/detail/menueditor_item_c8eb216ce47648128e87b466da07edb5_1633148635495467719.webp,2025-05-28 13:02:18
Kerupuk Puli (kotak),7.000,100% kacang ASLI. Kacang disangrai tanpa minyak. Tanpa pengawet. Produk selalu baru.,https://food-cms.grab.com/compressed_webp/items/IDITE2021013002092373486/detail/menueditor_item_771b4aa0e39249feb91e3da82ee05208_1721056980198659375.webp,2025-05-28 13:02:18
Gado Gado,30.000,Cemilan yang pas untuk pendamping pecel atau lauk lainnya. Berat ±150gr,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000jzz1535169000409575443/detail/menueditor_item_2b527b5e7cb342d9acebc37d66659767_1590817003205586635.webp,2025-05-28 13:02:18
Nasi Putih,6.000,"100% KACANG ASLI, homemade dan tanpa bahan pengawet. Selalu baru setiap hari.",https://food-cms.grab.com/compressed_webp/items/IDITE2023112314044079340/detail/ac3ed947bdba457eba804b85c5272f20_1701082955276550349.webp,2025-05-28 13:02:18
