Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Rondo royal/tape goreng,1.700,"Tape dibalur dengan adonan tepung dengan rasa manis alami dari tape, sempurna untuk santai.",https://food-cms.grab.com/compressed_webp/items/IDITE2025051108083237192/detail/menueditor_item_a40c6c2bc5dd40758be4d231c9631d42_1746950659752418748.webp,2025-05-27 21:01:58
pisang goreng,1.700,"Pisang goreng lembut dan manis alami dari pisang,camilan sempurna di setiap kesempatan.",https://food-cms.grab.com/compressed_webp/items/IDITE2024122706132424414/detail/menueditor_item_049539843a0043989178654db29c1b92_1737375976770757095.webp,2025-05-27 21:01:58
tempe menjes goreng,1.700,irisan tempe menjes dibalur dengan tepung dan bumbu rempah pilihan dengan rasa yg gurih.dilengkapi petis dan cabai,https://food-cms.grab.com/compressed_webp/items/IDITE2024122706090572684/detail/menueditor_item_d34f5c14e3034c908896a2c57433593b_1737376053248309607.webp,2025-05-27 21:01:58
tempe goreng,1.700,"irisan Tempe kedelai dibalur dengan tepung dan bumbu rempah khas dengan rasa gurih,dilengkapi petis dan cabai",https://food-cms.grab.com/compressed_webp/items/IDITE2024122704174250078/detail/menueditor_item_27589dbfbd844488b4279416b37b2540_1737376165831281390.webp,2025-05-27 21:01:58
bakwan ote-ote,1.700,Kriuk bakwan ote-ote dengan isian sayuran segar dan bumbu rempah cocok untuk teman santai 😋,https://food-cms.grab.com/compressed_webp/items/IDITE2024122703594745047/detail/menueditor_item_e0e247f3ce514836aaf9df9e0ecf31fb_1737376239779035736.webp,2025-05-27 21:01:58
10 pcs tape goreng,16.150,free petis dan cabai,https://food-cms.grab.com/compressed_webp/items/IDITE2025051108115056950/detail/menueditor_item_e35da064fbdf4a8fb57aee11d68f097e_1746951077016681512.webp,2025-05-27 21:01:58
10 pcs bakwan ote-ote,16.150,Kriuk bakwan ote-ote dengan isian sayuran segar dan bumbu rempah cocok untuk teman santai 😋,https://food-cms.grab.com/compressed_webp/items/IDITE2024123006425411527/detail/menueditor_item_6b09d6a9944d41d38b2ca494631a71a4_1737376647746382200.webp,2025-05-27 21:01:58
bakwan ote-ote,1.700,"Pisang goreng lembut dan manis alami dari pisang,camilan sempurna di setiap kesempatan.",https://food-cms.grab.com/compressed_webp/items/IDITE2024122703594745047/detail/menueditor_item_e0e247f3ce514836aaf9df9e0ecf31fb_1737376239779035736.webp,2025-05-27 21:01:58
pisang goreng,1.700,free petis dan cabai,https://food-cms.grab.com/compressed_webp/items/IDITE2024122706132424414/detail/menueditor_item_049539843a0043989178654db29c1b92_1737375976770757095.webp,2025-05-27 21:01:58
10 pcs bakwan ote-ote,16.150,"irisan Tempe kedelai dibalur dengan tepung dan bumbu rempah khas dengan rasa gurih,dilengkapi petis dan cabai",https://food-cms.grab.com/compressed_webp/items/IDITE2024123006425411527/detail/menueditor_item_6b09d6a9944d41d38b2ca494631a71a4_1737376647746382200.webp,2025-05-27 21:01:58
tempe goreng,1.700,irisan tempe menjes dibalur dengan tepung dan bumbu rempah pilihan dengan rasa yg gurih.dilengkapi petis dan cabai,https://food-cms.grab.com/compressed_webp/items/IDITE2024122704174250078/detail/menueditor_item_27589dbfbd844488b4279416b37b2540_1737376165831281390.webp,2025-05-27 21:01:58
tempe menjes goreng,1.700,"Tape dibalur dengan adonan tepung dengan rasa manis alami dari tape, sempurna untuk santai.",https://food-cms.grab.com/compressed_webp/items/IDITE2024122706090572684/detail/menueditor_item_d34f5c14e3034c908896a2c57433593b_1737376053248309607.webp,2025-05-27 21:01:58
Rondo royal/tape goreng,1.700,"Tape dibalur dengan adonan tepung dengan rasa manis alami dari tape, sempurna untuk santai.",https://food-cms.grab.com/compressed_webp/items/IDITE2025051108083237192/detail/menueditor_item_a40c6c2bc5dd40758be4d231c9631d42_1746950659752418748.webp,2025-05-27 21:01:58
10 pcs tape goreng,16.150,"Pisang goreng lembut dan manis alami dari pisang,camilan sempurna di setiap kesempatan.",https://food-cms.grab.com/compressed_webp/items/IDITE2025051108115056950/detail/menueditor_item_e35da064fbdf4a8fb57aee11d68f097e_1746951077016681512.webp,2025-05-27 21:01:58
air mineral club 600ml,3.500,irisan tempe menjes dibalur dengan tepung dan bumbu rempah pilihan dengan rasa yg gurih.dilengkapi petis dan cabai,https://food-cms.grab.com/compressed_webp/items/IDITE2025022803514067516/detail/menueditor_item_35e1e73d41c646738d5f884c7846a8c9_1740714680008399837.webp,2025-05-27 21:01:58
Rondo royal/tape goreng,1.700,"irisan Tempe kedelai dibalur dengan tepung dan bumbu rempah khas dengan rasa gurih,dilengkapi petis dan cabai",https://food-cms.grab.com/compressed_webp/items/IDITE2025051108083237192/detail/menueditor_item_a40c6c2bc5dd40758be4d231c9631d42_1746950659752418748.webp,2025-05-27 21:01:58
pisang goreng,1.700,Kriuk bakwan ote-ote dengan isian sayuran segar dan bumbu rempah cocok untuk teman santai 😋,https://food-cms.grab.com/compressed_webp/items/IDITE2024122706132424414/detail/menueditor_item_049539843a0043989178654db29c1b92_1737375976770757095.webp,2025-05-27 21:01:58
tempe menjes goreng,1.700,dadar jagung dengan rasa gurih dan manis di lengkapi dengan petis dan cabai.,https://food-cms.grab.com/compressed_webp/items/IDITE2024122706090572684/detail/menueditor_item_d34f5c14e3034c908896a2c57433593b_1737376053248309607.webp,2025-05-27 21:01:58
tempe goreng,1.700,"Singkong goreng renyah dan lembut dengan rasa gurih,cocok untuk teman bersantai😋",https://food-cms.grab.com/compressed_webp/items/IDITE2024122704174250078/detail/menueditor_item_27589dbfbd844488b4279416b37b2540_1737376165831281390.webp,2025-05-27 21:01:58
bakwan ote-ote,1.700,"Irisan ubi dibalur dengan tepung dengan rasa manis alami dari ubi,yg cocok untuk teman bersantai 😋",https://food-cms.grab.com/compressed_webp/items/IDITE2024122703594745047/detail/menueditor_item_e0e247f3ce514836aaf9df9e0ecf31fb_1737376239779035736.webp,2025-05-27 21:01:58
Dadar jagung,2.000,"isian bihun, kubis dan wortel,dilengkapi petis dan cabai, cocok untuk teman santai 😋",https://food-cms.grab.com/compressed_webp/items/IDITE2025012012440426346/detail/menueditor_item_89b4c164d59f4aacafd5baccd7a591bc_1737376726826121878.webp,2025-05-27 21:01:58
singkong goreng,2.000,free petis dan cabai,https://food-cms.grab.com/compressed_webp/items/IDITE2024122810115279170/detail/menueditor_item_b71959d8252546aca4ce77ed3f5cb5b8_1737375927152070914.webp,2025-05-27 21:01:58
ubi atau telo goreng,2.000,free petis dan cabai,https://food-cms.grab.com/compressed_webp/items/IDITE2024122706113904694/detail/menueditor_item_a2e0339500a24cae80ccace4e5a25986_1737375354116728050.webp,2025-05-27 21:01:58
tahu isi,2.000,Singkong goreng lembut dan gurih. Camilan yang sempurna!,https://food-cms.grab.com/compressed_webp/items/IDITE2024122704134302688/detail/menueditor_item_114ba36eb1044499bd907734e33dcf3d_1737461303020076056.webp,2025-05-27 21:01:58
10 pcs tape goreng,16.150,"Kelezatan ubi goreng yang lembut dan manis alami dari ubi, sempurna untuk camilan.",https://food-cms.grab.com/compressed_webp/items/IDITE2025051108115056950/detail/menueditor_item_e35da064fbdf4a8fb57aee11d68f097e_1746951077016681512.webp,2025-05-27 21:01:58
10 pcs bakwan ote-ote,16.150,"Pisang goreng lembut dan manis alami pisang, sempurna untuk camilan santai.",https://food-cms.grab.com/compressed_webp/items/IDITE2024123006425411527/detail/menueditor_item_6b09d6a9944d41d38b2ca494631a71a4_1737376647746382200.webp,2025-05-27 21:01:58
10 pcs Dadar jagung,19.000,free petis dan cabai,https://food-cms.grab.com/compressed_webp/items/IDITE2025012012470338237/detail/menueditor_item_6af5d2d571404147bb5873c7d276319a_1737377162819489768.webp,2025-05-27 21:01:58
