Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Buy 1 Get 3 (Hola Jus) Pilih Sesukamu! #B1G1,56.900,"Dapat 3 Produk Hola Jus Reguler (Bebas Pilih All Varian Hola Jus Sesukamu). Catat Di Notes, Tergantung Ketersediaan Stock",https://food-cms.grab.com/compressed_webp/items/IDITE20250221091403140178/detail/69140054_338be404ea1a.webp,2025-05-28 13:08:39
Avocado Bliss (85 Kkal) Alpukat,22.900,"Lebih Kental, Lebih Menyehatkan! Rasakan kebaikan alpukat dan pisang dalam smoothie sehat! Nikmati energi, hidrasi, dan nutrisi alami setiap hari tanpa khawatir. *Kal/100G,Tanpa Es,Sweet 0",https://food-cms.grab.com/compressed_webp/items/IDITE20250221091400045107/detail/896edac7_fc911c864091.webp,2025-05-28 13:08:39
Jus Tropikal Fit (64 Kkal),20.900,"Lebih Cair, Lebih Sehat! Mango, Pineapple, Coconut, Vanilla, Chiaseed & Secret Fruits - Vit. A, C, B1, B2, B3, Antioksidan - Anti Dehidrasi, Detoks, Sumber Energi, Cegah Kanker. *Kal/100G,Tanpa Es,Sweet 0",https://food-cms.grab.com/compressed_webp/items/IDITE20250221091400171697/detail/dae294a5_af2f572d3874.webp,2025-05-28 13:08:39
Jus Siberi (30 Kkal),20.900,"Lebih Cair, Lebih Sehat! Sunkist, Lychee, Strawberry, Watermelon, Chiaseed & Secret Fruits - Low Cal, Vit.C, Antioksidan - Anti Dehidrasi, Cegah Hipertensi, Kontrol Efek Lelah. *Kal/100G,Tanpa Es,Sweet 0",https://food-cms.grab.com/compressed_webp/items/IDITE20250221091400127780/detail/24c9d27a_5820609fde08.webp,2025-05-28 13:08:39
Tropical Berry (65 Kkal) Stroberi Pisang,22.900,"Lebih Kental, Lebih Menyehatkan! Gabungan sempurna antara stroberi dan pisang, menghadirkan kaya vitamin C dan potasium. Dengan 99 Kkal, smoothie ini mendukung energi harian Anda tanpa menambah beban kalori. Ideal untuk pencinta buah yang ingin tetap sehat dan bugar! *Kal/100G,Tanpa Es,Sweet 0",https://food-cms.grab.com/compressed_webp/items/IDITE20250221091359081454/detail/514495b9_6fa9bf86bc49.webp,2025-05-28 13:08:39
Buy 1 Get 2 (BIG + Hola Jus) Pilih Sesukamu! #B1G1,56.900,"Dapat 2 Produk (1 BIG + 1 Hola Jus Reguler) Pilih All Varian Hola Jus Sesukamu, Catat Di Notes, Tergantung Ketersediaan Stock",https://food-cms.grab.com/compressed_webp/items/IDITE20250221091403189754/detail/950a6191_8406065a83cc.webp,2025-05-28 13:08:39
Guava Bliss (60 Kkal) Jambu,18.900,"Lebih Kental, Lebih Menyehatkan! Nikmati kebaikan jambu dan pisang dalam smoothie segar kami! Kaya antioksidan dan vitamin, sempurna untuk hari yang aktif! *Kal/100G,Tanpa Es,Sweet 0",https://food-cms.grab.com/compressed_webp/items/IDITE20250221091359190146/detail/8dbacf34_0fbad7712840.webp,2025-05-28 13:08:39
Tropical Dragon (60 Kkal) Naga Pisang,22.900,"Lebih Kental, Lebih Menyehatkan! Menggabungkan kesegaran naga dengan manisnya pisang. Kaya dengan vitamin C dari buah naga yang mendukung sistem imun dan potassium dari pisang yang baik untuk jantung. Nikmati manfaat ganda dalam satu tegukan! *Kal/100G,Tanpa Es,Sweet 0",https://food-cms.grab.com/compressed_webp/items/IDITE20250221091359125845/detail/ae89a865_5bb8d7f2e124.webp,2025-05-28 13:08:39
Buy 1 Get 3 (Hola Jus) Pilih Sesukamu! #B1G1,56.900,"Dapat 3 Produk Hola Jus Reguler (Bebas Pilih All Varian Hola Jus Sesukamu). Catat Di Notes, Tergantung Ketersediaan Stock",https://food-cms.grab.com/compressed_webp/items/IDITE20250221091403140178/detail/69140054_338be404ea1a.webp,2025-05-28 13:08:39
Buy 1 Get 2 (BIG + Hola Jus) Pilih Sesukamu! #B1G1,56.900,"Dapat 2 Produk (1 BIG + 1 Hola Jus Reguler) Pilih All Varian Hola Jus Sesukamu, Catat Di Notes, Tergantung Ketersediaan Stock",https://food-cms.grab.com/compressed_webp/items/IDITE20250221091403189754/detail/950a6191_8406065a83cc.webp,2025-05-28 13:08:39
