Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Cheesy Garlic Pasta,39.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231107080513044494/detail/menueditor_item_870c84fa3a6c444d9d39aa04ccb7339d_1739519359468255784.webp,2025-05-28 10:13:24
Latte,28.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231107080558162346/detail/menueditor_item_2d01703c708446209efbf29ac8ff7fb8_1739521338345509257.webp,2025-05-28 10:13:24
Snack Platter,44.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240103071604011597/detail/menueditor_item_9307d831721c47bfabaffb0215144430_1739519745857461065.webp,2025-05-28 10:13:24
Spagetti Agli Olio,39.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231107080513283105/detail/menueditor_item_d29302e9a8b14244a73d7212c30ea0fa_1739519403157414476.webp,2025-05-28 10:13:24
Mushroom Sauce Chicken/Dory Rice,39.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231107080524165755/detail/menueditor_item_74fb8c610d6849a0942b8a643993aa1a_1739519118452108391.webp,2025-05-28 10:13:24
Chicken/Dory Mentai Rice,39.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231107080516242237/detail/menueditor_item_ed00f60c3f8449e4bcf828de1b901bfb_1739518743437870502.webp,2025-05-28 10:13:24
Americano,22.100,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231107080618067722/detail/menueditor_item_b237207f6b254fb2ba2c2cc0984faa10_1739521592703308954.webp,2025-05-28 10:13:24
Chicken/Dory Nanban Rice,39.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20231107080523127468/detail/menueditor_item_7fbe810a9d4843ad8df000cc6925dc14_1739519030492195059.webp,2025-05-28 10:13:24
Promo B3G4,97.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025030301140719208/detail/menueditor_item_b93e7130880440edaeb5d33d9ba5f326_1740964395026626928.webp,2025-05-28 10:13:24
Promo Buy 1 Get 1 Es Kopi Gula Aren,42.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025030102264880065/detail/menueditor_item_084938c944f8487bbacdde47d9e65dfb_1740795988698076610.webp,2025-05-28 10:13:24
Spaghetti Aglio E Olio + Latte,62.400,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025021702220706670/detail/menueditor_item_abc4773e7928493a8d471ee4b422564d_1739842150660302016.webp,2025-05-28 10:13:24
Chicken Curry + Thai Tea,67.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025021702240891304/detail/menueditor_item_9d87298a0f0341268def33b483faf4ca_1739759022852131817.webp,2025-05-28 10:13:24
Taro 2,57.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025021702253821384/detail/menueditor_item_f33639701c4545f48c87d364479fa4df_1739759115547325892.webp,2025-05-28 10:13:24
Latte 2,52.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025021702245630072/detail/menueditor_item_921fe0bdcf474a8facb8944dc2cd8348_1739759072433354571.webp,2025-05-28 10:13:24
CHICKEN NANBAN + LYCHEE TEA,58.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025021107013384805/detail/menueditor_item_8642cbb3ae9d457ebd33c989d1673f98_1739257265170793328.webp,2025-05-28 10:13:24
DORY CHICKEN NANBAN + LYCHEE TEA,58.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025021107005014363/detail/menueditor_item_6be99073ae434d44a10b817554d4ce9b_1739257225555088335.webp,2025-05-28 10:13:24
