Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Martabak Mie Original 10,18.500,10 Martabak Mie Original tanpa lumuran adonan kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2022021505213935826/detail/6-C243V7NCE8CKR2_9bd4206478c843beb85254b31bbaf49c_1684902421339328828.webp,2025-05-28 10:11:21
Martabak Mie + Gaje Original 10,23.000,10 Martabak Mie + Gaje Original,https://food-cms.grab.com/compressed_webp/items/IDITE2022072702342106653/detail/6-C243V7NCE8CKR2_4ae56cdd466b4860918f38fc306c3c38_1684902421301568209.webp,2025-05-28 10:11:21
Martabak Mie Usus Original 10,40.000,10 Martabak Mie Usus tanpa lumuran adonan kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2022021505270798253/detail/menueditor_item_7b590f6cf1504ba5a2d0acbe5192f2b6_1644902825423453955.webp,2025-05-28 10:11:21
Martabak Mie 10,18.500,10 Martabak Mie dilumuri adonan kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2022021505203579299/detail/6-C243V7NCE8CKR2_1764c6e0e8af4529952fcc63556e3085_1684902421420666499.webp,2025-05-28 10:11:21
Martabak Mie Original + Puyuh 5,25.000,5 Martabak Mie isi Puyuh tanpa adonan kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2022121002585331005/detail/menueditor_item_b40e9e8b5ff04d61a7739b0f93507ef4_1678598743634245151.webp,2025-05-28 10:11:21
Martabak Usus 5,19.000,5 Martabak Usus dilumuri adonan kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2022021505155604276/detail/menueditor_item_17178befb9e14a2386c5d36901595f3d_1644902863775296453.webp,2025-05-28 10:11:21
Martabak Mie Pedas Original 10,23.000,10 Martabak Mie puedess tanpa adonan kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2022121002530073637/detail/menueditor_item_becb9c5670384d60a665b5527ba81ace_1679108939172965890.webp,2025-05-28 10:11:21
Martabak Mie Usus Original 5,20.000,5 Martabak Mie Usus tanpa dilumuri adonan kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2022021505170521334/detail/6-C243V7NCE8CKR2_1d494591432a479da3f032f83294328d_1684902421321933012.webp,2025-05-28 10:11:21
martabak bihun+puyuh,25.000,bihun + puyuh di kasi adonan kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2024062820320780523/detail/menueditor_item_c2d8ae7689de475fbaaa517432363b38_1719606787971384975.webp,2025-05-28 10:11:21
Martabak Mie Original + Puyuh 5,25.000,5 Martabak Mie isi Puyuh tanpa adonan kuning,https://food-cms.grab.com/compressed_webp/items/IDITE2022121002585331005/detail/menueditor_item_b40e9e8b5ff04d61a7739b0f93507ef4_1678598743634245151.webp,2025-05-28 10:11:21
Paket Bersama ORI 1,67.000,"Dapat 5 Martabak Bihun, 5 Martabak Mie Pedes, 5 Martabak Mie Usus, 5 Martabak Usus GRATIS KERUPUK",https://food-cms.grab.com/compressed_webp/items/IDITE2023080602232048734/detail/menueditor_item_680158d8d4754ff1afb9cd8619e36cc9_1697865644437839250.webp,2025-05-28 10:11:21
Paket Bersama 2,67.000,"Dapat 5 Martabak bihun, 5 Martabak Mie Pedes, 5 Martabak Mie Usus, 5 Martabak Usus semuanya dilumuri adonan Kuning GRATIS KERUPUK",https://food-cms.grab.com/compressed_webp/items/IDITE2023080602261465990/detail/menueditor_item_ddcbead25db2465abb2d251e90b61d00_1697865500848091831.webp,2025-05-28 10:11:21
