Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
martabak mie original isi 10,21.500,"bihun, wortel, bumbu dapur",https://food-cms.grab.com/compressed_webp/items/IDITE2022060706253205027/detail/f17e8f2f86714a669b97c921585cdb7b_1679026015605684147.webp,2025-05-28 09:43:54
lontong mie,17.000,"lontong, tahu, toge",https://food-cms.grab.com/compressed_webp/items/IDITE2023082804252979323/detail/menueditor_item_06ef08604495470898970bb3a86d2810_1693196675213590629.webp,2025-05-28 09:43:54
MARSUS( MARTABAK USUS) ISI 7,26.500,"Bihun, wortel, usus, bumbu dapur, petis, cabe lalap",https://food-cms.grab.com/compressed_webp/items/IDITE2021110907580357268/detail/5f2b8058c5b34e83afadc70dba1b7416_1677766042580895219.webp,2025-05-28 09:43:54
MARTABAK GAJIH+MIE ISI 7,24.000,"gajih, mie",https://food-cms.grab.com/compressed_webp/items/IDITE2024101605453063986/detail/menueditor_item_3d9c0b058d414f8e8b42f736e1118049_1729057392048118117.webp,2025-05-28 09:43:54
rujak cingur campur,22.500,"lontong,,tahu,tempe,bendoyo,,nanas,,timun,bengkuang,sayur kangkung&camba,cingur",https://food-cms.grab.com/compressed_webp/items/IDITE2021021003011436546/detail/3df6bad969c74ae0ba58e26c8d6277e1_1679276422564585871.webp,2025-05-28 09:43:54
TELUR GULUNG,24.500,"telur, saos",https://food-cms.grab.com/compressed_webp/items/IDITE2023110108170517319/detail/menueditor_item_ed48db466c5841a096999a2dfd712c4e_1698826560320307882.webp,2025-05-28 09:43:54
RUJAK CINGUR MATENGAN,22.500,"lontong, tahu, tempe, bendoyo, cingur, sayur",https://food-cms.grab.com/compressed_webp/items/IDITE2023010403210580113/detail/menueditor_item_a69e825d31534f5895f8dfc1da758c02_1672802367619931295.webp,2025-05-28 09:43:54
MIX ORI 4 +USUS 3,23.500,"bihun, wortel, usus, bumbu",https://food-cms.grab.com/compressed_webp/items/IDITE2023032312521848707/detail/menueditor_item_fda8e5267dc943459241763af1981155_1679575566867259542.webp,2025-05-28 09:43:54
PETIS MADURA 500gram,20.500,Dari olahan ikan pilihan,https://food-cms.grab.com/compressed_webp/items/IDITE2022070403085657872/detail/menueditor_item_212277c3aeea4ca0af26bd4aab462b21_1656904045937323783.webp,2025-05-28 09:43:54
petis madura 1kg,40.000,dari olahan ikan,https://food-cms.grab.com/compressed_webp/items/IDITE2022052507043831629/detail/menueditor_item_89119c536c174d5498a302a4d46b536c_1653462230332990147.webp,2025-05-28 09:43:54
TEH HANGET,5.000,teh gula air hanget,https://food-cms.grab.com/compressed_webp/items/IDITE2024101601165793341/detail/menueditor_item_464afed8d1fd43c49900ccbc95e00a4b_1729041358738621911.webp,2025-05-28 09:43:54
Es teh manis,5.000,es batu teh,https://food-cms.grab.com/compressed_webp/items/IDITE2024101509282565196/detail/menueditor_item_75c38c9b8e9a4208a8ae44c3f7749bc3_1728984431175695419.webp,2025-05-28 09:43:54
Air mineral,5.000,"pop es, cincao, es batu, bisa pilih rasa coklat, apokat, durian, taro, permen karet, mangga,",https://food-cms.grab.com/compressed_webp/items/IDITE2022122307494144411/detail/menueditor_item_1b5f2fb566ae4a0fa6b951c661fa6990_1671781704537565576.webp,2025-05-28 09:43:54
pop es cincao,5.000,"milo, cincao, es batu",https://food-cms.grab.com/compressed_webp/items/IDITE2022021614044006152/detail/menueditor_item_09f357995c0b43908decc379171ac954_1645020128412635725.webp,2025-05-28 09:43:54
es milo cincao,7.000,"es batu, gula",https://food-cms.grab.com/compressed_webp/items/IDITE2022021614010641911/detail/menueditor_item_4eee0457057a4a9bbd5339b214bf8beb_1645020001188234263.webp,2025-05-28 09:43:54
good day freze,6.500,"susu+gula+es batu, bisa putih, bisa coklat",https://food-cms.grab.com/compressed_webp/items/IDITE2021092800300781457/detail/menueditor_item_22cc262aaa7145d9a4255e3a320c120c_1632788954660047863.webp,2025-05-28 09:43:54
es susu,5.000,cao+gula pasir+es batu,https://food-cms.grab.com/compressed_webp/items/IDITE2021080722311833770/detail/menueditor_item_8eed462461fe475c82232356b0987c46_1628375388465087615.webp,2025-05-28 09:43:54
es cao gula pasir,6.000,"jeruk, jambu, belewa, mangga, jeruk nipis, Es/panas",https://food-cms.grab.com/compressed_webp/items/IDITE2021080601442256097/detail/menueditor_item_0d60ed8f3e63485f92bbf8c76bd791b3_1628214172860267744.webp,2025-05-28 09:43:54
es nutrisari,5.000,"cao, es batu, susu bisa pilih mau ori atau coklat",https://food-cms.grab.com/compressed_webp/items/IDITE2021080107483422503/detail/menueditor_item_d5a6c469ccb54e338ad766861c78a8c9_1627803903194786009.webp,2025-05-28 09:43:54
es cinsu,7.500,"cao, es batu, rasa coklat",https://food-cms.grab.com/compressed_webp/items/IDITE2021031804352754248/detail/menueditor_item_5f891ef378f64fa78c739e69f6b272a9_1616042065448842002.webp,2025-05-28 09:43:54
es cico,7.000,"es batu, cao, rasa capucino",https://food-cms.grab.com/compressed_webp/items/IDITE2021031804331510188/detail/menueditor_item_7c5c59f520344a268dfae7bee1036aa3_1616041937198772513.webp,2025-05-28 09:43:54
es capcin,7.500,"jeruk peras, gula air hanget",https://food-cms.grab.com/compressed_webp/items/IDITE2021031804275986022/detail/menueditor_item_f67e81670d994284be387814b12873fc_1616041550073001962.webp,2025-05-28 09:43:54
JERUK HANGET,6.500,"jeruk peras, gula, es batu",https://food-cms.grab.com/compressed_webp/items/IDITE2024101601153553560/detail/menueditor_item_846c1f457bf94062b49b2c59391940a1_1729041236859490078.webp,2025-05-28 09:43:54
ES JERUK,6.500,"cao, es batu, gula aren",https://food-cms.grab.com/compressed_webp/items/IDITE2024101601132025917/detail/menueditor_item_b1d7a77490f148eb977ff7fc4c6fd78e_1729040998739059075.webp,2025-05-28 09:43:54
es cao gula aren,5.500,"bumbu, bihun, telur (original)",https://food-cms.grab.com/compressed_webp/items/IDITE2021031804314174028/detail/menueditor_item_75d6e02b374a46fab2cf673054e456ac_1616041836481007138.webp,2025-05-28 09:43:54
omlet bihun,18.000,"mie, telur, bumbu, boncabe, saous",https://food-cms.grab.com/compressed_webp/items/IDITE2021030309345090552/detail/menueditor_item_9984d82800c4449cb700a01ecc96b16f_1614763950713801026.webp,2025-05-28 09:43:54
omlet mie hotttttttttttt hoottt,19.500,"mie, telur, bumbu",https://food-cms.grab.com/compressed_webp/items/IDITE2021030112013775162/detail/menueditor_item_369bca45bbbf413082aecc59b1f2967e_1614600004186498558.webp,2025-05-28 09:43:54
omlet mie,19.000,"kepala ayam, saos",https://food-cms.grab.com/compressed_webp/items/IDITE2021030111590097045/detail/menueditor_item_b843b5f06ad848d7bcdc2aa30aec01e4_1614599868048154064.webp,2025-05-28 09:43:54
KEPALA AYAM BAKAR ISI 3,18.000,sayap ayam,https://food-cms.grab.com/compressed_webp/items/IDITE2023091800290615785/detail/menueditor_item_97503455a5ae4c5380559b051ddca73f_1694996831569849630.webp,2025-05-28 09:43:54
