Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Pangsit Mie Ayam,22.500,Mie Ayam Original + 1 Kulit Pangsit,https://food-cms.grab.com/compressed_webp/items/6-CZNUVKWDT8EULJ-CZNUVKWEJ3LWTT/detail/6-CZNUVKWDT8EULJ_f5c4f07d4a254828940dd18c7d0d09a0_1684736918805853672.webp,2025-05-28 12:44:25
Mie Ayam,20.000,Mie Ayam Original,https://food-cms.grab.com/compressed_webp/items/6-CZNUVKWDT8EULJ-CZNUVKWEEBEUWE/detail/6-CZNUVKWDT8EULJ_75d2da50d52d4041b0d2c991c27d4311_1684736911107742546.webp,2025-05-28 12:44:25
Mie Ayam Komplit,26.500,Mie Ayam Original + 1 Kulit Pangsit + 1 Bakwan,https://food-cms.grab.com/compressed_webp/items/6-CZNUVKWDT8EULJ-CZNUVKWEN6EBAT/detail/6-CZNUVKWDT8EULJ_f34d83e66d924f66ab7a89a3010e6e5c_1684736927560318948.webp,2025-05-28 12:44:25
Mie Ayam Jumbo,28.500,isi 6 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2020092813183841468/detail/menueditor_item_490acba9562349199b1efe74522a9215_1601298737645809003.webp,2025-05-28 12:44:25
Mie Ayam Yamin,21.500,Mie komplit dengan topping ayam rendang,https://food-cms.grab.com/compressed_webp/items/IDITE2022063014482254319/detail/6-CZNUVKWDT8EULJ_03175b8b83ec4f389f045e166796447a_1684736929239277972.webp,2025-05-28 12:44:25
Mie Yamin Komplit,28.000,Mie dengan topping ayam rendang,https://food-cms.grab.com/compressed_webp/items/IDITE2022063014503962728/detail/6-CZNUVKWDT8EULJ_3aa030c13c1f44d9b56e8d367068624a_1684736911570761984.webp,2025-05-28 12:44:25
Pangsit Goreng,18.500,Pangsit mie dengan topping ayam rendang,https://food-cms.grab.com/compressed_webp/items/IDITE2020092813103655674/detail/menueditor_item_3a81f4f38479486eb4161ff2bb117ef9_1601298596468865309.webp,2025-05-28 12:44:25
Mie Yamin Pangsit,24.000,Mie bakwan dengan topping ayam rendang,https://food-cms.grab.com/compressed_webp/items/IDITE2022063014491475339/detail/menueditor_item_99dfae55c6f7407b851a3315df0d6d41_1656600533653337967.webp,2025-05-28 12:44:25
New! Mie Rendang Komplit,28.000,Mie jumbo dengan topping ayam rendang,https://food-cms.grab.com/compressed_webp/items/IDITE2024031315002765535/detail/menueditor_item_1a4f0a21a19b461f881fa48465432581_1710342024492093828.webp,2025-05-28 12:44:25
New! Mie Ayam Rendang,21.500,Mie pangsit dengan topping ayam rendang,https://food-cms.grab.com/compressed_webp/items/IDITE2024031314501492928/detail/menueditor_item_aaa088ca43c0489fa6d0ff557bd82c47_1710341534333468512.webp,2025-05-28 12:44:25
New! Pangsit mie ayam rendang,24.000,Mie bakwan dengan topping ayam rendang,https://food-cms.grab.com/compressed_webp/items/IDITE2024031314562167041/detail/menueditor_item_a5c922b33e1349be973695908cd3fc5e_1710341776482210323.webp,2025-05-28 12:44:25
New! Mie Rendang Bakwan,26.500,Mie komplit dengan topping ayam rendang,https://food-cms.grab.com/compressed_webp/items/IDITE2024031314583547483/detail/menueditor_item_c38a7558e8fe451584c4062e3c2facbb_1710341911433179643.webp,2025-05-28 12:44:25
New! Mie Ayam Rendang Jumbo,30.000,Mie ayam dengan saus creamy dan taburan wijen (tanpa kuah),https://food-cms.grab.com/compressed_webp/items/IDITE2024031406174415097/detail/menueditor_item_0f25435e7dcd46cf80fdda5be04f2c48_1710396982694420524.webp,2025-05-28 12:44:25
New! Pangsit Mie Ayam Rendang Jumbo,31.500,Mie Ayam Original,https://food-cms.grab.com/compressed_webp/items/IDITE2024031406200232288/detail/menueditor_item_c954c84042c44dfdb395c16ad7c996a0_1710397128137894790.webp,2025-05-28 12:44:25
New! Mie Rendang Bakwan Jumbo,33.500,Mie Ayam Original + 1 Kulit Pangsit,https://food-cms.grab.com/compressed_webp/items/IDITE2024031406224595112/detail/menueditor_item_4cbd559137a64a178ac8e17c282a31b7_1710397239659091609.webp,2025-05-28 12:44:25
New! Mie Rendang Komplit Jumbo,35.000,Mie Ayam Original + 1 Bakwan,https://food-cms.grab.com/compressed_webp/items/IDITE2024031406243990347/detail/menueditor_item_e2dc1d1b94034621a69e229d8d2a5055_1710397403710887692.webp,2025-05-28 12:44:25
Creamie Ayam,25.000,Mie Ayam Original + 1 Kulit Pangsit + 1 Bakwan,https://food-cms.grab.com/compressed_webp/items/IDITE2022121514090679225/detail/menueditor_item_09d6fe7f0c174832b6c7e17426ebd14d_1671113289041020718.webp,2025-05-28 12:44:25
Creamie Ayam Jumbo,30.750,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2022121514100864545/detail/menueditor_item_d83173f551344a3d8cdbe15d394029d6_1671113386081620782.webp,2025-05-28 12:44:25
Mie Polos,17.000,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2021060400310452725/detail/da22e60a58144babae52967f5175e010_1631247785745686179.webp,2025-05-28 12:44:25
Mie Ayam,20.000,isi 6 pcs,https://food-cms.grab.com/compressed_webp/items/6-CZNUVKWDT8EULJ-CZNUVKWEEBEUWE/detail/6-CZNUVKWDT8EULJ_75d2da50d52d4041b0d2c991c27d4311_1684736911107742546.webp,2025-05-28 12:44:25
Pangsit Mie Ayam,22.500,isi 6 pcs,https://food-cms.grab.com/compressed_webp/items/6-CZNUVKWDT8EULJ-CZNUVKWEJ3LWTT/detail/6-CZNUVKWDT8EULJ_f5c4f07d4a254828940dd18c7d0d09a0_1684736918805853672.webp,2025-05-28 12:44:25
Mie Bakwan,25.000,isi 5 biji,https://food-cms.grab.com/compressed_webp/items/6-CZNUVKWDT8EULJ-CZNUVKWEL3UDRA/detail/menueditor_item_03dca335976149068c1da43550f04cfd_1601472041612793514.webp,2025-05-28 12:44:25
Mie Ayam Komplit,26.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-CZNUVKWDT8EULJ-CZNUVKWEN6EBAT/detail/6-CZNUVKWDT8EULJ_f34d83e66d924f66ab7a89a3010e6e5c_1684736927560318948.webp,2025-05-28 12:44:25
