Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Nasi Bakar Usus,16.200,"Nasi bakar dengan usus, pedas dan harum, disajikan dalam daun pisang. Deskripsi ini dibuat oleh AI",https://food-cms.grab.com/compressed_webp/items/IDITE2024120901435232817/detail/menueditor_item_d0553d1c084d4be7aa5db74d33bb60d1_1733708605058202012.webp,2025-05-28 12:57:32
Nasi Bakar Ayam Suwir,18.000,Nasi + ayam suwir dibungkus daun pisang lalu dibakar,https://food-cms.grab.com/compressed_webp/items/IDITE2021121913161350488/detail/IDITE2021121913161350488_1a3ee9ad45654b599aa56f727baa8433_1684479746082696678.webp,2025-05-28 12:57:32
Nasi Bakar Tongkol,18.000,Nasi + ikan tongkol + daun kemangi dibungkus daun pisang lalu dibakar,https://food-cms.grab.com/compressed_webp/items/IDITE2021121913204658081/detail/IDITE2021121913204658081_fa44b72d0eda44dfabb436589db7bf54_1684479746116065308.webp,2025-05-28 12:57:32
Nasi Bakar Teri,18.900,Nasi bakar harum dengan ikan teri dan daun kemangi. Deskripsi ini dibuat oleh AI,https://food-cms.grab.com/compressed_webp/items/IDITE2021122001145921137/detail/menueditor_item_b2b87242aaf048efa94934ea195f1209_1733989264431472930.webp,2025-05-28 12:57:32
Nasi Bakar Mix 2,20.700,Bebas pilih lauk,https://food-cms.grab.com/compressed_webp/items/IDITE2023013014132337770/detail/IDITE2023013014132337770_8e25b5bf18f448f2828b15b9667a339c_1684479748516442067.webp,2025-05-28 12:57:32
Nasi Bakar Mix 3,22.500,"Nasi Bakar Mix 3, bebas pilih 3 lauk. lezat dengan sayuran, dan sambal pedas.",https://food-cms.grab.com/compressed_webp/items/IDITE2023013014163349085/detail/menueditor_item_5cbdd8e6eb214ca59d7c9fd130af816f_1733707997529292340.webp,2025-05-28 12:57:32
Nasi Bakar Mix 2,20.700,Bebas pilih lauk,https://food-cms.grab.com/compressed_webp/items/IDITE2023013014132337770/detail/IDITE2023013014132337770_8e25b5bf18f448f2828b15b9667a339c_1684479748516442067.webp,2025-05-28 12:57:32
Nasi Bakar Ayam Suwir,18.000,Nasi + ayam suwir dibungkus daun pisang lalu dibakar,https://food-cms.grab.com/compressed_webp/items/IDITE2021121913161350488/detail/IDITE2021121913161350488_1a3ee9ad45654b599aa56f727baa8433_1684479746082696678.webp,2025-05-28 12:57:32
Nasi Bakar Tongkol,18.000,Nasi + ikan tongkol + daun kemangi dibungkus daun pisang lalu dibakar,https://food-cms.grab.com/compressed_webp/items/IDITE2021121913204658081/detail/IDITE2021121913204658081_fa44b72d0eda44dfabb436589db7bf54_1684479746116065308.webp,2025-05-28 12:57:32
Nasi Bakar Mix 3,22.500,"Nasi Bakar Mix 3, bebas pilih 3 lauk. lezat dengan sayuran, dan sambal pedas.",https://food-cms.grab.com/compressed_webp/items/IDITE2023013014163349085/detail/menueditor_item_5cbdd8e6eb214ca59d7c9fd130af816f_1733707997529292340.webp,2025-05-28 12:57:32
Krupuk Finna 10g,3.000,"Krupuk udang renyah, gurih, dan nikmat untuk menemani hidanganmu. Deskripsi ini dibuat oleh AI",https://food-cms.grab.com/compressed_webp/items/IDITE2024092601485690558/detail/menueditor_item_6116e4e170784a0fbf735d5ef9688e0f_1727315326063106836.webp,2025-05-28 12:57:32
Es Teh,5.000,"Nasi bakar dengan usus, pedas dan harum, disajikan dalam daun pisang. Deskripsi ini dibuat oleh AI",https://food-cms.grab.com/compressed_webp/items/IDITE2022060702201757724/detail/menueditor_item_7fcea7acba6342508d1d4de211dc39f1_1719469403624980090.webp,2025-05-28 12:57:32
Nasi Bakar Usus,16.200,Nasi + ayam suwir dibungkus daun pisang lalu dibakar,https://food-cms.grab.com/compressed_webp/items/IDITE2024120901435232817/detail/menueditor_item_d0553d1c084d4be7aa5db74d33bb60d1_1733708605058202012.webp,2025-05-28 12:57:32
Nasi Bakar Ayam Suwir,18.000,Nasi + ikan tongkol + daun kemangi dibungkus daun pisang lalu dibakar,https://food-cms.grab.com/compressed_webp/items/IDITE2021121913161350488/detail/IDITE2021121913161350488_1a3ee9ad45654b599aa56f727baa8433_1684479746082696678.webp,2025-05-28 12:57:32
Nasi Bakar Tongkol,18.000,Nasi bakar harum dengan ikan teri dan daun kemangi. Deskripsi ini dibuat oleh AI,https://food-cms.grab.com/compressed_webp/items/IDITE2021121913204658081/detail/IDITE2021121913204658081_fa44b72d0eda44dfabb436589db7bf54_1684479746116065308.webp,2025-05-28 12:57:32
Nasi Bakar Teri,18.900,Bebas pilih lauk,https://food-cms.grab.com/compressed_webp/items/IDITE2021122001145921137/detail/menueditor_item_b2b87242aaf048efa94934ea195f1209_1733989264431472930.webp,2025-05-28 12:57:32
