Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Nasi udang empal,33.500,"nasi udang kering, empal suwir, sambel bawang.",https://food-cms.grab.com/compressed_webp/items/IDITE2021050400190732829/detail/62002ffe55bf43cfaef48c39b84dfad8_1679027129061142463.webp,2025-05-28 09:55:48
Nasi campur,30.000,"Bali daging, mie goreng, telur kecap, sambal goreng kentang, tumis sayur, sambal, nasi.",https://food-cms.grab.com/compressed_webp/items/IDITE2021050400214279280/detail/7167168a54be48ab912ca6631a7862fe_1679276569386211240.webp,2025-05-28 09:55:48
Nasi empal,32.500,"Nasi, empal suwir, serundeng, sambel bawang, lalapan.",https://food-cms.grab.com/compressed_webp/items/IDITE2021050400211484993/detail/635378f5cac7421096ea6d5382e944f1_1679138218396737963.webp,2025-05-28 09:55:48
Tahu Telur,25.500,Sup daging sapi dengan nasi dan telur rebus Deskripsi ini dibuat oleh AI,https://food-cms.grab.com/compressed_webp/items/IDITE2021050400255985262/detail/menueditor_item_52be32a9a7004a6fb224cdc853b0e21c_1620181622601090686.webp,2025-05-28 09:55:48
lontong mie,24.500,"Mi, pangsit, slada, ayam,",https://food-cms.grab.com/compressed_webp/items/IDITE2021050400250438854/detail/menueditor_item_8ec77274f03842cf970eac310124c8d9_1620181174131343847.webp,2025-05-28 09:55:48
nasi rawon,30.000,Segar dengan bumbu kacang! Deskripsi ini dibuat oleh AI,https://food-cms.grab.com/compressed_webp/items/IDITE2021050400220805083/detail/menueditor_item_59d49e6533304d40b72a33611785efb1_1620181043804113778.webp,2025-05-28 09:55:48
pangsit mie ayam,26.000,Isian full daging sapi,https://food-cms.grab.com/compressed_webp/items/IDITE2021050400262786550/detail/menueditor_item_f656930be9ca498d8072d5f6c880f4d4_1620181680773035288.webp,2025-05-28 09:55:48
Gado - Gado,25.500,"Dengan isian:ayam, rumput laut dan tiram (diameter 9 cm)",https://food-cms.grab.com/compressed_webp/items/IDITE2021050400253658109/detail/menueditor_item_a95b6c4003c046c390d9e1c4a2232e8a_1620181567151035367.webp,2025-05-28 09:55:48
SAUCIJS BROOD,14.000,1 pack (isi 5 pcs),https://food-cms.grab.com/compressed_webp/items/IDITE2025012100504718364/detail/menueditor_item_67f42f1a149249e88bd90a86bb63d72b_1737420551175025944.webp,2025-05-28 09:55:48
Ote-Ote Tiram,14.000,"Tersedia rasa Strawberry, coklat, Taro, banana,vanila oreo,bubblegum.(tanpa tambahan gula)",https://food-cms.grab.com/compressed_webp/items/IDITE2024082623452967349/detail/menueditor_item_990af06c23c3440e9408593bd4ea2f56_1724715783713947762.webp,2025-05-28 09:55:48
minuman lidah buaya,38.000,tersedia rasa original. Tanpa pemanis buatan.,https://food-cms.grab.com/compressed_webp/items/IDITE2024101101163587170/detail/menueditor_item_161002ea7d7f439b9102e6ec35f616fa_1728609203470529435.webp,2025-05-28 09:55:48
