Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Sate Ayam Daging + Kulit 20 Tusuk,42.000,bumbu kacang,https://food-cms.grab.com/compressed_webp/items/6-C2BUUEEETUUJCT-C2BUUEWFGA3ALX/detail/fbc3041348e241009f19445393d27ee8_1669192569780593665.webp,2025-05-27 21:04:16
sate taichan daging + kulit 20 tusuk,42.000,sate taichan 20 tusuk bumbu sambel,https://food-cms.grab.com/compressed_webp/items/IDITE2021053101360252698/detail/menueditor_item_ba1158f79d364fdea5e68c4871e87fed_1622424852938457420.webp,2025-05-27 21:04:16
sate ayam daging+kulit 30 tusuk,65.000,sate taichan bumbu sambel,https://food-cms.grab.com/compressed_webp/items/IDITE2025012311235789902/detail/menueditor_item_fb11e7100ff8419180bc0e6df009156e_1737631486161253294.webp,2025-05-27 21:04:16
Sate Ayam Daging + Kulit 10 Tusuk,21.000,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/6-C2BUUEEETUUJCT-C2BUUEWFDAMVDA/detail/cc48f13e3f874843819999544870a534_1677766051201761173.webp,2025-05-27 21:04:16
Lontong,4.000,sate taichan bumbu sambel,https://food-cms.grab.com/compressed_webp/items/6-C2BUUEEETUUJCT-C2BUUEWFLE22EN/detail/469d5f2844554335b7741804bd2e18e2_1661239360890713725.webp,2025-05-27 21:04:16
sate taichan daging + kulit 10 tusuk,23.000,sate taichan 20 tusuk bumbu sambel,https://food-cms.grab.com/compressed_webp/items/IDITE2021053102265499075/detail/menueditor_item_e49cefecc2d54b71b0871baf0206e453_1622427956636571170.webp,2025-05-27 21:04:16
sate ayam daging+kulit 15 tusuk,30.000,bumbu kacang,https://food-cms.grab.com/compressed_webp/items/IDITE2025012311093907202/detail/menueditor_item_08e00b2dd11a4b018f44f5541e68f511_1737630414369778404.webp,2025-05-27 21:04:16
Nasi,5.000,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/6-C2BUUEEETUUJCT-C2BUUEWFJFKDLT/detail/8d45500f27074794a3fe0af3c59ca566_1663049806127429612.webp,2025-05-27 21:04:16
sate ayam daging + kulit 25 tsuk,46.000,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZVFM3AFMXLT1794.webp,2025-05-27 21:04:16
sate ayam daging+kulit 30 tusuk,65.000,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2025012311235789902/detail/menueditor_item_fb11e7100ff8419180bc0e6df009156e_1737631486161253294.webp,2025-05-27 21:04:16
sate ayam daging+kulit 15 tusuk,30.000,sate taichan bumbu sambel,https://food-cms.grab.com/compressed_webp/items/IDITE2025012311093907202/detail/menueditor_item_08e00b2dd11a4b018f44f5541e68f511_1737630414369778404.webp,2025-05-27 21:04:16
sate taichan daging + kulit 10 tusuk,23.000,sate taichan 10 tusuk bumbu sambel,https://food-cms.grab.com/compressed_webp/items/IDITE2021053102265499075/detail/menueditor_item_e49cefecc2d54b71b0871baf0206e453_1622427956636571170.webp,2025-05-27 21:04:16
sate taichan daging + kulit 20 tusuk,42.000,sate kambing 20 tusuk bumbu kacang,https://food-cms.grab.com/compressed_webp/items/IDITE2021053101360252698/detail/menueditor_item_ba1158f79d364fdea5e68c4871e87fed_1622424852938457420.webp,2025-05-27 21:04:16
Lontong,4.000,sate kambing 10 tusuk bumbu kacang,https://food-cms.grab.com/compressed_webp/items/6-C2BUUEEETUUJCT-C2BUUEWFLE22EN/detail/469d5f2844554335b7741804bd2e18e2_1661239360890713725.webp,2025-05-27 21:04:16
Nasi,5.000,bumbu kacang,https://food-cms.grab.com/compressed_webp/items/6-C2BUUEEETUUJCT-C2BUUEWFJFKDLT/detail/8d45500f27074794a3fe0af3c59ca566_1663049806127429612.webp,2025-05-27 21:04:16
