Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
SOTO AYAM TANPA NASI,25.000,1 Porsi Kuah Soto Ayam dengan Irisan daging Ayam (sesuai stok yang tersedia),https://food-cms.grab.com/compressed_webp/items/IDITE2024120508373370290/detail/menueditor_item_e4ac6c32dfb048e1b287e23e8de1888b_1733409855173145228.webp,2025-05-28 10:09:27
NASI GORENG JAWA MAWUT,26.000,"Nasi goreng jawa dengan dengan sayuran lengkap mie, toge dan kol",https://food-cms.grab.com/compressed_webp/items/IDITE2024120508410336714/detail/menueditor_item_2c48791f5a7b47e385871fe7d831c6f7_1733523130226802714.webp,2025-05-28 10:09:27
SOTO AYAM ORIGINAL,25.000,1 Porsi Nas (Dipisah)i + 1 Porsi Kuah Soto Dengan Suwiran Daging Ayam (Dada/Paha),https://food-cms.grab.com/compressed_webp/items/IDITE2024120508341131713/detail/menueditor_item_f1eefb21386f4e68a42197ccea48bf5c_1733410047483709435.webp,2025-05-28 10:09:27
NASI GORENG JAWA ORIGINAL,25.000,Nasi yang digoreng dengan bumbu jawa asli cita rasa asli khas Lamongan,https://food-cms.grab.com/compressed_webp/items/IDITE2024120508420884684/detail/menueditor_item_a18306932fab4c34a79672009f8c0151_1733523089801285686.webp,2025-05-28 10:09:27
SOTO AYAM CAMPUR,25.000,1 Porsi Nasi Dipisah + 1 Porsi Soto Ayam Dengan Irisan Daging Campuran Kulit,https://food-cms.grab.com/compressed_webp/items/IDITE2024120508352227262/detail/menueditor_item_1372881f33794340ab66b42711a3239a_1733409976545661734.webp,2025-05-28 10:09:27
MIE GORENG JAWA ORIGINAL,25.000,Mie Goreng jawa dengan sayuran dengan perpaduan bumbu jawa asli khas kota Lamongan Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVRVNDEJXFNE5944.webp,2025-05-28 10:09:27
SOTO AYAM SPESIAL MIX,50.000,"1 Porsi Nasi +1 Porsi Soto Dengan Irisan Daging Ayam, Kulit Ayam, Ati Ampela, Telor Muda ( Campuran Ayam Tergantung Stok Yang Tersedia )+double Koya",https://food-cms.grab.com/compressed_webp/items/IDITE2024120508385049863/detail/menueditor_item_e93e6033822a4d009dacb7e3d939847c_1733387890501929189.webp,2025-05-28 10:09:27
NASGOR JAWA SPESIAL TELUR,30.500,Nasi goreng spesial dengan telur dadar/ ceplok dan bumbu lezat khas kota lamongan Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVRYKACKTHTA2204.webp,2025-05-28 10:09:27
SOTO AYAM ORIGINAL,25.000,1 Porsi Nas (Dipisah)i + 1 Porsi Kuah Soto Dengan Suwiran Daging Ayam (Dada/Paha),https://food-cms.grab.com/compressed_webp/items/IDITE2024120508341131713/detail/menueditor_item_f1eefb21386f4e68a42197ccea48bf5c_1733410047483709435.webp,2025-05-28 10:09:27
SOTO AYAM CAMPUR,25.000,1 Porsi Nasi Dipisah + 1 Porsi Soto Ayam Dengan Irisan Daging Campuran Kulit,https://food-cms.grab.com/compressed_webp/items/IDITE2024120508352227262/detail/menueditor_item_1372881f33794340ab66b42711a3239a_1733409976545661734.webp,2025-05-28 10:09:27
SOTO AYAM TANPA NASI,25.000,1 Porsi Kuah Soto Ayam dengan Irisan daging Ayam (sesuai stok yang tersedia),https://food-cms.grab.com/compressed_webp/items/IDITE2024120508373370290/detail/menueditor_item_e4ac6c32dfb048e1b287e23e8de1888b_1733409855173145228.webp,2025-05-28 10:09:27
SOTO AYAM JEROAN,25.000,1 Porsi Nasi + 1 Porsi Soto Ayam Dengan Irisan Ati Ampela (Rempelo Ati) / Telur Muda (Uritan),https://food-cms.grab.com/compressed_webp/items/IDITE2024120508362732084/detail/menueditor_item_25fdd61a53184159aaa8714251a7f316_1733387767342394785.webp,2025-05-28 10:09:27
SOTO AYAM SPESIAL MIX,50.000,"1 Porsi Nasi +1 Porsi Soto Dengan Irisan Daging Ayam, Kulit Ayam, Ati Ampela, Telor Muda ( Campuran Ayam Tergantung Stok Yang Tersedia )+double Koya",https://food-cms.grab.com/compressed_webp/items/IDITE2024120508385049863/detail/menueditor_item_e93e6033822a4d009dacb7e3d939847c_1733387890501929189.webp,2025-05-28 10:09:27
NASI GORENG JAWA ORIGINAL,25.000,Nasi yang digoreng dengan bumbu jawa asli cita rasa asli khas Lamongan,https://food-cms.grab.com/compressed_webp/items/IDITE2024120508420884684/detail/menueditor_item_a18306932fab4c34a79672009f8c0151_1733523089801285686.webp,2025-05-28 10:09:27
NASI GORENG JAWA MAWUT,26.000,"Nasi goreng jawa dengan dengan sayuran lengkap mie, toge dan kol",https://food-cms.grab.com/compressed_webp/items/IDITE2024120508410336714/detail/menueditor_item_2c48791f5a7b47e385871fe7d831c6f7_1733523130226802714.webp,2025-05-28 10:09:27
NASGOR JAWA SPESIAL TELUR,30.500,Nasi goreng spesial dengan telur dadar/ ceplok dan bumbu lezat khas kota lamongan Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVRYKACKTHTA2204.webp,2025-05-28 10:09:27
MIE GORENG JAWA ORIGINAL,25.000,Mie Goreng jawa dengan sayuran dengan perpaduan bumbu jawa asli khas kota Lamongan Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVRVNDEJXFNE5944.webp,2025-05-28 10:09:27
MIE KUAH JAWA ORIGINAL,25.000,Mie kuah jawa dengan campuran sayur dengan paduan bumbu jawa yang original khas kota Lamongan Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVRXCGFCJWT25917.webp,2025-05-28 10:09:27
ES JERUK MANIS,10.500,Es Jeruk Manis asli buah jeruk dengan gula original sangat pas dan cocok untuk menikmati hidangan kami Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZSEWYN34THA6453.webp,2025-05-28 10:09:27
JERUK MANIS HANGAT,10.500,Minuman manis dengan rasa jeruk segar yang menyegarkan dengan gula asli dikemas dalam plastik hdpe foodgrade Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZSEW1AATTWA8620.webp,2025-05-28 10:09:27
ES JERUK NIPIS,10.500,Jeruk nipis dingin dengan gula original sangat pas dan cocok untuk menikmati hidangan kami Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVRVAEJN4JCE1306.webp,2025-05-28 10:09:27
JERUK NIPIS HANGAT,10.500,jeruk nipis hangat dengan gula original sangat pas dan cocok untuk menikmati hidangan kami Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVRVATEUUANX5851.webp,2025-05-28 10:09:27
ES TEH,8.500,Teh dingin / Es Teh dengan gula original sangat pas dan cocok untuk menikmati hidangan kami Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZSFAKTNMXT61253.webp,2025-05-28 10:09:27
TEH HANGAT,8.500,Teh Hangat dengan gula original sangat pas dan cocok untuk menikmati hidangan kami Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZVJKJR8K1GN9678.webp,2025-05-28 10:09:27
