Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Spikoe Reguler Tanpa Kismis,100.000,Tanpa Kismis. Ketahanan 5 hari suhu ruang Atau 12 hari dikulkas.,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000k6u-CYJ3LK2EPFK3T6/detail/c37d133c0d394b43a93f106503739cbd_1677766053100135133.webp,2025-05-28 09:47:23
Spikoe Spesial Kismis,235.000,Kismis. Ketahanan 5 hari suhu ruang Atau 12 hari dikulkas.,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000k6u-CYJ3LK2ELUVETE/detail/e8c8b638970b46c188360b3a07d43a7c_1679276863715553814.webp,2025-05-28 09:47:23
Spikoe Reguler Prunes,140.000,Spikoe Premium. Ketahanan 5 hari suhu ruang Atau 12 hari dikulkas.,https://food-cms.grab.com/compressed_webp/items/IDITE2020022106075410826/detail/menueditor_item_924cf739ca254f019a067c06bdeb205a_1582265234258881659.webp,2025-05-28 09:47:23
Spikoe Reguler Speculaas,100.000,Ketahanan 5 hari suhu ruang Atau 12 hari dikulkas.,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000k6u-CYJ3LK2EWGC1J6/detail/e9b752f8ccb141d5b17978409d526964_1679128712611785534.webp,2025-05-28 09:47:23
Joika Japanese Cheesecake,120.000,"Premium Japanese cheesecake, ringan dan lembut saat digigit. menggunakan keju premium yg bikin cheese lover ketagihan. box kokoh, tas spunbun cantik. cocok untuk hantaran. Bertahan 1 hari disuhu ruangan Atau 3 hari disuhu kulkas",https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000k6u-CYJ3LK2EUGD3GA/detail/menueditor_item_d607436ea74d454cb516052295543e53_1717317996489731984.webp,2025-05-28 09:47:23
Joika Mini Cheesecake (Diameter 9Cm),50.000,"Premium Japanese cheesecake, ringan dan lembut saat digigit. menggunakan keju premium yg bikin cheese lover ketagihan. box mini cokelat isi 1 pc kueBertahan 1 hari disuhu ruangan Atau 3 hari disuhu kulkas",https://food-cms.grab.com/compressed_webp/items/IDITE2023051008012031878/detail/menueditor_item_9ab4b8903b6f4815b69e1c28267c8640_1683705616010246804.webp,2025-05-28 09:47:23
Spikoe Spesial Tanpa Kismis,235.000,Tanpa Kismis. Ketahanan 5 hari suhu ruang Atau 12 hari dikulkas.,https://food-cms.grab.com/compressed_webp/items/IDITE2020022104374155155/detail/7acb865e59af45cb93593e6583a8ea1a_1679136102582762344.webp,2025-05-28 09:47:23
Spikoe Spesial Kismis,235.000,Kismis. Ketahanan 5 hari suhu ruang Atau 12 hari dikulkas.,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000k6u-CYJ3LK2ELUVETE/detail/e8c8b638970b46c188360b3a07d43a7c_1679276863715553814.webp,2025-05-28 09:47:23
Spikoe Spesial Plum,335.000,"Selai raspberry, prunes kering, 2 lapis kuning- kuning. Ketahanan 5 hari suhu ruang Atau 12 hari dikulkas.",https://food-cms.grab.com/compressed_webp/items/IDITE2021020501004222655/detail/menueditor_item_13160e1b6e7244a5a1746fe56639ec28_1612487020257332310.webp,2025-05-28 09:47:23
Spikoe Reguler Prunes,140.000,Spikoe Premium. Ketahanan 5 hari suhu ruang Atau 12 hari dikulkas.,https://food-cms.grab.com/compressed_webp/items/IDITE2020022106075410826/detail/menueditor_item_924cf739ca254f019a067c06bdeb205a_1582265234258881659.webp,2025-05-28 09:47:23
Spikoe Reguler Kismis,100.000,(Kismis). Ketahanan 5 hari suhu ruang Atau 12 hari dikulkas.,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000k6u1508475344678838250/detail/e31ec5a58c7443a5867009f718881ebd_1679136102582805929.webp,2025-05-28 09:47:23
Spikoe Reguler Tanpa Kismis,100.000,Tanpa Kismis. Ketahanan 5 hari suhu ruang Atau 12 hari dikulkas.,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000k6u-CYJ3LK2EPFK3T6/detail/c37d133c0d394b43a93f106503739cbd_1677766053100135133.webp,2025-05-28 09:47:23
Spikoe Reguler Speculaas,100.000,Ketahanan 5 hari suhu ruang Atau 12 hari dikulkas.,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000k6u-CYJ3LK2EWGC1J6/detail/e9b752f8ccb141d5b17978409d526964_1679128712611785534.webp,2025-05-28 09:47:23
Joika Mini Cheesecake (Diameter 9Cm),50.000,"Premium Japanese cheesecake, ringan dan lembut saat digigit. menggunakan keju premium yg bikin cheese lover ketagihan. box mini cokelat isi 1 pc kueBertahan 1 hari disuhu ruangan Atau 3 hari disuhu kulkas",https://food-cms.grab.com/compressed_webp/items/IDITE2023051008012031878/detail/menueditor_item_9ab4b8903b6f4815b69e1c28267c8640_1683705616010246804.webp,2025-05-28 09:47:23
Joika Japanese Cheesecake,120.000,"Premium Japanese cheesecake, ringan dan lembut saat digigit. menggunakan keju premium yg bikin cheese lover ketagihan. box kokoh, tas spunbun cantik. cocok untuk hantaran. Bertahan 1 hari disuhu ruangan Atau 3 hari disuhu kulkas",https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000k6u-CYJ3LK2EUGD3GA/detail/menueditor_item_d607436ea74d454cb516052295543e53_1717317996489731984.webp,2025-05-28 09:47:23
Parcel Mini Cheesecake,120.000,2 mini cheesecake dikemas dengan tas mika beserta kartu ucapannya,https://food-cms.grab.com/compressed_webp/items/IDITE2025030409274018575/detail/menueditor_item_01c19844ebe84b79be58403f4b0141d6_1741080406688825522.webp,2025-05-28 09:47:23
Parcel Bolu Kenari,135.000,Bolu Kenari dikemas dengan belt tema Imlek beserta dengan kartu ucapannya,https://food-cms.grab.com/compressed_webp/items/IDITE2024120501095061233/detail/menueditor_item_5ee69cd8cd8c40818bee5ced4e06e6ca_1736327293317564039.webp,2025-05-28 09:47:23
Parcel Cheesecake,135.000,Cheesecake dikemas dengan belt tema Imlek beserta dengan kartu ucapannya,https://food-cms.grab.com/compressed_webp/items/IDITE2024120501085550584/detail/menueditor_item_c911d0a445744c6b80cf004696cf94e8_1736327322319579747.webp,2025-05-28 09:47:23
Bolu Kenari,120.000,"Lezatnya bolu butter dipadukan dengan crunchynya kacang Kenari bikin nagih! Isi 9 kue, dikemas dengan plastik satu-satu. Ketahanan 1 hari suhu ruang Atau 3 hari dikulkas.",https://food-cms.grab.com/compressed_webp/items/IDITE2023121507271669931/detail/menueditor_item_50354a7a35ed4abd83d603dfd8972434_1702625139923387807.webp,2025-05-28 09:47:23
Spikoe Parcel Prunes,365.000,"Spikoe ukuran spesial 24x26 cm dengan slide box packaging nuansa Idul Fitri, kartu ucapan, dan tas spunbond",https://food-cms.grab.com/compressed_webp/items/IDITE2023012008553634050/detail/menueditor_item_ba9f926216e74065a6d06f5979e3fd49_1741336039173555105.webp,2025-05-28 09:47:23
Spikoe Parcel Tanpa Kismis,265.000,"Spikoe ukuran spesial 24x26 cm dengan slide box packaging nuansa Idul Fitri, kartu ucapan, dan tas spunbond",https://food-cms.grab.com/compressed_webp/items/IDITE2020050204004182752/detail/menueditor_item_a70e6fa2520647c3955fe4f3f45044ee_1741336063282972369.webp,2025-05-28 09:47:23
Spikoe Parcel Kismis,265.000,"Spikoe ukuran spesial 24x26 cm dengan slide box packaging nuansa Idul Fitri, kartu ucapan, dan tas spunbond",https://food-cms.grab.com/compressed_webp/items/IDITE2020050203574055721/detail/menueditor_item_2acaa8534b014538b3fb09f518773235_1741336087778485790.webp,2025-05-28 09:47:23
