Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Bandeng Bakar Tanpa Duri,60.000,1 Ekor + Oseng Daun Singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2020121613500775972/detail/menueditor_item_97dcbbfc1d6d4bad9c18ca9450100eee_1608126553543276768.webp,2025-05-28 10:19:49
Ayam UKep 1 EKor Free Sambal,72.000,Ayam + Oseng Daun Singkong Dan Sambal,https://food-cms.grab.com/compressed_webp/items/IDITE2023030814431822498/detail/menueditor_item_79a6bd7ab0664cfebe1f7f60f5d4853a_1678286491072956613.webp,2025-05-28 10:19:49
Ayam Bakar Kecap 1Ekor,86.400,Ayam + Oseng Daun Singkong Dan Sambal,https://food-cms.grab.com/compressed_webp/items/IDITE2022021904324978104/detail/menueditor_item_621e854edc1b4d8ebbbc2a39feba8762_1645245104659608926.webp,2025-05-28 10:19:49
Ayam Goreng 1Ekor,86.400,Ayam 1 ekor + Sambal + Daun singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2022021904340318963/detail/menueditor_item_d9c507adabb84fb3999aa25aba99c83a_1645245183460178493.webp,2025-05-28 10:19:49
Ayam Bakar Bumbu Rujak 1 ekor,86.400,Gurame + Daun Singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2021042914165793926/detail/menueditor_item_31df9013136c490c9672ad2d545b782c_1619705746902315061.webp,2025-05-28 10:19:49
Gurame Bakar Kecap,60.000,Ayam + Oseng Daun Singkong Dan Sambal,https://food-cms.grab.com/compressed_webp/items/IDITE2020121302481435356/detail/menueditor_item_daaa7c2637a943af956c6c78474e06f0_1607827636358349972.webp,2025-05-28 10:19:49
Ayam Bakar Kecap 1Ekor,86.400,Ayam + Oseng Daun Singkong Dan Sambal,https://food-cms.grab.com/compressed_webp/items/IDITE2022021904324978104/detail/menueditor_item_621e854edc1b4d8ebbbc2a39feba8762_1645245104659608926.webp,2025-05-28 10:19:49
Ayam Goreng 1Ekor,86.400,Gurame + Daun Singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2022021904340318963/detail/menueditor_item_d9c507adabb84fb3999aa25aba99c83a_1645245183460178493.webp,2025-05-28 10:19:49
Gurame Bakar Kecap,60.000,Ayam 1 ekor + Sambal + Daun singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2020121302481435356/detail/menueditor_item_daaa7c2637a943af956c6c78474e06f0_1607827636358349972.webp,2025-05-28 10:19:49
Ayam UKep 1 EKor Free Sambal,72.000,1 Ekor + Oseng Daun Singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2023030814431822498/detail/menueditor_item_79a6bd7ab0664cfebe1f7f60f5d4853a_1678286491072956613.webp,2025-05-28 10:19:49
Ayam Bakar Bumbu Rujak 1 ekor,86.400,Ayam Bakar + Nasi + Sambal + Oseng daun singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2021042914165793926/detail/menueditor_item_31df9013136c490c9672ad2d545b782c_1619705746902315061.webp,2025-05-28 10:19:49
Bandeng Bakar Tanpa Duri,60.000,Ayam + Oseng Daun Singkong Dan Sambal,https://food-cms.grab.com/compressed_webp/items/IDITE2020121613500775972/detail/menueditor_item_97dcbbfc1d6d4bad9c18ca9450100eee_1608126553543276768.webp,2025-05-28 10:19:49
Nasi Ayam Bakar Kecap,25.500,Ayam Bakar + Nasi + Sambal + Oseng daun singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2021052502001644152/detail/de85ae3d04164403959a73faee4b2874_1679029074427660638.webp,2025-05-28 10:19:49
Lauk Ayam Bakar Kecap,19.000,Nasi Paru + Oseng Daun Singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2022021623142480039/detail/197b8d3e29464b96b49796f391e22cb7_1679137300722345255.webp,2025-05-28 10:19:49
Nasi Ayam Bakar Kecap,25.500,Nasi lele + sambal + tahu + oseng daun singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2021052502001644152/detail/de85ae3d04164403959a73faee4b2874_1679029074427660638.webp,2025-05-28 10:19:49
Nasi Paru Goreng Sambal Bawang,30.500,Nasi Ayam Bakar + Sambal + Oseng Daun Singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2022112106262687901/detail/menueditor_item_953e0002524e420b9fc8b63373a878de_1669011906525066973.webp,2025-05-28 10:19:49
Kentang Goreng,14.000,"Nasi Nila Bakar, Sambal + Oseng daun singkong",https://food-cms.grab.com/compressed_webp/items/IDITE2024030213150078238/detail/menueditor_item_fe88e39a7e2147c282258f59a0206957_1709385238811667757.webp,2025-05-28 10:19:49
Nasi Paru Rica Sambal Bawang,30.500,Nasi Ayam Geprek + Sambal,https://food-cms.grab.com/compressed_webp/items/IDITE2022112106271548775/detail/menueditor_item_c04c8a7eedd341ad8a90d9426b34336a_1669012009211536879.webp,2025-05-28 10:19:49
Nasi Lele Bakar,24.000,Nasi Ayam Geprek Dengan Saos Pedas,https://food-cms.grab.com/compressed_webp/items/IDITE2023091509024883183/detail/menueditor_item_8eb081e2f999417181c76f102e7a1cbb_1694768437781277990.webp,2025-05-28 10:19:49
Nasi Ayam Bakar Bumbu Rujak,25.500,Nasi kulit ayam + sambal,https://food-cms.grab.com/compressed_webp/items/IDITE2022062810315111404/detail/fb93d28f710742f1a3d5a20b3b71ff8d_1679128238365840128.webp,2025-05-28 10:19:49
Nasi Nila Bakar Kecap,30.500,Nasi Chicken Crispy + Sambal,https://food-cms.grab.com/compressed_webp/items/IDITE2022021808485593257/detail/menueditor_item_e3045fb03e9d4bb9967e97c67e32a044_1645174065422619192.webp,2025-05-28 10:19:49
Nasi Nila Bakar Rujak,30.500,Nasi Chicken Crispy + saos hot lava,https://food-cms.grab.com/compressed_webp/items/IDITE2022021808501110632/detail/menueditor_item_f32991de19ba4c17ba39fb66284990eb_1645174162067340254.webp,2025-05-28 10:19:49
Nasi Ayam Geprek,22.000,Nasi ayam goreng + tahu + terong + lalapan,https://food-cms.grab.com/compressed_webp/items/IDITE2021062204431636753/detail/menueditor_item_01e74d9b204d4a9da29457ec6e9fab25_1624336908508854224.webp,2025-05-28 10:19:49
Nasi Ayam Geprek Saos Hot Lava,23.000,Nasi Nila Goreng + Tahu + terong + lalalpan,https://food-cms.grab.com/compressed_webp/items/IDITE2021062723341601591/detail/menueditor_item_5ab69a56da2248268b135f7b88bca0ea_1624836771960124535.webp,2025-05-28 10:19:49
Nasi Ayam Geprek Saos Keju,23.000,Nasi telur + tahu + terong + lalapan,https://food-cms.grab.com/compressed_webp/items/IDITE2022032216352488268/detail/menueditor_item_6b91899d250041c5bf99ea484e6ba1fd_1647966881204922752.webp,2025-05-28 10:19:49
Nasi kulit ayam,21.500,Nasi ati ampela + tahu + terong + lalapan,https://food-cms.grab.com/compressed_webp/items/IDITE2021052504195341738/detail/menueditor_item_aff1e9ce93ec43408e3c178ab0bc1634_1621916194023552654.webp,2025-05-28 10:19:49
Nasi Chicken Crispy Sambal Bawang,23.500,Nasi ikan wader + tahu + terong + lalapan,https://food-cms.grab.com/compressed_webp/items/IDITE2021052718415522893/detail/menueditor_item_6b7e846fe31c410685281ec7d56ebd8b_1622140828060345500.webp,2025-05-28 10:19:49
Nasi Chicken Crispy Hot Lava,23.500,Nasi lele + tahu + terong + lalapan,https://food-cms.grab.com/compressed_webp/items/IDITE2021052718433156403/detail/menueditor_item_b097ffbbf0374af091ee9160f9e483b1_1622140938705018219.webp,2025-05-28 10:19:49
Nasi Penyetan Ayam Goreng,25.500,1 Ekor + Oseng Daun Singkong,https://food-cms.grab.com/compressed_webp/items/IDITE2021052502020383262/detail/menueditor_item_c1f9a28fa9324532bd91fc88c8b06afd_1621908054023108811.webp,2025-05-28 10:19:49
