Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Tahu Tek Pakai Telor,26.000,perpaduan petis dan kacang kalo digabung rasanya sangat enak banget,https://food-cms.grab.com/compressed_webp/items/IDITE2022021202165285624/detail/134fc4b2a1944a0aa8547f6c7a269767_1679128744051432680.webp,2025-05-28 13:04:45
tahu Tek dobel telor,29.000,perpaduan petis dan kacang sangat enak banget.,https://food-cms.grab.com/compressed_webp/items/IDITE2022021202205817732/detail/f99dcdf09b9e44ef811cc509d244072e_1677762662364253512.webp,2025-05-28 13:04:45
Tahu Tek Telor Tanpa lontong,26.000,tahu goreng+telor+kentang disiram bumbu kacang dan petes23,https://food-cms.grab.com/compressed_webp/items/IDITE2023062903495571926/detail/menueditor_item_de28a1ffa0754047a24b7c885d0f540d_1688010468356622853.webp,2025-05-28 13:04:45
tahu Tek telor jumbo,38.000,perpaduan petis dan kacang tanah rasanya sangat nikmat sekali,https://food-cms.grab.com/compressed_webp/items/IDITE2022021202245161392/detail/f267f3dc67e64d09ad91faa5f647b6cc_1679276769776440116.webp,2025-05-28 13:04:45
Tahu Tek Ndublek biasa,22.000,"nasi,ayam goreng asin manis gurih,sambal,dan lalapan",https://food-cms.grab.com/compressed_webp/items/IDITE2022021202281379421/detail/3c9cdfcd19404850813c7a199dbd9afe_1679135605659705047.webp,2025-05-28 13:04:45
Nasi Ayam goreng kremes.,32.000,"Es jeruk,jelly,buah,dan selasih",https://food-cms.grab.com/compressed_webp/items/IDITE2022040604002305482/detail/menueditor_item_d8eca6f002b1441b9d5018f01e8199e0_1649217545452500356.webp,2025-05-28 13:04:45
Es Kuwut Jeruk jumbo,15.000,Nasi Bebek goreng kremes +tahu gr sambal dan lalapan,https://food-cms.grab.com/compressed_webp/items/IDITE2022040605344631777/detail/menueditor_item_0dd5833afaa846f2974842bd08caa627_1649224298810677045.webp,2025-05-28 13:04:45
nasi lele goreng kremes,24.000,perpaduan petis dan kacang tanah rasanya sangat nikmat sekali,https://food-cms.grab.com/compressed_webp/items/IDITE2022021304070511023/detail/menueditor_item_7313f04884db449eba906cf4d4c072f8_1644725175638539982.webp,2025-05-28 13:04:45
Nasi Bebek goreng kremes,39.000,perpaduan petis dan kacang kalo digabung rasanya sangat enak banget,https://food-cms.grab.com/compressed_webp/items/IDITE2024112007214053657/detail/menueditor_item_5b3b0b94926a4c2b838e15c8c87ba628_1732087243359740575.webp,2025-05-28 13:04:45
tahu Tek telor jumbo,38.000,1Xtahu petis+1tahu Tek dobel telor,https://food-cms.grab.com/compressed_webp/items/IDITE2022021202245161392/detail/f267f3dc67e64d09ad91faa5f647b6cc_1679276769776440116.webp,2025-05-28 13:04:45
Tahu Tek Pakai Telor,26.000,"ayam goreng,manis,asin gurih",https://food-cms.grab.com/compressed_webp/items/IDITE2022021202165285624/detail/134fc4b2a1944a0aa8547f6c7a269767_1679128744051432680.webp,2025-05-28 13:04:45
"1 ✕ tahu petis, 1 ✕ tahu Tek dobel telor",48.000,Nasi+Udang goreng tepung+Saos tomat+ mayo,https://food-cms.grab.com/compressed_webp/items/IDITE2022031515360754864/detail/cc2599a43f9f42988dd2746ec6c053b0_1676169640655257746.webp,2025-05-28 13:04:45
nasi lele goreng kremes,24.000,Nasi+Ayam goreng bumbu+taburan bumbu Laos yg gurih dan nikmat+sambal+lalapan,https://food-cms.grab.com/compressed_webp/items/IDITE2022021304070511023/detail/menueditor_item_7313f04884db449eba906cf4d4c072f8_1644725175638539982.webp,2025-05-28 13:04:45
