Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Ikan Asin Peda,9.450,"lodeh putih dengan isi an manisa, kacang panjang, tahu/tempe",https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVR2D2LYKJVX8313.webp,2025-05-28 12:32:01
Lodeh Jawa,20.250,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZTB4GJPUZLE8278.webp,2025-05-28 12:32:01
OSENG CUMI ASIN,24.300,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2023033111430006858/detail/bf231521f8ed4b4297cd3f900bfd3184_1686140881807619194.webp,2025-05-28 12:32:01
Mangut Ndas Manyung,36.000,bumbu nasi goreng putih + Kecombrang+ ayam + telur,https://food-cms.grab.com/compressed_webp/items/IDITE2023033111420506300/detail/menueditor_item_33388c5df5734682839e080927fa8cd0_1736928179509911522.webp,2025-05-28 12:32:01
Tumpang Koyor,29.700,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2023021109504469415/detail/menueditor_item_df6c5566bd3449c0bff110a027d542fa_1676534139248213388.webp,2025-05-28 12:32:01
Brongkos,27.000,bumbu nasi goreng putih + Kecombrang+ ayam + telur,https://food-cms.grab.com/compressed_webp/items/IDITE2025042007550668766/detail/menueditor_item_2a0bb39c3b5b4490a44981ed073a93f5_1745156309469903073.webp,2025-05-28 12:32:01
Oseng Daun Pepaya Teri,14.400,bumbu nasi goreng merah + roa + telur,https://food-cms.grab.com/compressed_webp/items/IDITE2024031405053010842/detail/menueditor_item_ecfe052e4dd1480f8d1cfe6d89416371_1710392697035081041.webp,2025-05-28 12:32:01
Mangut Ikan Pe,27.900,bumbu nasi goreng putih + lombok hijau + ayam + telur,https://food-cms.grab.com/compressed_webp/items/IDITE2023033010302143790/detail/menueditor_item_1a7ca4503efc4467852e8e3b2c2dccff_1710391822441420561.webp,2025-05-28 12:32:01
lodeh Lombok hijau ( jangan ndeso ),14.400,bumbu nasi goreng putih + sambal terasi + ayam + telur,https://food-cms.grab.com/compressed_webp/items/IDITE2023033010273269449/detail/3a2d4360b3144a45b1a1f642737faca2_1680690790282706139.webp,2025-05-28 12:32:01
Nasi Goreng Kecombrang Ayam,22.500,bumbu nasi goreng merah + ayam + telur,https://food-cms.grab.com/compressed_webp/items/IDITE2023021109445954729/detail/menueditor_item_0f52bdb3fb1640dc8c1cbbda17e20b59_1736927459516908861.webp,2025-05-28 12:32:01
Ikan Bandeng Penyetan,31.500,bumbu nasi goreng putih + irisan cabe + ayam + telur,https://food-cms.grab.com/compressed_webp/items/IDITE2025030907290607711/detail/menueditor_item_2cf888aef84443f980b4c457fc05d64f_1741522059392187657.webp,2025-05-28 12:32:01
