Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Pepperoni Pizza,76.500,"Ini lho Pizza yang sering kalian denger dan lihat di Film-Film, it's all time favourite. Pepperoni Pizza.",https://food-cms.grab.com/compressed_webp/items/IDITE2024040710040022354/detail/menueditor_item_9127239ef20f49af900708f48b98d8ca_1712484200340784273.webp,2025-05-28 13:11:51
Classic Cheese,60.800,Yang Classic belum tentu bosenin. Cuma di Yours Pizza aja Cheese Pizza bisa bikin nagih. Kejunya asli cheessy bangets ❤️.,https://food-cms.grab.com/compressed_webp/items/IDITE2024040709560141498/detail/menueditor_item_59991c12fd404b75bb74b5221bd4d49a_1712483720495491410.webp,2025-05-28 13:11:51
The Supremacy,82.800,"Plit-plit-Komplit!!! Pizza dengan varian topping paling komplit di Yours Pizza. Coba hitung ada berapa ya, mimin sebutin : Sosis Sapi, Sosis Ayam, Minced Beef, Minced Burger, Onion, Paprika, dan yang pasti Cheese 🔥🤤",https://food-cms.grab.com/compressed_webp/items/IDITE2024041808304996872/detail/menueditor_item_3f3c4a0f14cb459ebec01a983020242b_1713429007492497169.webp,2025-05-28 13:11:51
Meaty Monster,82.800,"Warning! ""Pizza ini bisa membuatmu jatuh cinta kepadanya meski kau tak cinta""... Loh kok jadi nyanyi 🙏. Seriusan ini pizza tasty banget, Beef, Keju, Paprika, Onion dipadu dengan saus meaty yang spesial cuma ada di Yours Pizza 😘.",https://food-cms.grab.com/compressed_webp/items/IDITE2024041808291358839/detail/menueditor_item_a8deaa408a5749aa9f1e3bd95548247a_1713428895547001128.webp,2025-05-28 13:11:51
Sister's Favourite,82.800,(Pepperoni + Minced Beef),https://food-cms.grab.com/compressed_webp/items/IDITE2024041808272811488/detail/menueditor_item_12f7dddc27084680960a2425b475780d_1713428734763108556.webp,2025-05-28 13:11:51
Tuna & Cheese Pizza,76.500,Pizza dengan Saus Tuna Yang Creamy Banget Dan Diberi Topping Mozarella Jadi Super Cheeesssyy Dong!,https://food-cms.grab.com/compressed_webp/items/IDITE2024040710053737008/detail/menueditor_item_64111e290ca1423aad6b534c7d20464b_1712484270419728753.webp,2025-05-28 13:11:51
Carbonara Classic Pizza,60.800,Pizza dengan saus carbonara yang creamy ditaburi dengan keju mozarella,https://food-cms.grab.com/compressed_webp/items/IDITE20240406071355035273/detail/menueditor_item_40f9b62a99a5484a9ceca1017f0e25f4_1712483486426535148.webp,2025-05-28 13:11:51
Cheese Sticks Pizza,60.800,"Yours Pizza emang jagonya Cheese deh, yang satu ini pizza full keju tanpa saus tomat. rasanya beda dan nggak kalah enak dari yang Classic.",https://food-cms.grab.com/compressed_webp/items/IDITE20240406071355021662/detail/menueditor_item_edb5102a5c0b4d36b58d6889de7bd5f1_1712483285285155667.webp,2025-05-28 13:11:51
Classic Cheese,60.800,Yang Classic belum tentu bosenin. Cuma di Yours Pizza aja Cheese Pizza bisa bikin nagih. Kejunya asli cheessy bangets ❤️.,https://food-cms.grab.com/compressed_webp/items/IDITE2024040709560141498/detail/menueditor_item_59991c12fd404b75bb74b5221bd4d49a_1712483720495491410.webp,2025-05-28 13:11:51
Carbonara Classic Pizza,60.800,Pizza dengan saus carbonara yang creamy ditaburi dengan keju mozarella,https://food-cms.grab.com/compressed_webp/items/IDITE20240406071355035273/detail/menueditor_item_40f9b62a99a5484a9ceca1017f0e25f4_1712483486426535148.webp,2025-05-28 13:11:51
Cheese Sticks Pizza,60.800,"Yours Pizza emang jagonya Cheese deh, yang satu ini pizza full keju tanpa saus tomat. rasanya beda dan nggak kalah enak dari yang Classic.",https://food-cms.grab.com/compressed_webp/items/IDITE20240406071355021662/detail/menueditor_item_edb5102a5c0b4d36b58d6889de7bd5f1_1712483285285155667.webp,2025-05-28 13:11:51
Hand Tossed Crust Classic Cheese,60.800,"Ini lho Pizza yang sering kalian denger dan lihat di Film-Film, it's all time favourite. Pepperoni Pizza.",https://food-cms.grab.com/compressed_webp/items/IDITE20240406071355014701/detail/menueditor_item_3ca84245e9644b21a975aa91c24018de_1712483141870723073.webp,2025-05-28 13:11:51
Pepperoni Pizza,76.500,Pizza dengan Saus Tuna Yang Creamy Banget Dan Diberi Topping Mozarella Jadi Super Cheeesssyy Dong!,https://food-cms.grab.com/compressed_webp/items/IDITE2024040710040022354/detail/menueditor_item_9127239ef20f49af900708f48b98d8ca_1712484200340784273.webp,2025-05-28 13:11:51
Carbonara Smoked Beef,76.500,Smoked Beef + Pineapple,https://food-cms.grab.com/compressed_webp/items/IDITE2024040709593116076/detail/menueditor_item_a3d70db580fb4771b157c1d1bb9630bb_1712483944046839062.webp,2025-05-28 13:11:51
Tuna & Cheese Pizza,76.500,"Warning! ""Pizza ini bisa membuatmu jatuh cinta kepadanya meski kau tak cinta""... Loh kok jadi nyanyi 🙏. Seriusan ini pizza tasty banget, Beef, Keju, Paprika, Onion dipadu dengan saus meaty yang spesial cuma ada di Yours Pizza 😘.",https://food-cms.grab.com/compressed_webp/items/IDITE2024040710053737008/detail/menueditor_item_64111e290ca1423aad6b534c7d20464b_1712484270419728753.webp,2025-05-28 13:11:51
Hawaiian Pizza,76.500,(Pepperoni + Minced Beef),https://food-cms.grab.com/compressed_webp/items/IDITE2024040710064974834/detail/menueditor_item_fb02bc4bcadc466f929f8d1b4fa003dd_1712484382919233815.webp,2025-05-28 13:11:51
Meaty Monster,82.800,"Plit-plit-Komplit!!! Pizza dengan varian topping paling komplit di Yours Pizza. Coba hitung ada berapa ya, mimin sebutin : Sosis Sapi, Sosis Ayam, Minced Beef, Minced Burger, Onion, Paprika, dan yang pasti Cheese 🔥🤤",https://food-cms.grab.com/compressed_webp/items/IDITE2024041808291358839/detail/menueditor_item_a8deaa408a5749aa9f1e3bd95548247a_1713428895547001128.webp,2025-05-28 13:11:51
Sister's Favourite,82.800,"Minced Beef, Minced Chicken, Onion, Mushroom, Tomato, Cheese",https://food-cms.grab.com/compressed_webp/items/IDITE2024041808272811488/detail/menueditor_item_12f7dddc27084680960a2425b475780d_1713428734763108556.webp,2025-05-28 13:11:51
The Supremacy,82.800,"Jadi ceritanya sosis-sosis nya lagi party festival mangkanya rame banget toppingnya. ini cucok banget buat kalian yang suka sama sosis-sosis an ya. ada sosis sapi, sosis ayam, & minced burger.. Dan semuanya itu takarannya x2 lhoo. 😋",https://food-cms.grab.com/compressed_webp/items/IDITE2024041808304996872/detail/menueditor_item_3f3c4a0f14cb459ebec01a983020242b_1713429007492497169.webp,2025-05-28 13:11:51
Bolognese Pizza,82.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024041808200488525/detail/menueditor_item_6c2ca2ac997b4b25ae21aa855a088710_1713428350100318527.webp,2025-05-28 13:11:51
Mushroom Pizza,70.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024040710020877480/detail/menueditor_item_4f893a49079843ad94da459850c438ae_1712484113118706218.webp,2025-05-28 13:11:51
Carbonara Mushroom,70.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024040710004958191/detail/menueditor_item_27df85e60ea048f28cca85403d3c23e1_1712484032492269714.webp,2025-05-28 13:11:51
Sausage Festival,82.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024040710083638011/detail/menueditor_item_6f34ac340fa141b4b0c58223ee48d521_1712484458395817654.webp,2025-05-28 13:11:51
Choco Oreo Pizza,43.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024041808335307217/detail/menueditor_item_cdecbd059ca44d7d93e738d59aa4f84d_1713429194666590447.webp,2025-05-28 13:11:51
Choco Cheese Pizza,48.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024041808223871383/detail/menueditor_item_2e2ea2e844ac452c9f275ee6d3d506f1_1713428498664990703.webp,2025-05-28 13:11:51
