Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
PAYDAY 2 for Rp 103.000,103.000,1 Footlong Roast Beef/Italian BMT/Spicy Italian + 6 inch Chick 'n Chick/Beef Slice/Chicken Slice,https://food-cms.grab.com/compressed_webp/items/IDITE20250521060413284920/detail/fe363a03d88d4ea1a730bf8aa4dd0f4a_1748106358975623145.webp,2025-05-27 20:53:45
Cemara A (Paket Berdua) - Chicken,100.000,Paket Berdua dengan 2 White Bread 6-inch Chicken Sandwich + 2 Drinks,https://food-cms.grab.com/compressed_webp/items/IDITE202505140112402820024/detail/f3fc0ae08c384c0195b1b08e3b1772ce_1747278073265617773.webp,2025-05-27 20:53:45
HAMPERS - CHICKEN,252.000,"SUB-BITES adalah paket kombinasi sandwich 3” lezat dari Subway. Tersedia 3 kombinasi sandwich yaitu menu Beef, menu Chicken sandwich atau kombinasikan sesuai kreasi.",https://food-cms.grab.com/compressed_webp/items/IDITE20250508021545175831/detail/a5fa937ec5284d319b53b66583345d0b_1746694819537436880.webp,2025-05-27 20:53:45
Cemara B (Paket Berdua) - Fish,100.000,Paket Berdua dengan 2 White Bread 6-inch Fish Sandwich + 2 Drinks,https://food-cms.grab.com/compressed_webp/items/IDITE202505140112403105642/detail/453ab5926bd64592aef733aac9afb912_1747278073374687787.webp,2025-05-27 20:53:45
HAMPERS - BEEF,314.000,"SUB-BITES adalah paket kombinasi sandwich 3” lezat dari Subway. Tersedia 3 kombinasi sandwich yaitu menu Beef, menu Chicken sandwich atau kombinasikan sesuai kreasi.",https://food-cms.grab.com/compressed_webp/items/IDITE20250508021546024723/detail/20d6d3b7dd40425d847740e0231f7b0a_1746694819724342967.webp,2025-05-27 20:53:45
Cemara C (Paket Berdua) - Beef,120.000,Paket Berdua dengan 2 White Bread 6-inch Beef Sandwich + 2 Drinks,https://food-cms.grab.com/compressed_webp/items/IDITE202505140112402689312/detail/e21cb6074ece41f2b98ab8c0b61253fc_1747277806444429867.webp,2025-05-27 20:53:45
HAMPERS - MIX,286.000,"SUB-BITES adalah paket kombinasi sandwich 3” lezat dari Subway. Tersedia 3 kombinasi sandwich yaitu menu Beef, menu Chicken sandwich atau kombinasikan sesuai kreasi.",https://food-cms.grab.com/compressed_webp/items/IDITE20250508021534139017/detail/3c3d63b35292426abd80ab6b43882cdb_1746694819938056742.webp,2025-05-27 20:53:45
Cemara D (Paket Bertiga),205.000,Paket Bertiga dengan 3 White Bread 6-inch Beef Sandwich + 3 Side Dish + 3 Drinks,https://food-cms.grab.com/compressed_webp/items/IDITE202505140112402855309/detail/9f20d957677b4b13b6344d68b8e9f1ad_1747277806635770227.webp,2025-05-27 20:53:45
HAMPERS - MIX COOKIES,220.000,SUB-BITES adalah paket kombinasi soft cookies dari Subway : 4 Chocochip Cookies 4 Oatmeal Cookies 4 Double Choco Cookies,https://food-cms.grab.com/compressed_webp/items/IDITE20250508021534154927/detail/b802629b34734d1ab1d9b2e01654c158_1746694820124342011.webp,2025-05-27 20:53:45
#B1G1 Roast Beef Combo,113.000,"Buy Roast Beef 6"" Combo, get Special Recipe of Subway Chick 'n Chick 6"" Combo",https://food-cms.grab.com/compressed_webp/items/IDITE20250415044002752835/detail/c69330ca225c47ac873e1252031b3c83_1744697602430171369.webp,2025-05-27 20:53:45
