Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Spunbond Belikopi Large,6.000,2 Ice Chocolate + 2 Ropang Chocolate,https://food-cms.grab.com/compressed_webp/items/IDITE2023111506144963769/detail/menueditor_item_fcf0f59a522d41ca9f0d28e6376b91dd_1700028887228449205.webp,2025-06-01 09:58:06
Spunbond Belikopi Small,3.500,5 Ropang Chocolate,https://food-cms.grab.com/compressed_webp/items/IDITE2023111506140761111/detail/menueditor_item_b62df90dbb52410cad47861796edd18c_1700028845422774180.webp,2025-06-01 09:58:06
Dus Karton Belikopi,7.500,1 Cup Kopi/Non Kopi + 1 Ropang Chocolate/Cheese/Noughat/Sarikaya/Nastar,https://food-cms.grab.com/compressed_webp/items/IDITE20231125055339680753/detail/133a02a8e86041dd8530a9891cfd9c85_1700891619697302035.webp,2025-06-01 09:58:06
Ice Kopi Susu Nusantara Upsize,15.000,1 Kopi / Non Kopi + 1 Ropang Original,https://food-cms.grab.com/compressed_webp/items/IDITE2023111506232737077/detail/menueditor_item_ade61be7a2e049e9880dd64e27634f3c_1700029397845141852.webp,2025-06-01 09:58:06
Ice Hazelnut Latte Upsize,17.500,5 Cup Kopi / Non Kopi,https://food-cms.grab.com/compressed_webp/items/IDITE2023111506223813692/detail/menueditor_item_b95a32e52a4f44dabc228e300736264b_1700029350105148201.webp,2025-06-01 09:58:06
Ice Caramel Machiato Upsize,17.500,30 Cup Ice Chocolate atau Ice Kopi Susu Gula Aren,https://food-cms.grab.com/compressed_webp/items/IDITE2023111506215860713/detail/menueditor_item_c5643bd762664f33a3a66ed8cb2cf393_1700029310624351624.webp,2025-06-01 09:58:06
Ice Vanilla Latte Upsize,17.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023111506211826997/detail/menueditor_item_41d40ba827c94b8dac73836daab67280_1700029270246193752.webp,2025-06-01 09:58:06
Ice Americano Upsize,11.250,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023111506203833688/detail/menueditor_item_ad34ad4c6ab840f5ba8f1f0cd7ed1871_1700029231043935970.webp,2025-06-01 09:58:06
Ice Cappucino Upsize,15.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023111506200590903/detail/menueditor_item_53874a53928b4dceb479fe8652aef43d_1700029196946178783.webp,2025-06-01 09:58:06
Ice Kopi Hitam Upsize,11.250,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023111506192639755/detail/menueditor_item_ab975523cbc14b2596b2ff8ea40b22cf_1700029158175981527.webp,2025-06-01 09:58:06
