Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Nutella Cheese,37.800,Crepes lembut (tidak renyah) dengan perpaduan manisnya Ovomaltine dengan gurihnya taburan keju,https://food-cms.grab.com/compressed_webp/items/IDITE20220430181840279218/detail/c7b23161bab8442b89bf400a9d9bb345_1651342720506984682.webp,2025-06-01 10:12:15
Choco Cheese,19.500,Crepes lembut (tidak renyah) dengan potongan coklat Silverqueen,https://food-cms.grab.com/compressed_webp/items/IDITE20220430181838170175/detail/643d646c6b204c73a580f21c872a5426_1651342718358874658.webp,2025-06-01 10:12:15
Ovomaltine Cheese,35.650,Crepes lembut (tidak renyah) dengan olesan selai Ovomaltine,https://food-cms.grab.com/compressed_webp/items/IDITE20220430181841192345/detail/1dfb3376d38343798e2d8e81ddf5f76d_1651342721343208419.webp,2025-06-01 10:12:15
Silverqueen,36.750,WAJIB untuk pemesanan lebih dari 3 produk crepes,https://food-cms.grab.com/compressed_webp/items/IDITE20220430181840398110/detail/03f6d01c30d346f8a989fbc77fb8291c_1651342720743795780.webp,2025-06-01 10:12:15
Chili Doc,25.900,Smoked Beef dengan potongan jamur yang lembut serta saus truffle yang menggoda,https://food-cms.grab.com/compressed_webp/items/IDITE20220430181841473020/detail/de1552d50ee2409f9f2de9fcd0d58db4_1651342721942044584.webp,2025-06-01 10:12:15
Ovomaltine Only,35.650,Perpaduan antara keju yang berlimpah dengan manisnya madu,https://food-cms.grab.com/compressed_webp/items/IDITE20220430181841056746/detail/61c865e4a3904acf95abd0851b84611d_1651342721074902033.webp,2025-06-01 10:12:15
Banana Choco Melt,25.900,Nikmatnya potongan ayam dalam balutan saus honey mustard dalam kerenyahan crepes savory,https://food-cms.grab.com/compressed_webp/items/IDITE20220430181839355742/detail/a2a21f59272f4ab080a8217c6c85fe31_1651342719748782776.webp,2025-06-01 10:12:15
Choco Peanut,17.200,"Potongan daging sapi pilihan dipadukan dengan saus keju yang lezat, bikin kamu ketagihan",https://food-cms.grab.com/compressed_webp/items/IDITE20220430181837350042/detail/f76aee57afa24bb899c0f52e6e25318d_1651342717750767716.webp,2025-06-01 10:12:15
Takeaway Bag,1.000,Crepes lembut (tidak renyah) dengan potongan coklat Silverqueen,https://food-cms.grab.com/compressed_webp/items/IDITE20220430181837233234/detail/2106379e6d984dceb058a0516edff274_1651342717515346567.webp,2025-06-01 10:12:15
Smoked Beef Truffle,29.200,Crepes lembut (tidak renyah) dengan olesan selai Ovomaltine,https://food-cms.grab.com/compressed_webp/items/IDITE20250504170506246389/detail/f59557006e3648e49f2c3fe6134a1de3_1746378306444787125.webp,2025-06-01 10:12:15
Double Cheese,25.300,Crepes lembut (tidak renyah) dengan perpaduan manisnya Ovomaltine dengan gurihnya taburan keju,https://food-cms.grab.com/compressed_webp/items/IDITE202402111701382514639/detail/3d4db122ff9c4ca38756a1333205f7ab_1707670898804504007.webp,2025-06-01 10:12:15
