Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
TOPOKKI CERIA 1,63.500,Nasi+Topoki ph bw/sayap 1+Chicken strip 4 pcs+Orange squash,https://food-cms.grab.com/compressed_webp/items/IDITE20241025141400667901/detail/c6baa94012124bb8b1f4a1048d4b57e7_1729865640922311030.webp,2025-06-01 10:09:26
TOPOKKI CERIA 2,67.500,Nasi +Topoki ph bw/sayap+1 Frencfries 135 gr+ Orange squash,https://food-cms.grab.com/compressed_webp/items/IDITE20241025141400593376/detail/550a03c5315e4c8388a3dad510a7a7b5_1729865640739857119.webp,2025-06-01 10:09:26
TOPOKKI CERIA 3,67.000,Nasi + ph atas/ dada + Chicken strip 4 pcs+Orange squash,https://food-cms.grab.com/compressed_webp/items/IDITE20241025141400496517/detail/31d29d93bef44c4b9bcc0205132a4a93_1729865640582559290.webp,2025-06-01 10:09:26
TOPOKKI CERIA 4,71.000,Nasi+ ph atas/dada+1French fries 135 gr+Orange squash,https://food-cms.grab.com/compressed_webp/items/IDITE20241025141400271917/detail/e7cff11a00ce48389b23227c3c425e28_1729865640262290905.webp,2025-06-01 10:09:26
Paket Sensasi Geprek 1,27.000,Nasi+Chicken Crispy Sambal Geprek+Lemon Tea,https://food-cms.grab.com/compressed_webp/items/IDITE2022032205012879933/detail/menueditor_item_74c2845190524c22a6a548cc84009412_1647925270717410648.webp,2025-06-01 10:09:26
Paket Sensasi Geprek 2,32.500,Nasi+Sayap/Paha Bawah Sambal Geprek+Lemon Tea,https://food-cms.grab.com/compressed_webp/items/IDITE2022032205020983177/detail/menueditor_item_1159bd176d7640bba9b3d305ff66c88b_1647925307076175769.webp,2025-06-01 10:09:26
Paket Sensasi Geprek 3,40.000,Nasi+Dada/Paha Atas geprek+Lemon tea,https://food-cms.grab.com/compressed_webp/items/IDITE2022042309213798527/detail/menueditor_item_787ebc4a1c1746e880d79acd56118cbc_1650705645095665037.webp,2025-06-01 10:09:26
Paket Topokki 1,28.500,Nasi+Sayap/Paha Bawah Topokki,https://food-cms.grab.com/compressed_webp/items/IDITE2022042308541336439/detail/82b209b34e464ddfb909f0310b7531b3_1657006606525653715.webp,2025-06-01 10:09:26
Paket Topokki 2,32.000,Nasi+Dada/Paha Atas Topokki,https://food-cms.grab.com/compressed_webp/items/IDITE2022042308551305691/detail/b640f45f531942a98563ea40f345f0d9_1657006478614904546.webp,2025-06-01 10:09:26
Paket Hot Banget 1,32.500,Nasi+Sayap/Paha Bawah Hot,https://food-cms.grab.com/compressed_webp/items/IDITE2022032205044887307/detail/menueditor_item_bb64e4a13ce24d708184b585517eb8c5_1647925461844376641.webp,2025-06-01 10:09:26
Paket Hot Banget 2,37.000,nasi+ayam dada/paha atas hot,https://food-cms.grab.com/compressed_webp/items/IDITE2024040105075252174/detail/menueditor_item_310dcdb59a874ebdb4ac069d30f392ea_1711948000896912979.webp,2025-06-01 10:09:26
COMBO 1,51.500,nasi ayam (1 paha atas/dada + 1 sayap/paha bawah) + teh kotak,https://food-cms.grab.com/compressed_webp/items/IDITE2023041706592278828/detail/menueditor_item_677f518f78f046209a382c84a27d4584_1681714379734909391.webp,2025-06-01 10:09:26
Hits Combo 2,25.000,Nasi+3Pcs Chicken Strips+Teh Kotak,https://food-cms.grab.com/compressed_webp/items/IDITE2024040104031709206/detail/menueditor_item_3072fb387638470d8ae12900488c7e71_1711943442331151454.webp,2025-06-01 10:09:26
Hits Combo 3,28.500,Nasi+sayap/p.bawah+teh kotak,https://food-cms.grab.com/compressed_webp/items/IDITE2024040104523066682/detail/menueditor_item_3b6b397329f94a439cedea3a8e5ccd7d_1711947113158044587.webp,2025-06-01 10:09:26
Paket Combo 4,35.000,Nasi+Dada/Paha Atas+Teh Kotak,https://food-cms.grab.com/compressed_webp/items/IDITE2022042309234073489/detail/menueditor_item_3c07cb98dc6043f4bb1c278e3f9e4624_1650705784230773795.webp,2025-06-01 10:09:26
combo 5,31.500,nasi goreng hits+teh botol,https://food-cms.grab.com/compressed_webp/items/IDITE2024012810372711667/detail/menueditor_item_a41e262d42e4433da376287df16308be_1706438156286751357.webp,2025-06-01 10:09:26
Hits Combo 6,41.500,Chicken Burger+French Fries+Teh Kotak,https://food-cms.grab.com/compressed_webp/items/IDITE2022032204594551960/detail/menueditor_item_e65623be2d1442969816b2630a5ab22d_1647925169857240226.webp,2025-06-01 10:09:26
combo hits 7,31.500,mie goreng+ teh botol,https://food-cms.grab.com/compressed_webp/items/IDITE2024012810540046068/detail/menueditor_item_d35b191722494701a5b7f26341d8a6b2_1706439199899843077.webp,2025-06-01 10:09:26
Combo snack,29.000,2pcs chicken strip+ 4pcs onion ring+ frech fries,https://food-cms.grab.com/compressed_webp/items/IDITE2024042205395592875/detail/menueditor_item_a53c2eab15a64961a1721f680e0338f6_1713764308532527057.webp,2025-06-01 10:09:26
chicken strips,21.000,4 pcs chicken strips,https://food-cms.grab.com/compressed_webp/items/IDITE2024021703080920960/detail/6-C3D2J8JJRFVEFE_ea13fc89aa5044d48d641d07fdfc6aa1_1715593274495180115.webp,2025-06-01 10:09:26
onion ring,20.000,bawang Bombay di balut tepung gurih ala hits chicken,https://food-cms.grab.com/compressed_webp/items/IDITE2024021703062016860/detail/6-C3D2J8JJRFVEFE_1fb09fdaf68949e8932c7763701c1d2d_1715593274456528977.webp,2025-06-01 10:09:26
