Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
SJ - Omega,21.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091922017693/detail/2eda3b97_d99de25cc84.webp,2025-06-01 10:02:50
SJ - Ndog Mentai,21.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091922026704/detail/e16e64a2_d99dc8497fa.webp,2025-06-01 10:02:50
SJ - Kani Mentai Crispy,21.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091923015009/detail/1e2b0547_d99d61be661.webp,2025-06-01 10:02:50
SJ - Beef Original,36.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091923026330/detail/a2af4a5a_cf05fd92d94.webp,2025-06-01 10:02:50
SJ - Beef Blackpepper,36.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091923038772/detail/2b5d84c5_cf05e48d73e.webp,2025-06-01 10:02:50
SJ - Beef Garlic Butter,36.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091923043455/detail/3088b6e9_d99ae7ca9cb.webp,2025-06-01 10:02:50
SJ - Beef Mala,36.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091924018216/detail/4dd68441_d99a8a83351.webp,2025-06-01 10:02:50
SJ - Beef Yakiniku,36.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091924024730/detail/02a6671a_cf05d056e07.webp,2025-06-01 10:02:50
SJ - Chicken Cheese,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091924030905/detail/61ce2a27_d99d0b33f00.webp,2025-06-01 10:02:50
SJ - Chicken Truffle Mayo,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091925015121/detail/202303cf_cf07ad4e566.webp,2025-06-01 10:02:50
SJ - Chicken Fire Sauce,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091925020435/detail/d6514f0b_d94bab519ae.webp,2025-06-01 10:02:50
SJ Chicken Original,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091925036699/detail/6f60e868_cf051ed7a75.webp,2025-06-01 10:02:50
SJ Chicken Yakiniku,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091925044319/detail/70db8356_cefe5877ab0.webp,2025-06-01 10:02:50
SJ Chicken Mentai,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091926018431/detail/99b2b8f7_cefe83e9111.webp,2025-06-01 10:02:50
SJ Chicken Curry,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091926027014/detail/1f537375_cefe2ab53aa.webp,2025-06-01 10:02:50
SJ - Dori Fire Sauce,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091926035610/detail/63f7eb79_d99b46e50c4.webp,2025-06-01 10:02:50
SJ - Dori Truffle Mayo,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091926046005/detail/91cd604c_d99b167c000.webp,2025-06-01 10:02:50
SJ - Dori Cheese,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091927010696/detail/de7c041c_d99afbd99dc.webp,2025-06-01 10:02:50
SJ - Dori Original,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091927020022/detail/4fd0675a_cf05be48911.webp,2025-06-01 10:02:50
SJ Dori Yakiniku,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091927038132/detail/485161cf_cf0587a9d45.webp,2025-06-01 10:02:50
SJ Dori Mentai,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091928013691/detail/089fe5d3_cf055be3041.webp,2025-06-01 10:02:50
SJ Dori Curry,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091928023285/detail/a95fbe7d_cf0570827e7.webp,2025-06-01 10:02:50
Dry Ramen Beef (Grab),36.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091928039558/detail/651f7251_cf06615183d.webp,2025-06-01 10:02:50
Dry Ramen Chicken (Grab),30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20240913091928046089/detail/6f0c093b_cf064780452.webp,2025-06-01 10:02:50
