Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Buy 3 Get 1,72.000,"Pilih 3 Minuman Beans of The Champion Series, GRATIS 1 Americano ukuran regular",https://food-cms.grab.com/compressed_webp/items/IDITE20250511181857037974/detail/3e5fe373_912c3192d5a05f3.webp,2025-06-01 09:53:24
Buy 1 Get 1 Caramel Macchiato,57.000,Special Price! Beli 1 Gratis 1 Caramel Macchiato ukuran Large,https://food-cms.grab.com/compressed_webp/items/IDITE20250324033141012809/detail/7d8509d5_63840b455be069c.webp,2025-06-01 09:53:24
Buy 3 Get 4 Kopi Susu Black Aren,70.000,Special Price! Beli 3 dapat 4 Kopi Susu Black Aren ukuran Regular,https://food-cms.grab.com/compressed_webp/items/IDITE20250324033141020879/detail/8b421c92_fb7efc8d3c25fb8.webp,2025-06-01 09:53:24
2 Liter Kenangan Promo,145.000,Pilih 2 Liter Kenangan Favoritmu Lebih Murah,https://food-cms.grab.com/compressed_webp/items/IDITE20250531202040015399/detail/0e4ed254_fbcc087f1df6eab.webp,2025-06-01 09:53:24
Americano Aren,22.000,"Perpaduan espresso dari 100% biji kopi arabika Bali Kintamani, gula aren asli dan air mineral.",https://food-cms.grab.com/compressed_webp/items/IDITE20250511181857014165/detail/a49327b9_301f739fd6046c1.webp,2025-06-01 09:53:24
Cafe Malt Latte,26.000,"Perpaduan espresso dari 100% biji kopi arabika Bali Kintamani, Oatside, dan sirup hazelnut.",https://food-cms.grab.com/compressed_webp/items/IDITE20250511181857028188/detail/3278e7a3_9fa081a66ebcf29.webp,2025-06-01 09:53:24
Buy 3 Get 1,72.000,"Pilih 3 Minuman Beans of The Champion Series, GRATIS 1 Americano ukuran regular",https://food-cms.grab.com/compressed_webp/items/IDITE20250511181857037974/detail/3e5fe373_912c3192d5a05f3.webp,2025-06-01 09:53:24
Buy 1 Get 1 Caramel Macchiato,57.000,Special Price! Beli 1 Gratis 1 Caramel Macchiato ukuran Large,https://food-cms.grab.com/compressed_webp/items/IDITE20250324033141012809/detail/7d8509d5_63840b455be069c.webp,2025-06-01 09:53:24
Buy 3 Get 4 Kopi Susu Black Aren,70.000,Special Price! Beli 3 dapat 4 Kopi Susu Black Aren ukuran Regular,https://food-cms.grab.com/compressed_webp/items/IDITE20250324033141020879/detail/8b421c92_fb7efc8d3c25fb8.webp,2025-06-01 09:53:24
2 Liter Kenangan Promo,145.000,Pilih 2 Liter Kenangan Favoritmu Lebih Murah,https://food-cms.grab.com/compressed_webp/items/IDITE20250531202040015399/detail/0e4ed254_fbcc087f1df6eab.webp,2025-06-01 09:53:24
Creamy Aren Latte,24.000,"Perpaduan espresso, susu creamy dan gula aren asli",https://food-cms.grab.com/compressed_webp/items/IDITE20240613072638019395/detail/fd822983_5ba64860645e7d5.webp,2025-06-01 09:53:24
Kopi Kenangan Mantan,22.000,"Kopi, Susu, & Gula Aren",https://food-cms.grab.com/compressed_webp/items/IDITE20240613072639013522/detail/1da882cd_58d1c4990e04154.webp,2025-06-01 09:53:24
Kopi Kenangan Mantan Frappe,31.000,"Ice blended kopi susu gula aren, whipped cream vanilla / chocolate dan saus gula aren",https://food-cms.grab.com/compressed_webp/items/IDITE20250316181920018853/detail/cf8ae2dd_87a7dca4c76a664.webp,2025-06-01 09:53:24
Dutch Choco Kenangan Frappe,33.000,"Ice blended dengan rasa dutch chocolate, whipped cream vanilla / coklat dan saus coklat",https://food-cms.grab.com/compressed_webp/items/IDITE20250316181920028679/detail/00b3416b_0f6b4e94313e737.webp,2025-06-01 09:53:24
Vanilla Kenangan Frappe,29.000,Ice blended dengan rasa vanilla dan whipped cream vanilla / chocolate,https://food-cms.grab.com/compressed_webp/items/IDITE20250316181920031383/detail/5ba7bf43_a1091339e2a1dcd.webp,2025-06-01 09:53:24
Kopi Kenangan Mantan,22.000,"Kopi, Susu, & Gula Aren",https://food-cms.grab.com/compressed_webp/items/IDITE20250102001256018152/detail/1da882cd_58d1c4990e04154.webp,2025-06-01 09:53:24
