Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Lontong Mie Porsi Biasa,21.000,Makanan khas Surabaya lama yang diolah dari resep kuno keluarga dengan ciri khas tanpa campuran petis. Temukan rasa otentik dari kuah udang nya yang tidak akan anda temukan ditempat lain.,https://food-cms.grab.com/compressed_webp/items/IDITE20241119100033016715/detail/menueditor_item_08f55c02479b4004984a13e6452d9e78_1732162053866568295.webp,2025-06-01 09:49:55
Goh Hyong,30.000,"Gorengan yang di isi daging ayam, bakso dll dengan disiram bumbu asam asin gurih sehingga menghasilkan rasa yang menyegarkan",https://food-cms.grab.com/compressed_webp/items/IDITE20241119100034044983/detail/menueditor_item_200ba84af250456db0fbff77751fb8aa_1732162124558857788.webp,2025-06-01 09:49:55
Miekirin Belahan Jiwa,33.000,"PaPia. Jajanan yang dihasilkan dari eksplorasi dengan cita rasa legit nya pastel sekaligus gurihnya lumpia. Dengan isi ayam, sosis, telur, bihun, jamur dll.",https://food-cms.grab.com/compressed_webp/items/IDITE20241119100034070254/detail/menueditor_item_c737573cbfc64c0c82f51174b1ef2853_1732162191800867532.webp,2025-06-01 09:49:55
Miekirin Udang Crispy,30.000,"Bagi pecinta makanan hasil laut, jajanan ini pilihan yang sangat tepat untuk memanjakan lidah. Dengan kulit luar yang garing crunchy namun isi dalam nya moist lembut perpaduan rasa tiram, rumput laut dan daging ayam yang lezat dan umami. diameter 10 cm",https://food-cms.grab.com/compressed_webp/items/IDITE20241119100034083272/detail/menueditor_item_ad144fba4e8b412995dea209dcccd648_1732162204789177963.webp,2025-06-01 09:49:55
Papia,12.000,"Bagi pecinta makanan hasil laut, jajanan ini pilihan yang sangat tepat untuk memanjakan lidah. Dengan kulit luar yang garing crunchy namun isi dalam nya moist lembut perpaduan rasa tiram, rumput laut dan daging ayam yang lezat dan umami. diameter 12cm",https://food-cms.grab.com/compressed_webp/items/IDITE20241119100034058724/detail/menueditor_item_85c76801d4b041069e2e1d02a385d8eb_1732162148260691959.webp,2025-06-01 09:49:55
Dadar Jagung,3.000,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE20241119100035017555/detail/menueditor_item_0950072cbdb047958e0a600f53e61e16_1732162434402194849.webp,2025-06-01 09:49:55
Lentho,3.000,teh buah kondur,https://food-cms.grab.com/compressed_webp/items/IDITE20241119100035039361/detail/menueditor_item_dba91f2fa53a4bb6a3177e51f625336c_1732162456492600621.webp,2025-06-01 09:49:55
Kue Tiram Original,21.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241119100034017099/detail/menueditor_item_2d7eae406b9f462095ea82260c9ce32c_1732162090587479367.webp,2025-06-01 09:49:55
Kue Tiram Premium,28.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241119100034028416/detail/menueditor_item_e364513ea2a84d1ea33b78edd72def5b_1732162104849701857.webp,2025-06-01 09:49:55
air mineral botol 650 ml,6.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZRNCYCRKFMA4151.webp,2025-06-01 09:49:55
teh winter melon,10.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025021715202369893/detail/menueditor_item_1102a888dae846e4bf7e57b20554587c_1739805596088649886.webp,2025-06-01 09:49:55
Es Teh Bunga Merah,10.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241119100034135482/detail/menueditor_item_287c39dee9c04d49b90691fdd5d73889_1732162346070087463.webp,2025-06-01 09:49:55
Winter Melon,10.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241119100034149476/detail/menueditor_item_62f61542f8034e40b216e7f4b258b97e_1732162394417042533.webp,2025-06-01 09:49:55
Es Teh,6.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241119100035042027/detail/menueditor_item_c9c43e6f14204f39b76d822daa736fef_1732162472052605644.webp,2025-06-01 09:49:55
Beras Kencur,10.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20241119100034111114/detail/menueditor_item_b32ad13483604ede8b6c6c92795ad4ea_1732162327085870625.webp,2025-06-01 09:49:55
