Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Kakiage,12.500,Chef Recommended,https://food-cms.grab.com/compressed_webp/items/IDITE2022110308493373603/detail/menueditor_item_8e4ec77ccd804338b08f8f404a290dc1_1667465342325152308.webp,2025-06-01 10:04:18
Chicken Katsu,20.000,Favorite,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151504133932/detail/menueditor_item_7edc64e4c5ee4a5cb7b6112b0f3d160a_1637740107666988210.webp,2025-06-01 10:04:18
Nasi Putih,7.500,Chef Recommended,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151504125663/detail/12b102158b6642d8bc297a82ec1eda3c_1645794067267817887.webp,2025-06-01 10:04:18
Chicken Yakiniku,20.000,Chef Recommended,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151504100414/detail/55325c854fa6432db428aee297008e1f_1636629725270664165.webp,2025-06-01 10:04:18
Beef Teriyaki,22.500,Favorite,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151504091005/detail/001c9fddfc164daa970d0a4e150c7d6d_1645802517519419791.webp,2025-06-01 10:04:18
Chicken Teriyaki,20.000,Chef Recommended,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151504082932/detail/f3b82ea760a44f8f9bffb5beae7b3b47_1636887884438759055.webp,2025-06-01 10:04:18
Fish Katsu,20.000,Favorite,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151504072046/detail/07a861beda92410194aa7bf110872204_1636624554151322670.webp,2025-06-01 10:04:18
Gyoza Steam Isi 3,15.000,Favorite,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151504067290/detail/62812ca085994dc89505fffb7d3f8785_1658235482570369020.webp,2025-06-01 10:04:18
Beef Yakiniku,22.500,Chef Recommended,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151504119236/detail/4789830d9b5347a88ce057389e241948_1650104024304682399.webp,2025-06-01 10:04:18
Gyoza Isi 3,15.000,Chef Recommended,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151505016649/detail/menueditor_item_28c95325e7e94c728a5dedc4538b1d4a_1637740137984811638.webp,2025-06-01 10:04:18
Ebi Tempura Isi 2,18.750,"Favorite, Spicy",https://food-cms.grab.com/compressed_webp/items/IDITE20211110151505028557/detail/menueditor_item_83999303ff9948aeac3d7488672e2843_1637740161751182672.webp,2025-06-01 10:04:18
Ekado Isi 3,17.500,Favorite,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151505030814/detail/311d3ed4a3d9459489ed66062de96172_1671196826278817416.webp,2025-06-01 10:04:18
Chicken Egg Roll Isi 3,15.000,Chef Recommended,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151505043314/detail/menueditor_item_be6d974f22b74f7586f90dcb6e97c8b8_1637740226526653274.webp,2025-06-01 10:04:18
Karage,22.500,Chef Recommended,https://food-cms.grab.com/compressed_webp/items/IDITE2022110309220752651/detail/620c124bc1a44356bd7bb873bf3566b4_1678697466174083782.webp,2025-06-01 10:04:18
Chicken Mentai Roll,33.750,Favorite,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151504059981/detail/menueditor_item_bd9d14543ac545a09805f185880df0b0_1637739957191046843.webp,2025-06-01 10:04:18
Rock N Roll Sushi,35.000,Chef Recommended,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151504012639/detail/menueditor_item_fdb936b8d1e44193a4ed783bcc718c0a_1637740003452609615.webp,2025-06-01 10:04:18
Shinpuru Roll,35.000,Chef Recommended,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151504046857/detail/menueditor_item_e446f56658e54b6395153ce94e66c24f_1637740086189846802.webp,2025-06-01 10:04:18
Dynamite Roll,32.500,Favorite,https://food-cms.grab.com/compressed_webp/items/IDITE20211110151503098877/detail/2856c2c0803645408a7e599a10970dbf_1646456550144106017.webp,2025-06-01 10:04:18
