Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Family Pack 1,123.182,Ayam Asam Manis [1 Porsi] + Mie Goreng Ayam [1 Porsi] + Cap Cay Goreng [1 Porsi],https://food-cms.grab.com/compressed_webp/items/IDITE202505141141021100249/detail/3add458ac068468fb0b004d194c18e37_1748711581914138535.webp,2025-06-01 10:06:16
Family Pack 2,127.365,Chicken Cordon Bleu FF [1 Porsi]+ Bihun Goreng Ayam [1 Porsi] + Cap Cay Seafood [1 Porsi],https://food-cms.grab.com/compressed_webp/items/IDITE202505141141021488102/detail/a02b5596bc8040288f079af89429edd9_1748711581924555682.webp,2025-06-01 10:06:16
Family Pack 3,121.546,Ayam Goreng Mentega [1 Porsi] + Bihun Goreng Ayam [1 Porsi] + Cap Cay Goreng [1 Porsi],https://food-cms.grab.com/compressed_webp/items/IDITE20250514114103667196/detail/42a19d1ad1154ad0b96d3763ca63ff7b_1748711269264020694.webp,2025-06-01 10:06:16
Family Pack 4,135.638,Bistik Ayam [1 Porsi] + Mie Goreng Sapi [1 Porsi] + Cap Cay Seafood [1 Porsi],https://food-cms.grab.com/compressed_webp/items/IDITE20250514114103886821/detail/40e041fd0ec5424f8c487f0be059d999_1748711268617698462.webp,2025-06-01 10:06:16
Chicken Cordon Bleu + Nasi Dan Salad,48.182,Ayam Asam Manis [1 Porsi] + Mie Goreng Ayam [1 Porsi] + Cap Cay Goreng [1 Porsi],https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000w5i-CY3KGZMDTK4KEA/detail/d298f527b0ad4f6e8436988be28eeb51_1629104051782096105.webp,2025-06-01 10:06:16
Nasi Goreng Seafood,46.364,Chicken Cordon Bleu FF [1 Porsi]+ Bihun Goreng Ayam [1 Porsi] + Cap Cay Seafood [1 Porsi],https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000w5i-CY3KGZMTUE2GRT/detail/5ba6a67d22f944b7af625a9c34e2a374_1629103904021301796.webp,2025-06-01 10:06:16
Kwetiau Goreng Ayam,42.728,Ayam Goreng Mentega [1 Porsi] + Bihun Goreng Ayam [1 Porsi] + Cap Cay Goreng [1 Porsi],https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000w5i-CY3KGZMKGUKBN6/detail/7c6e758152d04b83959cf975fe13eb43_1629103915900528927.webp,2025-06-01 10:06:16
Cap Cay Goreng,44.546,Bistik Ayam [1 Porsi] + Mie Goreng Sapi [1 Porsi] + Cap Cay Seafood [1 Porsi],https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000w5i-CY3KGZNGGYLVTJ/detail/b3cfb27e1316492eb708d35ecde1bb8e_1629103993987335550.webp,2025-06-01 10:06:16
Nasi Goreng Bebek Cabe Ijo,42.728,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000w5i-CY3KGZMUCLDGFE/detail/6d0d375f603549ea8a752707f2ef3a30_1629103824391690026.webp,2025-06-01 10:06:16
Mie Goreng Ayam,40.001,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000w5i-CY3KGZMHJNNDJ6/detail/641cbe70daee415a81599059c1bc5d89_1629104042986174801.webp,2025-06-01 10:06:16
