Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
kyuri kani gunkan,18.000,2 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902402458343/detail/menueditor_item_af06c744e4cd4a22aa175a8ee72cd655_1641695996411428847.webp,2025-06-01 09:51:20
kyuri salmon gunkan,18.000,2 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902391715640/detail/menueditor_item_a0f325b8dc054d9c95ac60c3b01b90e2_1641695933959229449.webp,2025-06-01 09:51:20
spicy salmon gunkan,18.000,2 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902380667277/detail/menueditor_item_2c01055263f94ac9b95d730e2aa880cf_1641695858313480355.webp,2025-06-01 09:51:20
kanimayo gunkan,18.000,2 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902365379333/detail/menueditor_item_a556d4ef7a1049dc8538643a247081ac_1641695794562959652.webp,2025-06-01 09:51:20
wakame gunkan,18.000,2 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902355767259/detail/menueditor_item_574a7f1b552247fb8bc102ee81ab8171_1641695738372647829.webp,2025-06-01 09:51:20
tobiko gunkan,18.000,2 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902350386419/detail/menueditor_item_b7477cf07e0145de944a386fcde9088c_1641695678575728045.webp,2025-06-01 09:51:20
Matcha ogura,18.000,2 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE20230619125135107600/detail/6-C4DBWFWAMAVTAX_3a32e25495344588984004b5eea0ef16_1714983596646199224.webp,2025-06-01 09:51:20
Yaki Udon,48.000,2 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2022081609524131481/detail/menueditor_item_dbf5554621f845b3830dfb9d08344a0b_1660643556528782547.webp,2025-06-01 09:51:20
Salmon Skin Karaage,18.000,2 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2021122407230569998/detail/menueditor_item_ea305379e5f34fe491569b32e53f3e97_1640330541813649766.webp,2025-06-01 09:51:20
Miso Soup,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122108030471744/detail/menueditor_item_5b4e352fff384719a0d314143d19fea7_1640073942556321102.webp,2025-06-01 09:51:20
Gohan,17.820,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122107582892561/detail/menueditor_item_787f563f9f654a95aff80b5d6456a352_1640073971469900567.webp,2025-06-01 09:51:20
Tatsuta Miso Ramen,42.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122107570922731/detail/menueditor_item_20019b4dfa1343a3996ebc0b19a4b15f_1640073411150176338.webp,2025-06-01 09:51:20
Gyuniku Ramen,42.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122107554917978/detail/menueditor_item_5559f3235f7541cc9b8bb67175438eeb_1640073331949294791.webp,2025-06-01 09:51:20
Salmon Teriyaki,60.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122107552032394/detail/menueditor_item_4d4c7ae9fe4842ee976a1fbedc59b436_1640074013486801230.webp,2025-06-01 09:51:20
Chicken Katsu Curry,48.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122107544152691/detail/menueditor_item_9d91d10b761c4874b0d370c704e3a4c3_1640074049604455393.webp,2025-06-01 09:51:20
Chicken Karaage,36.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122107535706070/detail/menueditor_item_745beffd658b4f27bec4dd37e45d1b31_1640073219655434755.webp,2025-06-01 09:51:20
Beef Enoki,48.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122107532344924/detail/menueditor_item_0316add2761e444ab86447f4b8dd669b_1640074077300026562.webp,2025-06-01 09:51:20
Enoki Batayaki,42.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122107523033593/detail/menueditor_item_1ecb9d8587ff4cb59b61a1af2f73bb58_1640074105668558717.webp,2025-06-01 09:51:20
Agedashi Tofu,33.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021122107500077134/detail/menueditor_item_ac5ca23c21c045d491f91011b8d57c7b_1640074133419686762.webp,2025-06-01 09:51:20
spicy salmon temaki,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902331419024/detail/menueditor_item_35aa8402c0af4734952fbedece61422c_1641695571563728452.webp,2025-06-01 09:51:20
salmon skin temaki,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902322387798/detail/menueditor_item_a6f712bc3adf4456bae99e7dee9211e8_1641695521900888434.webp,2025-06-01 09:51:20
philadelphia temaki,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902313190889/detail/menueditor_item_a1306c2788db4c20b8681eb9ef479067_1641695454744218198.webp,2025-06-01 09:51:20
kani furai temaki,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902294813890/detail/menueditor_item_37df8fcec31441ce80ff79bd2477b7b5_1641695366848704791.webp,2025-06-01 09:51:20
california temaki,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902285128828/detail/menueditor_item_83216f68a4a443efb4d27752c0254a43_1641695294801909063.webp,2025-06-01 09:51:20
ebi furai temaki,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902272878381/detail/menueditor_item_0d2b6d2486cd4bf5bd3c823b44a190c9_1641695221945692377.webp,2025-06-01 09:51:20
chuka idako salad,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902224469553/detail/menueditor_item_7a596d6b251c414d85b8851715c341b0_1641694940126213093.webp,2025-06-01 09:51:20
chuka wakame,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902215201264/detail/menueditor_item_4685fc2e749e49c9b2b3929636897952_1641694890761251357.webp,2025-06-01 09:51:20
chuka kurage,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022010902160497162/detail/menueditor_item_e22ef9612fe04770a142f54df9e77572_1641694837844950556.webp,2025-06-01 09:51:20
california roll,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20210527084240113878/detail/menueditor_item_f42652e8f48d466aa1ef638201ce2fbc_1625134950781056670.webp,2025-06-01 09:51:20
hot tuna roll,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20210527084241017374/detail/menueditor_item_a8d4bb2d9faf439a914dec4073833637_1625134975023673908.webp,2025-06-01 09:51:20
volcano roll,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20210527084241022353/detail/menueditor_item_bed82c00375e47f2941660a8fba11676_1625134995342334667.webp,2025-06-01 09:51:20
cheese kani roll,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20210527084241039830/detail/menueditor_item_8933248bcf8c43c9a1659809ca75ca8a_1625135011056394672.webp,2025-06-01 09:51:20
crunchy roll,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20210527084241046612/detail/menueditor_item_bee408426df04091a76e81d3593d2545_1625135026024392536.webp,2025-06-01 09:51:20
soft shell crab roll,18.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20210527084241051568/detail/menueditor_item_4a3bf3d35e8d45388f2add61ec647cb2_1625135041399396692.webp,2025-06-01 09:51:20
