Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Es Dawet Malaka,37.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022815563447612/detail/menueditor_item_035864bbaeaf48d598ba0e3270c7f07c_1740758187987287587.webp,2025-06-01 09:55:38
Wedang Sekoteng,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022815561614693/detail/menueditor_item_920409f05f1348859bdfd58c286c9a5c_1740758169168990271.webp,2025-06-01 09:55:38
Es Sekoteng,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022815555607209/detail/menueditor_item_ba4a1cd77dfa4c59933de4bd07f9e786_1740758150272937688.webp,2025-06-01 09:55:38
Wedang Susu Sekoteng,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022815553838324/detail/menueditor_item_4f473c56c7df4833beffd18e71711709_1740758132350334448.webp,2025-06-01 09:55:38
Es Susu Sekoteng,30.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022815551787126/detail/menueditor_item_07d92a2e1f1a42f0ae30ced78ac1cb29_1740758109948400085.webp,2025-06-01 09:55:38
Gulas Tea,20.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022807253423510/detail/menueditor_item_5b523c7656bc4680808231edd41fce3c_1740727515833070763.webp,2025-06-01 09:55:38
Ginger Candy,20.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022807242367931/detail/menueditor_item_6e642c39b7a240f483c8c7f206acc185_1740727450428527865.webp,2025-06-01 09:55:38
Mendoan Ala TongTji,29.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024070201400767829/detail/menueditor_item_5c900920592f487186d649f271b9f36b_1747363156945983443.webp,2025-06-01 09:55:38
Tahu Kemul Ala TongTji,29.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024070201451858754/detail/menueditor_item_b2450261ab834f118900ba759ad4d04f_1747363170662757205.webp,2025-06-01 09:55:38
Singkong Goreng Ndeso,29.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024070201454565758/detail/menueditor_item_5e593e63b3534a60b3a188a46fd274e8_1747363225268837921.webp,2025-06-01 09:55:38
