Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
brownies original,52.000,"Cokelat ganache yang kaya, lembut, dan menggugah selera. Deskripsi ini dibuat oleh AI",https://food-cms.grab.com/compressed_webp/items/IDITE2025032609001348426/detail/menueditor_item_469a7ba0d0874a359f9ea3d4b4726058_1742979553987268504.webp,2025-06-01 10:14:27
sarikaya pandan,59.000,"Cokelat ganache yang kaya, lembut, dan menggugah selera. Deskripsi ini dibuat oleh AI",https://food-cms.grab.com/compressed_webp/items/IDITE2025032609082308732/detail/menueditor_item_12a21061175c4bdd92ad1a55fe6be9b5_1742980031531971859.webp,2025-06-01 10:14:27
tiramisu marble,61.000,Pastry renyah diisi ayam lezat dan rempah segar. Deskripsi ini dibuat oleh AI,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609242186506/detail/menueditor_item_dd74dbfbbd5c4c649e0bdb77131bf13f_1742981012286361171.webp,2025-06-01 10:14:27
pink marble,61.000,"Gulung keju krispi, dengan isian keju melimpah yang lezat. Deskripsi ini dibuat oleh AI",https://food-cms.grab.com/compressed_webp/items/IDITE2025032609151935129/detail/menueditor_item_3a0208ceddfc48e0bf8c71641b9b00f2_1742980492697787451.webp,2025-06-01 10:14:27
choco marble,61.000,Pastry renyah diisi daging sapi dan rempah segar. Deskripsi ini dibuat oleh AI,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609100203567/detail/menueditor_item_54144afec0ca4c4d89da89397d06face_1742980156491342375.webp,2025-06-01 10:14:27
cheese cream,89.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609062986538/detail/menueditor_item_9790fcbcedce419b93de4c28c416f8fe_1742979876926148768.webp,2025-06-01 10:14:27
Original Ganache Choco,80.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE202309020732251261887/detail/b493d14086124472a66618abc169700e_1693639945950758503.webp,2025-06-01 10:14:27
brownies bakar,56.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032610084433479/detail/menueditor_item_2b6127194cd840c38e113379cff937d8_1742983693718356922.webp,2025-06-01 10:14:27
Original Ganache Choco,80.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE202309020732251261887/detail/b493d14086124472a66618abc169700e_1693639945950758503.webp,2025-06-01 10:14:27
Bolu Ketan Vanila,43.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE202309020732231291520/detail/a1084ad5b1544bbfa7d77a60c0f59ab4_1693639943830888149.webp,2025-06-01 10:14:27
Bolu Ketan Keju,45.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20230902073222795658/detail/b482faf04329406c9f420fe4a62b48f6_1693639942452189587.webp,2025-06-01 10:14:27
Bolu Lapis Talas,43.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE202309020732151118301/detail/46e474be8a7e4e0ead4adc0d655d52e9_1693639935667821292.webp,2025-06-01 10:14:27
Bolu Talas Keju,45.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20230902073215852333/detail/03c025f0c9e84228b06f97958bfe514b_1693639935533159894.webp,2025-06-01 10:14:27
bolu pandan,47.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609561071251/detail/menueditor_item_c57f5c4935c74c8e847a19da028c7314_1742982940218532413.webp,2025-06-01 10:14:27
Bolu Pisang Vanila,43.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20230902073226581652/detail/ed7c13ca35f94d8d8e213bef498bf7f0_1693639946464950740.webp,2025-06-01 10:14:27
Bolu Cokelat Vanila,43.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20230902073224283182/detail/899ddba4b8e74764a25e8a4db593e532_1693639944203006721.webp,2025-06-01 10:14:27
Bolu Talas Cokelat,43.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE202309020732221198968/detail/21cf638777dc4c57b178b3ac2e11e642_1693639942666984660.webp,2025-06-01 10:14:27
Bolu Pisang Keju,45.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20230902073216616807/detail/9858a759d8034bdf8ca9b03708a40148_1693639936368021088.webp,2025-06-01 10:14:27
Bolu Ubi Keju,45.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE202309020732151463564/detail/c49ca0a59a13423eb61b4d3f3a895215_1693639935857587682.webp,2025-06-01 10:14:27
Brownies Kering,49.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250422094510014647/detail/1098847c8bb84fb49559881d1d08513c_1745315110458083583.webp,2025-06-01 10:14:27
brownies bakar,56.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032610084433479/detail/menueditor_item_2b6127194cd840c38e113379cff937d8_1742983693718356922.webp,2025-06-01 10:14:27
vanilla marble,62.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609431439836/detail/menueditor_item_c6ee28a8ba294eb08d92cdd3804733df_1742982164605543266.webp,2025-06-01 10:14:27
strawberry,59.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609320045319/detail/menueditor_item_9d91cddbec3143b2ac74449a09929428_1742981488529505049.webp,2025-06-01 10:14:27
green tea,59.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609301427777/detail/menueditor_item_c810bdf8b41042c6a0b62a4702f5b186_1742981381539634755.webp,2025-06-01 10:14:27
tiramisu marble,61.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609242186506/detail/menueditor_item_dd74dbfbbd5c4c649e0bdb77131bf13f_1742981012286361171.webp,2025-06-01 10:14:27
pink marble,61.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609151935129/detail/menueditor_item_3a0208ceddfc48e0bf8c71641b9b00f2_1742980492697787451.webp,2025-06-01 10:14:27
choco marble,61.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609100203567/detail/menueditor_item_54144afec0ca4c4d89da89397d06face_1742980156491342375.webp,2025-06-01 10:14:27
sarikaya pandan,59.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609082308732/detail/menueditor_item_12a21061175c4bdd92ad1a55fe6be9b5_1742980031531971859.webp,2025-06-01 10:14:27
cheese cream,89.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025032609062986538/detail/menueditor_item_9790fcbcedce419b93de4c28c416f8fe_1742979876926148768.webp,2025-06-01 10:14:27
