Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Matcha Strawberry (M),28.000,"Paling basic diantara menu lainnya, tapi segarnya tetap sama-sama menghilangkan dahaga!",https://food-cms.grab.com/compressed_webp/items/IDITE202505230540561236529/detail/7f73965d72bb45eb80ecb4e2de9366ce_1748365278264450058.webp,2025-06-01 10:27:01
Matcha Strawberry (L),31.000,"Signature teh Indonesia. Wajib coba, taste creamy dari teh berpadu-padan dengan brown sugar. Memberi sensasi fresh yang membuat hati senang.",https://food-cms.grab.com/compressed_webp/items/IDITE202505230540561463766/detail/76c1d6710d544c2280de28a75299ba3a_1748365278620953088.webp,2025-06-01 10:27:01
Matcha Bunga Melati (M),28.000,"Masuk dalam TOP 5 menu, aroma melatinya minum sebelum 5 menit juga habis. Enak soalnya!",https://food-cms.grab.com/compressed_webp/items/IDITE202505230540561386830/detail/1ba30d03784a4e8d9f671a8b9f0205c7_1748365278948041905.webp,2025-06-01 10:27:01
Matcha Bunga Melati (L),31.000,"Memanjakan lidah, sensasi cokelat hazelnut yang menggoda! Bikin nggak bisa move-on deh!",https://food-cms.grab.com/compressed_webp/items/IDITE202505230540561402156/detail/7e0ee7348c4c4649a03da0f8e3b390f4_1748365279293472886.webp,2025-06-01 10:27:01
Esteh Matcha Latte (M),28.000,"Creamy-nya siap nemenin kamu marathon movie! Pengalaman meminum teh dicampur dengan keju dan taro, nah lho! Anti-mainstream kaaan..",https://food-cms.grab.com/compressed_webp/items/IDITE202505230540561314124/detail/cd575999fce942b9837ed047ee157c7d_1748365279711812493.webp,2025-06-01 10:27:01
Esteh Matcha Latte (L),31.000,Ada buah lemon dan markisa asli! Cocok untuk musim panas dan pendamping saat santai.,https://food-cms.grab.com/compressed_webp/items/IDITE202505230540561439199/detail/366b25c2477b4e0a812c5c2da247585b_1748365280107758712.webp,2025-06-01 10:27:01
Esteh Original (L),15.500,"Masuk ke dalam TOP 10, inovasi dan hanya ada di Esteh Indonesia. Meskipun dominan rasa kue red velvet, namun menu ini menggunakan based dari black tea.",https://food-cms.grab.com/compressed_webp/items/IDITE2024030317092532600253/detail/f80fefd86284482d89bf4f9c01a3e91e_1709485765530591910.webp,2025-06-01 10:27:01
Esteh Susu Nusantara (L),20.500,5 Esteh Melati (M),https://food-cms.grab.com/compressed_webp/items/IDITE2024030317093433003524/detail/5c4a0b95812849668b164c9c7060b8f9_1709485774068917428.webp,2025-06-01 10:27:01
Esteh Melati (L),15.500,5 Esteh Original (M),https://food-cms.grab.com/compressed_webp/items/IDITE2024030317092532611458/detail/845d344029e84c1dbdd806d7ccc075cd_1709485765707307911.webp,2025-06-01 10:27:01
Hazelnut Chocolate (L),29.500,5 Esteh Melati (M),https://food-cms.grab.com/compressed_webp/items/IDITE2024030317093232915841/detail/4f4198dc4cf543c4b62086ec2bf5ef44_1709485772175813621.webp,2025-06-01 10:27:01
Chizu Taro (L),29.500,5 Esteh Susu Nusantara (M),https://food-cms.grab.com/compressed_webp/items/IDITE2024030317092932816325/detail/f8b2cce2469c4a79aa5acaf045e902d5_1709485769961496456.webp,2025-06-01 10:27:01
Passionfruit Lemonade (L),22.000,5 Chizu Red Velvet (M),https://food-cms.grab.com/compressed_webp/items/IDITE2024030317092732696693/detail/f1c1b1f1074c4117a0dd1f843b852c53_1709485767338155927.webp,2025-06-01 10:27:01
Chizu Red Velvet (L),29.500,2 Chizu Red Velvet (M) + 3 Chizu Matcha (M),https://food-cms.grab.com/compressed_webp/items/IDITE2024030317092932801961/detail/e50d8f0dfc2f4683aa45c0a326aac236_1709485769768528192.webp,2025-06-01 10:27:01
Family Package 2,67.500,"Citarasa tradisional teh Indonesia lebih bold terasa, karena gula dan kalorinya 0%.",https://food-cms.grab.com/compressed_webp/items/IDITE20250303035057126369/detail/c572934fa2fd4177a308a64df62f65ae_1740973857637761129.webp,2025-06-01 10:27:01
Matcha Strawberry (M),28.000,"Cocok buat intermitten fasting! Wangi melati, tanpa gula dan kalori. Minum Esteh tanpa khawatir lagi!",https://food-cms.grab.com/compressed_webp/items/IDITE202505230540561236529/detail/7f73965d72bb45eb80ecb4e2de9366ce_1748365278264450058.webp,2025-06-01 10:27:01
Matcha Strawberry (L),31.000,"Menu yang kaya akan anti-oksidan dan kafein yang rendah, ditambah 0% gula dan kalori! Rasanya seperti ocha dingin.",https://food-cms.grab.com/compressed_webp/items/IDITE202505230540561463766/detail/76c1d6710d544c2280de28a75299ba3a_1748365278620953088.webp,2025-06-01 10:27:01
Matcha Bunga Melati (M),28.000,"Citarasa tradisional teh Indonesia lebih bold terasa, karena gula dan kalorinya 0%.",https://food-cms.grab.com/compressed_webp/items/IDITE202505230540561386830/detail/1ba30d03784a4e8d9f671a8b9f0205c7_1748365278948041905.webp,2025-06-01 10:27:01
Matcha Bunga Melati (L),31.000,"Cocok buat intermitten fasting! Wangi melati, tanpa gula dan kalori. Minum Esteh tanpa khawatir lagi!",https://food-cms.grab.com/compressed_webp/items/IDITE202505230540561402156/detail/7e0ee7348c4c4649a03da0f8e3b390f4_1748365279293472886.webp,2025-06-01 10:27:01
Esteh Matcha Latte (M),28.000,"Menu yang kaya akan anti-oksidan dan kafein yang rendah, ditambah 0% gula dan kalori! Rasanya seperti ocha dingin.",https://food-cms.grab.com/compressed_webp/items/IDITE202505230540561314124/detail/cd575999fce942b9837ed047ee157c7d_1748365279711812493.webp,2025-06-01 10:27:01
