Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Cheeseburger Pizza,42.900,"Hamper berisi 3 pizza pilihan kamu, termasuk box takeaway, paperbag, dan kartu ucapan (tulis dicatatan jika ingin dituliskan)",https://food-cms.grab.com/compressed_webp/items/IDITE2020111911113511934/detail/menueditor_item_060f53708e9d4ca3a64cc6cecc4ee9e4_1716224942106079516.webp,2025-06-01 10:30:45
Smoked Beef N' Cheese,42.900,"3 Pizza, 1 Kentang Large, dan 1 Porsi Garlic Bread",https://food-cms.grab.com/compressed_webp/items/IDITE2020111910545460311/detail/menueditor_item_7d36f26d71da482cb234067e3653fa82_1716225122820302860.webp,2025-06-01 10:30:45
Triple Cheese Fries,38.900,"Hamper berisi pizza platter, terdiri dari 2 pizza pilihan kamu, 3 pcs garlic bread, karage/beef sausage, dan french fries (pilihan rasa: ori/bbq)",https://food-cms.grab.com/compressed_webp/items/IDITE2020111908045161483/detail/menueditor_item_07e2ed47f3224b4aa4fb64f3d580cbb7_1716566607075723411.webp,2025-06-01 10:30:45
Ultimate Triple Cheese pizza,42.900,"Hamper berisi pizza platter, terdiri dari 1 pizza pilihan kamu, 3 pcs garlic bread, karage/beef sausage, dan french fries (pilihan rasa: ori/bbq)",https://food-cms.grab.com/compressed_webp/items/IDITE2020111911130913388/detail/menueditor_item_f3b2fbcb21964ebe9d3563ac30e62028_1716224913363001188.webp,2025-06-01 10:30:45
Pepperoni Mania,37.900,"Hamper berisi 3 pizza pilihan kamu, termasuk box takeaway, paperbag, dan kartu ucapan (tulis dicatatan jika ingin dituliskan)",https://food-cms.grab.com/compressed_webp/items/IDITE2020111910572532721/detail/menueditor_item_2ef5cbd71298494babf81199752778e9_1716225094223704692.webp,2025-06-01 10:30:45
Chicken Cordon Bleu,48.900,"Hamper berisi dua pizza pilihan kamu, termasuk box takeaway, paperbag, dan kartu ucapan(tulis dicatatan jika ingin dituliskan)",https://food-cms.grab.com/compressed_webp/items/IDITE2020111911024725898/detail/menueditor_item_ac196f287deb4459be9a539585cb6c1f_1716225026744348056.webp,2025-06-01 10:30:45
Chunky Monkey Pizza,37.900,Ayam cincang cheese,https://food-cms.grab.com/compressed_webp/items/IDITE2020111910091326763/detail/menueditor_item_6d890e9723dd4b9e955e77347cdcf404_1716566307830385324.webp,2025-06-01 10:30:45
Triple Pizza Hamper,129.700,"Nasi ayam dengan pilihan saus BBQ/Spicy BBQ, mozarella dan telur",https://food-cms.grab.com/compressed_webp/items/IDITE2024032306194506570/detail/menueditor_item_5abdc7bf58424ff5ada36a069d647c7e_1716224166810615681.webp,2025-06-01 10:30:45
Paket Mukbang Hemat,149.000,nasi ayam tanpa saus di siram keju mozarella dan telur,https://food-cms.grab.com/compressed_webp/items/IDITE2024121110371365623/detail/menueditor_item_d89fa7c3783e4bd890c35a60d74c1112_1733911630129922795.webp,2025-06-01 10:30:45
Double Pizza Platter Hampers,135.000,Nasi ayam di balut dengan sambal keju mozarella dan telur,https://food-cms.grab.com/compressed_webp/items/IDITE2024032306311956329/detail/menueditor_item_78ac6d606bf240e3b553eb28247933b5_1716224121314420370.webp,2025-06-01 10:30:45
