Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Lontong Kupang Sidoarjo,40.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000kxo-CYX3CEL3AFJBKA/detail/20435549aaa947f3aaa169b7f3494cad_1666275756940000405.webp,2025-06-01 10:20:15
Tahu Campur Simbok,34.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000kxo-CYX3CEL3DF6HR2/detail/8159f33cb2f940ed84f9decdaa8d6a07_1592022232548942559.webp,2025-06-01 10:20:15
Lontong Lodeh Simbok,40.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000kxo-CYX3CEL2TECHSA/detail/1ed09f85f5694779b8505486fb949169_1666275755275537578.webp,2025-06-01 10:20:15
Lontong Mie Simbok,32.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000kxo-CYX3CEL2VJXBVX/detail/1d48bc4003e24abea528c0dedc17a1f2_1620143316355703761.webp,2025-06-01 10:20:15
Rujak Cingur,34.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000kxo-CYX3CEL3HA5UAE/detail/9f42273d18f6482c8d9e54b4edae10d3_1667572305360105770.webp,2025-06-01 10:20:15
Gado- Gado,33.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000kxo-CYX3CEL3GAXBEE/detail/437669874cd14401aea50c10051fc16a_1667572305306243788.webp,2025-06-01 10:20:15
Ns. Pecel Empal Simbok,40.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000kxo-CYX3CEL3BF6BTA/detail/b8fdc6e56f964c6d9ad1379ee1f265ae_1635307785503010259.webp,2025-06-01 10:20:15
Sego Ndower PD,44.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000kxo-CYX3CEL3LX4EJ6/detail/7bfdcce5f3da447c858c1f7c6d439793_1635411319754888740.webp,2025-06-01 10:20:15
Ns. Udang Simbok,44.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000kxo-CYX3CEL3NXTDLE/detail/d1057227ee3047dc826a514e76efd262_1635411320694928655.webp,2025-06-01 10:20:15
Ns. Babat Madura,35.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000kxo-CYX3CEL3RTABR2/detail/d3b59d88e8b84ec79f8421f568637885_1635307785731790834.webp,2025-06-01 10:20:15
Nasi Goreng Ndower,38.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDGFSTI00000kxo-CYX3CEL2EVD3CJ/detail/79585b1571cb456e943a0ba14c1672d1_1666275755023048288.webp,2025-06-01 10:20:15
