Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Gado Gdo,37.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211109095143029320/detail/6-C25EJZCVEEWEBA_94fca4f95efb4f0eaf0d9b455e1d011a_1688811708683291613.webp,2025-06-01 10:25:31
Rujak Cingur,46.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211109095142095111/detail/c3c2c377ca6c4e51b06ca53711bd5e19_1685344869176042024.webp,2025-06-01 10:25:31
Tahu Campur,45.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211109095143045028/detail/27c2d1233cef46f6b778153cf38fcceb_1724307915238729520.webp,2025-06-01 10:25:31
Lontong Mie Spesial Daging Otot,43.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211109095143052542/detail/6-C25EJZCVEEWEBA_5ca144e60095494681659ec60c634d66_1684833704586475456.webp,2025-06-01 10:25:31
Lontong Mie,32.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211109095143074898/detail/6-C25EJZCVEEWEBA_84000055465b488ba834630de1cb024b_1684833704540666610.webp,2025-06-01 10:25:31
Lento 1 Biji,9.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211109095143098604/detail/6-C25EJZCVEEWEBA_ee06a516902a4e8dada29ea708260163_1688811708683415091.webp,2025-06-01 10:25:31
Tahu Tek,35.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211109095143106221/detail/6-C25EJZCVEEWEBA_f4270c0c8293429881571addb6f73cdc_1688811708683202916.webp,2025-06-01 10:25:31
Sate Kerang 5 Tusuk,16.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211109095143115842/detail/6-C25EJZCVEEWEBA_5ab7a0542fb949d1b82acc53e403a083_1684833704621457196.webp,2025-06-01 10:25:31
Sate Kerang 10 Tusuk,32.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211109095143125037/detail/6-C25EJZCVEEWEBA_0c15d17c0d2c41b2a3512c154228ff64_1684833704576631504.webp,2025-06-01 10:25:31
Sate Kerang 15 Tusuk,48.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211109095143133790/detail/6-C25EJZCVEEWEBA_1ece2d2f4d0444ad8a6b0c4939bc1c24_1688811708748414662.webp,2025-06-01 10:25:31
Batagor,33.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211109095142112960/detail/6-C25EJZCVEEWEBA_a030412609644e29a735dbc438a74522_1688811708689180231.webp,2025-06-01 10:25:31
