Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Cheese Omelette Curry,45.000,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207053073207/detail/menueditor_item_b79107a39519473a88ae25fc2516cd79_1740207879815095368.webp,2025-06-01 10:18:35
Blackcurrant,15.000,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207303228338/detail/menueditor_item_5bc6d48619de49079731ebcda6bc2287_1740209410129164736.webp,2025-06-01 10:18:35
Creamy Chicken Pasta,39.500,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2025022206573376734/detail/menueditor_item_ddbf171e765b4206afb35720e0214d73_1740207387275235327.webp,2025-06-01 10:18:35
French Fries,29.000,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207205643322/detail/menueditor_item_7d00bccd27d4497da7e06894afe8f625_1740208838241010903.webp,2025-06-01 10:18:35
Wagyu Saikoro,68.500,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2025022206545166737/detail/menueditor_item_f43851717fca493dbc4ad29dfe6c35ea_1740207260385681012.webp,2025-06-01 10:18:35
jamur,7.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207185602683/detail/menueditor_item_40a802419933414ab8b4cde04e50d376_1740208721356001300.webp,2025-06-01 10:18:35
Chicken Katsu Curry,37.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207141102408/detail/menueditor_item_9025b341ede1414db2c36fc273287c16_1740208435414495651.webp,2025-06-01 10:18:35
Mozarella,13.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207172298044/detail/menueditor_item_394fb540a4804221b6c3e8fa9e82dca4_1740208614198614435.webp,2025-06-01 10:18:35
Saos Creamy Paper,9.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207330040790/detail/menueditor_item_1e3b840526bc4d2bafdcf365d6d6299f_1740209566977709166.webp,2025-06-01 10:18:35
Saos Bibimbap,9.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207322016737/detail/menueditor_item_c3cfb4c727834b55a96461ebb71c2daf_1740209527471280104.webp,2025-06-01 10:18:35
Saos Spicy Teriyaki,9.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207315047876/detail/menueditor_item_552cc5ce364d404687e2a9552411d6c9_1740209496666127798.webp,2025-06-01 10:18:35
Saos Steak,9.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207311868016/detail/menueditor_item_d53eb435b6d94d26a99806aa5e018f2a_1740209464370200207.webp,2025-06-01 10:18:35
Saos Karaii / Chilli,9.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207303228338/detail/menueditor_item_5bc6d48619de49079731ebcda6bc2287_1740209410129164736.webp,2025-06-01 10:18:35
Saos Bulgogi,9.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207362983752/detail/menueditor_item_7a6982bc29664c5da50b43ee342ee8ba_1740209773355300311.webp,2025-06-01 10:18:35
Saos Cheese,9.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207354848250/detail/menueditor_item_8809f8f988a3403e849a89ee3ac973a2_1740209735200665844.webp,2025-06-01 10:18:35
Saos Curry,9.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207351311344/detail/menueditor_item_37b22942fde84f80b47409fd21b7fc2a_1740209690069931356.webp,2025-06-01 10:18:35
Ice Tea,15.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207342035818/detail/menueditor_item_59871b1fbd754ca8a7410c828ad2d16c_1740209651386133217.webp,2025-06-01 10:18:35
Lemon Tea,15.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVR3KEJK3ZWE5278.webp,2025-06-01 10:18:35
Lemonade,15.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C632V6NBNAKKTX4217.webp,2025-06-01 10:18:35
Mineral Water,15.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZSFDVJFMXUA5485.webp,2025-06-01 10:18:35
Blackcurrant,15.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C64ARGKGEUX2VJ2861.webp,2025-06-01 10:18:35
iced hazelnut latte,25.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207251767713/detail/menueditor_item_11cb1b166bb44893a528d781f23297e5_1740209101334396624.webp,2025-06-01 10:18:35
ice caramel latte,25.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZTEUXN6LULA9735.webp,2025-06-01 10:18:35
Ice Coffe Latte,20.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207221551852/detail/menueditor_item_f9b8ee1579984938af2ebe254aabe8f4_1740208909570133256.webp,2025-06-01 10:18:35
Milo,15.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207205643322/detail/menueditor_item_7d00bccd27d4497da7e06894afe8f625_1740208838241010903.webp,2025-06-01 10:18:35
iced Black Coffe,17.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207193306283/detail/menueditor_item_fb989d9fccd244bcaeb641c33fc7a494_1740208748164495853.webp,2025-06-01 10:18:35
lychee Tea,21.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207185602683/detail/menueditor_item_40a802419933414ab8b4cde04e50d376_1740208721356001300.webp,2025-06-01 10:18:35
Melon Tea,21.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207181868882/detail/menueditor_item_e242f3c61cbb43c19b14ace6d2a9f31e_1740208675238912134.webp,2025-06-01 10:18:35
Fruit Punch Tea,21.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207172298044/detail/menueditor_item_394fb540a4804221b6c3e8fa9e82dca4_1740208614198614435.webp,2025-06-01 10:18:35
Rose Tea,21.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025022207163030840/detail/menueditor_item_68817a2997e04900b474fcf1c301e7b2_1740208579307470073.webp,2025-06-01 10:18:35
