Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Bika Reguler Original,98.000,Berat 580gr dan diameter 18cm,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208034089860/detail/menueditor_item_29f54584a2fb41a79a0bc90563db8f56_1743580976263526697.webp,2025-06-01 10:32:30
Bika Reguler Original,98.000,Berat 580gr dan diameter 18cm,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208034089860/detail/menueditor_item_29f54584a2fb41a79a0bc90563db8f56_1743580976263526697.webp,2025-06-01 10:32:30
Bika Reguler Pandan,98.000,Berat 580gr dan diameter 18cm,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208041905591/detail/menueditor_item_f81454c6c6564334b8630a801961e685_1743581042590597722.webp,2025-06-01 10:32:30
Bika Imut,78.000,"1 kotak isi 6 pcs, dengan 1 pcs berdiameter 5 cm. Berat total 400 gr.",https://food-cms.grab.com/compressed_webp/items/IDITE2025040208065873161/detail/menueditor_item_a51e81fb19f1460dbe392861e489f13d_1743581184065564983.webp,2025-06-01 10:32:30
Bika Medium Original,48.000,Berat 225gr dan diameter 10cm,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208051180489/detail/menueditor_item_5eae02fed00941e69a5f7cff93b46468_1743581086812023961.webp,2025-06-01 10:32:30
Bika Medium Pandan,48.000,Berat 225gr dan diameter 10cm,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208054804216/detail/menueditor_item_8feb957128084317be23f77b63770684_1743581129255369954.webp,2025-06-01 10:32:30
Brownies Chocochip Besar,105.000,Dimensi ukuran 30 X 10 X 5 cm dan Berat 460 gr,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208084502878/detail/menueditor_item_592bd1406a4b40899302ad9b6a2e86c1_1743581302759307012.webp,2025-06-01 10:32:30
Brownies Kenari Besar,92.000,Dimensi ukuran 30 X 10 X 5 cm dan Berat 460 gr,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208092412005/detail/menueditor_item_9f50bd9c3be64f43bb8bc1bbf30f5842_1743581346369187900.webp,2025-06-01 10:32:30
Brownies Chocoball Besar,105.000,Dimensi ukuran 30 X 10 X 5 cm dan Berat 460 gr,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208100969948/detail/menueditor_item_89d730b9064e4af3b7f61fdc704abb36_1743581396245993993.webp,2025-06-01 10:32:30
Brownies Chocochip Kecil,54.000,Dimensi ukuran 15 X 10 X 5 cm dan ukuran 225 gr,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208110502652/detail/menueditor_item_4b2a2bf372fc45df8ab29dd16b6e1ab6_1743581434584218426.webp,2025-06-01 10:32:30
Brownies Kenari Kecil,47.500,Dimensi ukuran 15 X 10 X 5 cm dan ukuran 225 gr,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208114257162/detail/menueditor_item_59d328c81f6b48b7ab3598d9130030eb_1743581488343666402.webp,2025-06-01 10:32:30
Brownies Chocoball Kecil,54.000,Dimensi ukuran 15 X 10 X 5 cm dan ukuran 225 gr,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208122316465/detail/menueditor_item_af2a3e3d9f434bd69411398e1194d6af_1743581527424108873.webp,2025-06-01 10:32:30
Kacang Atom Besar,72.500,Berat 450gr,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208142906548/detail/menueditor_item_712ab2ec2ca94557b2eb65ee047e698f_1743581631384124418.webp,2025-06-01 10:32:30
Kacang Bawang,72.500,Berat 210gr,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208164978843/detail/menueditor_item_b6bf9676b7ca4cb493ad7f770a954bb4_1743581761086157710.webp,2025-06-01 10:32:30
Kacang Telur Besar,72.500,Berat 450gr,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208152268874/detail/menueditor_item_6c748ef34c834b82b24580c527d619c7_1743581692068287557.webp,2025-06-01 10:32:30
Kacang Atom Kecil,41.500,Berat 210gr,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208175116957/detail/menueditor_item_04266f7eda044d38964cc11159bcefc3_1743581829244889573.webp,2025-06-01 10:32:30
Kacang Telur Kecil,41.500,Berat 210gr,https://food-cms.grab.com/compressed_webp/items/IDITE2025040208184486384/detail/menueditor_item_39d0b22122414b0da2646937b105dbcb_1743581895572165394.webp,2025-06-01 10:32:30
