Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Njamoer Geprek Ayam,32.300,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603203941834/detail/menueditor_item_4918ed2bdbf0431699dce4ae0cfbf462_1729912818721551730.webp,2025-06-01 10:29:03
Sego Njamoer Jumbo Spicy,19.400,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603062601083/detail/menueditor_item_b486fb9394e3413a85f233a56c49e3ed_1729911978019475132.webp,2025-06-01 10:29:03
Sego Njamoer Jumbo Ori,19.400,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603055650073/detail/menueditor_item_935ef83d7850414794791a57b2d77d4c_1729911945444006728.webp,2025-06-01 10:29:03
Sego Njamoer Reguler Spicy,13.000,Gambar hanya untuk referensi,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603045529526/detail/menueditor_item_01ea4978aff4456d807daa5bb1daa50f_1729911807585421313.webp,2025-06-01 10:29:03
Sego Njamoer Reguler Ori,13.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603052544111/detail/menueditor_item_ac043f7cabde420481b3e9f47889fea8_1729911916823172060.webp,2025-06-01 10:29:03
Pentol Paket 10 Mini,27.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603154741189/detail/menueditor_item_3483462c35e94332986c8d4ecf205717_1729912518954888951.webp,2025-06-01 10:29:03
Njamoer Crispy Enoki Jumbo,24.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603105662811/detail/menueditor_item_d2cc92bc32e244f080e6cda883e4710c_1729912248624055047.webp,2025-06-01 10:29:03
Sego Njamoer Beef Slice,19.400,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603072823940/detail/menueditor_item_fd0f661a154d4a368c3a025d4c3cf4d6_1729912040783570502.webp,2025-06-01 10:29:03
Mealbox Beef(+Xtra Telur) + Olenji,53.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603351316875/detail/menueditor_item_05b4222726e54617b6c877a1f1a80afc_1729913704156059834.webp,2025-06-01 10:29:03
Mealbox Beef(+Xtra Beef) + Olenji,53.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603344253004/detail/menueditor_item_6ef852691263425b85fef0a77a31ec85_1729913670487470570.webp,2025-06-01 10:29:03
Mealbox Ayam+ Olenji,40.400,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603335747834/detail/menueditor_item_ef96050f72e24254b90f2b86cffc853b_1729913626745349697.webp,2025-06-01 10:29:03
Mealbox Telur + Olenji,33.900,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603331175106/detail/menueditor_item_d312f68c627a4c56ad471bebc2bcdc89_1729913573356485650.webp,2025-06-01 10:29:03
Njamoer Geprek Ayam + Olenji,40.400,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603321787869/detail/menueditor_item_c314f5ade2c644f7a367a2f0d308b018_1729913530703303299.webp,2025-06-01 10:29:03
Njamoer Geprek Ori + Olenji,33.900,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603314687519/detail/menueditor_item_2ef3f222b7ef4454a2a7e91166290fe7_1729913483160771348.webp,2025-06-01 10:29:03
Olenji Juseu,11.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6LZSEXDCKTYLE0861.webp,2025-06-01 10:29:03
Es Lemon Tea,11.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVRULFEB3FT60317.webp,2025-06-01 10:29:03
Air Mineral,8.100,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVRXL2CUWXBA3409.webp,2025-06-01 10:29:03
Es Teh Manis,11.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/dish-photo-library/stock/detail/DIP-C6WVR2VVTTV1JE4456.webp,2025-06-01 10:29:03
Njamoer Mealbox Beef(+Xtra Telur),45.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603241913231/detail/menueditor_item_8757cf78c0b64ba9a27f8da0a08da2bc_1729913044092783098.webp,2025-06-01 10:29:03
Njamoer Mealbox Beef(+Xtra Beef),45.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603233378384/detail/menueditor_item_dd149fc4e7004e808862a0adfc6b1c41_1729912993987349440.webp,2025-06-01 10:29:03
Njamoer Mealbox Ayam,32.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603221730875/detail/menueditor_item_70d45a38fec742c494d28b0dcec4c0f1_1729912928356706223.webp,2025-06-01 10:29:03
Njamoer Mealbox Telur,25.900,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603214766618/detail/menueditor_item_3aef5d51f8b4456199ad29f0a3630a52_1729912899070070339.webp,2025-06-01 10:29:03
Njamoer Geprek Ayam,32.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603203941834/detail/menueditor_item_4918ed2bdbf0431699dce4ae0cfbf462_1729912818721551730.webp,2025-06-01 10:29:03
Njamoer Geprek Ori,25.900,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603195384006/detail/menueditor_item_05c5d26462c64fd1a91f9d4bede3cecf_1729912778108711774.webp,2025-06-01 10:29:03
Seblak Bocinoyi,24.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603303150932/detail/menueditor_item_9a72f6fdadc24d389090725b16373c16_1729913423798219154.webp,2025-06-01 10:29:03
Cuanki Bocinoyi,24.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603295541445/detail/menueditor_item_2984330ce59f4d0da8bcc64cf014b1d0_1729913287563341585.webp,2025-06-01 10:29:03
Basoaci Bocinoyi,24.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603274105368/detail/menueditor_item_b2b7e9b42fb344f78708769ce2bc6940_1729913251784891942.webp,2025-06-01 10:29:03
Pentol Paket 8 Mini,24.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603171046580/detail/menueditor_item_00b215ad7cc04d3c966607e27fd8c0ac_1729912622841060646.webp,2025-06-01 10:29:03
Pentol Paket 10 Mini,27.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603154741189/detail/menueditor_item_3483462c35e94332986c8d4ecf205717_1729912518954888951.webp,2025-06-01 10:29:03
Pentol Paket 5 Reguler,27.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603142530534/detail/menueditor_item_436d1e2a89254b07b7c531fce9ebab65_1729912455538351431.webp,2025-06-01 10:29:03
Pentol Paket 4 Reguler,24.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603134349349/detail/menueditor_item_c90dc428aad0425996b0ddfbcaf8c9fd_1729912412373293811.webp,2025-06-01 10:29:03
Siomay Njamoer isi 5 pcs,27.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603123500581/detail/menueditor_item_115f635c74bd4230b7e94949a11de5dc_1729912345833440216.webp,2025-06-01 10:29:03
Sosis Mozarella Jumbo,30.700,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603120245440/detail/menueditor_item_40b92f6290f64094841230f04e1ef3a8_1729912312373494232.webp,2025-06-01 10:29:03
Njamoer Crispy Enoki Jumbo,24.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603105662811/detail/menueditor_item_d2cc92bc32e244f080e6cda883e4710c_1729912248624055047.webp,2025-06-01 10:29:03
Pentol Crips Jumbo,24.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603130857069/detail/menueditor_item_caa2e3b3561a4e3492451e3b726e8b27_1729912378078201411.webp,2025-06-01 10:29:03
Satay Njamoer Spicy,27.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102603113083324/detail/menueditor_item_76fe433cef7b48049c0b4cf3af78505e_1729912275551720909.webp,2025-06-01 10:29:03
