Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
1 Java Chip Frappuccino + 1 Asian Dolce Latte,65.000,"Grande Size, Buy 1 Get 1",https://food-cms.grab.com/compressed_webp/items/IDITE20250531025542011597/detail/7e72c0f6af3c490c9bef8ea03d4ab2d2_1748711516261036182.webp,2025-06-01 10:16:18
Starbucks 3x 250ML,99.000,"Pilih 3 minuman favoritmu sebagai gifting untuk orang terkasih. Demi menjaga kualitas, produk ini tidak dapat di Customize.",https://food-cms.grab.com/compressed_webp/items/IDITE20250531023827037839/detail/376ffecab22c4451b126ecae8d46dc84_1748711152310856911.webp,2025-06-01 10:16:18
"1 Iced Caffe Americano + 1 Iced Shaken Tea Lemonade, tall size",40.000,2 For 40K,https://food-cms.grab.com/compressed_webp/items/IDITE202505310157532432442/detail/0a51d83323764b7caa694b59909f981c_1748710906245420555.webp,2025-06-01 10:16:18
Pick Me Up Anniversary 1,67.000,1 Tall Iced Shaken Lemonade + 1 Classic Dark Chocolate / 1 Scarlet Velvet Cake,https://food-cms.grab.com/compressed_webp/items/IDITE20250527114145511212/detail/e871b454de744a08b5f2f8a9e8e61287_1748711289072450276.webp,2025-06-01 10:16:18
2 Cups only 58K,58.000,Free to choose and tall size,https://food-cms.grab.com/compressed_webp/items/IDITE202505210708411269815/detail/7560f55758a846c0804eb3a48f187e57_1748192515093561747.webp,2025-06-01 10:16:18
Starbucks Venti Gift Box (Hampers) Special Price,154.000,2L Beverage,https://food-cms.grab.com/compressed_webp/items/IDITE20250520073912741719/detail/25dae93afc564efeae826c147710e918_1748453361619771429.webp,2025-06-01 10:16:18
SPECIAL PRICE 2L HANYA 119K!!,119.000,Harga spesial untuk minuman 2L favoritmu. Selected Variant Only.,https://food-cms.grab.com/compressed_webp/items/IDITE20250520064643413421/detail/73dfd42e7c6e4ced871d2390c42d7bf1_1748451621463877700.webp,2025-06-01 10:16:18
Beverage + Card Holder 23rd,199.000,2 Tall Beverages + 1 Card Holder Anniversary 23rd,https://food-cms.grab.com/compressed_webp/items/IDITE202505150649341871828/detail/68d049dcbd504bc5b76faf240bea99e9_1747935230324089533.webp,2025-06-01 10:16:18
"1 Cinnamon Roll + 1 Iced Caffe Latte, tall size",45.000,Pick Me Up 1,https://food-cms.grab.com/compressed_webp/items/IDITE202504250513472399611/detail/d69dd64770a74a7cbc69ab782d5c5dad_1748710896374505124.webp,2025-06-01 10:16:18
"1 Iced Caffe Americano + 1 Iced Shaken Tea Lemonade, tall size",40.000,2 For 40K,https://food-cms.grab.com/compressed_webp/items/IDITE20250424133127258313/detail/5cccbe974ad94eda858ad5cc8827f2a6_1748711022392809408.webp,2025-06-01 10:16:18
1 Iced Salted Caramel Macchiato + 1 Caramel Cream Frappuccino,66.000,"Grande Size, Buy 1 Get 1",https://food-cms.grab.com/compressed_webp/items/IDITE20250531025542079526/detail/0b7f5d4338644e67bbccf2d747fc086f_1748711516032094027.webp,2025-06-01 10:16:18
"1 Iced Caffe Americano + 1 Iced Caffe Latte, tall size",45.000,2 For 45K,https://food-cms.grab.com/compressed_webp/items/IDITE202505310157532441925/detail/982d8d24b0af4090a76d010f654e43e2_1748710906701946832.webp,2025-06-01 10:16:18
Pick Me Up Anniversary 2,70.000,1 Tall Iced Latte + 1 Classic Dark Chocolate / 1 Scarlet Velvet Cake,https://food-cms.grab.com/compressed_webp/items/IDITE20250527114146138524/detail/ffe743f4bd7044a58598c08ab40b95af_1748711289720845420.webp,2025-06-01 10:16:18
1L + Card Holder 23rd,199.000,1L Beverages + 1 Card Holder Anniversary 23rd,https://food-cms.grab.com/compressed_webp/items/IDITE202505150649341898313/detail/ffeede075f9342d4a08cf8ca3226df51_1747935230552939518.webp,2025-06-01 10:16:18
