Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Dubai Chocolate Bar,70.000,"Spiku vanilla dan coklat dengan selai stroberi (uk 8,5cm x 9cm)",https://food-cms.grab.com/compressed_webp/items/IDITE2025041407272415698/detail/menueditor_item_5b0bf2a97d8742048635019ea2bd8336_1745297549054109438.webp,2025-06-01 09:24:55
The King Spiku 9x9cm,112.000,"Tiga lapis spiku vanilla dengan selai stroberi (uk 8,5cm x 9cm)",https://food-cms.grab.com/compressed_webp/items/IDITE2025041407114406854/detail/menueditor_item_57f08aa6d22d436c8e76260862407bc2_1744614698229416864.webp,2025-06-01 09:24:55
Ladies & Gentlemen Spiku 9x9cm,105.000,Tiga lapis spiku durian dengan selai durian dibuat dari durian asli,https://food-cms.grab.com/compressed_webp/items/IDITE2025041407101998890/detail/menueditor_item_623514123ab2486aa3dc4b087d4a1b50_1744614583810884193.webp,2025-06-01 09:24:55
Triple Chocolate Spiku 9x9cm,112.000,Spiku dengan rempah kayu manis can coklat dengan selai stroberi dan taburan kismis di atasnya,https://food-cms.grab.com/compressed_webp/items/IDITE2025041407090919521/detail/menueditor_item_cd60ae11c59046e8b87366850124c65e_1744614537152482079.webp,2025-06-01 09:24:55
Classic Original Spiku 9x9cm,105.000,Spiku matcha dan kopi dengan selai kopi,https://food-cms.grab.com/compressed_webp/items/IDITE2025041407074477591/detail/menueditor_item_10538d948e37469fae34996cc55f8f63_1744614451343649445.webp,2025-06-01 09:24:55
Charcoal Cheese Spiku 9x9cm,112.000,"Tiga lapis spiku coklat dengan selai coklat, coklat leleh dan choco chip",https://food-cms.grab.com/compressed_webp/items/IDITE2025041407064959435/detail/menueditor_item_0a051d12661c40c092fb74732cb4b439_1744614393092017561.webp,2025-06-01 09:24:55
Old Style Spiku 9x9cm,98.000,Tiga lapis spiku vanilla dengan selai stroberi,https://food-cms.grab.com/compressed_webp/items/IDITE2025041407105252269/detail/menueditor_item_7f85fbd01586432f8f39700017a6cd35_1744614629458105521.webp,2025-06-01 09:24:55
Triple Vanilla Spiku 9x9cm,98.000,Spiku vanilla dan coklat dengan selai stroberi,https://food-cms.grab.com/compressed_webp/items/IDITE2025041407083331124/detail/menueditor_item_925e0a0f255d4aad8bdb4d0568ae7e2a_1744614485537627327.webp,2025-06-01 09:24:55
Nastar,147.000,Spiku charcoal dan cheese cake Jepang dengan selai blueberry,https://food-cms.grab.com/compressed_webp/items/IDITE2023041709560958586/detail/menueditor_item_c338a271ce804d949bdfc946c1c3862c_1681725352015576016.webp,2025-06-01 09:24:55
Parmesan Cheese Ball,196.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023041709554228032/detail/menueditor_item_f30dadf685ee437190a62cabb2b6d1f8_1681725320204676060.webp,2025-06-01 09:24:55
Kaastengel,224.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023041709481683161/detail/menueditor_item_56981c26bcaa4d8dbf30cbb3174647b1_1681724879308107414.webp,2025-06-01 09:24:55
Assorted Cookies,350.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023041709563723145/detail/menueditor_item_2a9a0d1265bb46a78627f8330a52741a_1681725379579000001.webp,2025-06-01 09:24:55
