Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Wader Sambal Penyet,27.000,"Ikan Yang DIkenal Dengan Nama Ikan Kuwe , Tekstur Daging Tebal Dan Lezat",https://food-cms.grab.com/compressed_webp/items/IDITE2024060312535193867/detail/menueditor_item_f06d003e1ef445f58eff9c0ecf47de5a_1717419208034385179.webp,2025-06-01 09:05:19
Seafood Platter,155.000,"Ikan Kerapu Jenis Cantang Dengan Berat 5.5 - 6 onz, Yang Mempunyai Daging Lembut & Gurih. Merupakan Salah Satu Menu Rekomendasi Daun Lada",https://food-cms.grab.com/compressed_webp/items/IDITE2024060312441204630/detail/menueditor_item_31e86df68d7e44b69712b35ead9a8edf_1717418624615171746.webp,2025-06-01 09:05:19
Mubara (Ikan Kuwe),135.000,"Menu Favorite Daun Lada , Size 5.5 sd 6 onz",https://food-cms.grab.com/compressed_webp/items/IDITE2024030608280526002/detail/menueditor_item_912ada051446436cb28eed165709f053_1709713651172119936.webp,2025-06-01 09:05:19
Kerapu Cantang (LIVE) 6 onz,325.000,"Ikan Yang Dikenal Juga Dengan Ikan Ayam , Khas Makassar Yang Dibakar Dengan Teknik Mengasapi Dengan Batok Kelapa. Merupakan Salah Satu Menu Signature Daun Lada",https://food-cms.grab.com/compressed_webp/items/IDITE2021092714590317482/detail/menueditor_item_bb31546e836c428eaa53bec2df7243cc_1632754721084978630.webp,2025-06-01 09:05:19
Gurami (LIVE),150.000,"Kerang Yang Banyak Ditemukan Di Jimbaran , Bali. Salah Satu Menu Signature Daun Lada",https://food-cms.grab.com/compressed_webp/items/IDITE2021091523444886799/detail/6-CZJ3J2UEG2DZCE_b1ad5e4c09c44b2aa4bc50efe6cd9c2e_1684321482710444392.webp,2025-06-01 09:05:19
Papakulu Bakar Asap,90.000,"Ikan Sukang Atau Yang Lebih Dikenal Dengan Ikan Kambing Kambing , Merupakan Salah Satu Menu Signature Daun Lada Yang Dimasak Dengan Cara Di Bakar",https://food-cms.grab.com/compressed_webp/items/IDITE2021091523440739887/detail/menueditor_item_37307c01bf52472fbfde8106bf98153c_1658290825404217958.webp,2025-06-01 09:05:19
Kerang Totok (LIVE),75.000,"Menu Favorite Daun Lada , Size 5.5 sd 6 onz",https://food-cms.grab.com/compressed_webp/items/IDITE2021091523431532976/detail/menueditor_item_bf19b451e3504e5a91caf0afd16be8c7_1631749379580276158.webp,2025-06-01 09:05:19
(FROZEN) Ayam Betutu GIlimanuk,225.000,Spesial sate windu variant bakar asli khas nusantara,https://food-cms.grab.com/compressed_webp/items/IDITE2024060312462497134/detail/menueditor_item_e86aa4f323524011a38bb7be820e2d84_1717418759806787367.webp,2025-06-01 09:05:19
Gurami Goreng Gurita Sambal Roya,161.000,"Kepiting Cangkang Lunak, Yang Di Goreng Tepung Khas Ala Daun Lada Di Kombinasi Bumbu Rekomendasi",https://food-cms.grab.com/compressed_webp/items/IDITE2025052719552954163/detail/menueditor_item_f629e839567f400e90367b22705f490e_1748375665984809028.webp,2025-06-01 09:05:19
Sukang XS - XL,175.000,"1 Porsi Cumi Ring (120 gram) , Yang Digoreng Tepung",https://food-cms.grab.com/compressed_webp/items/IDITE2023121722390364956/detail/menueditor_item_00f0b5c044894114bb483684f8ea3914_1702852636207552491.webp,2025-06-01 09:05:19
Nila (LIVE),140.000,"1 Porsi Cumi Ring (180 gram) , Yang Ditumis Dengan Saos Rekomendasi Ala Daun Lada",https://food-cms.grab.com/compressed_webp/items/IDITE2021091523352429425/detail/menueditor_item_94a5919444954c3895fb776d450cd8a0_1631748906419468329.webp,2025-06-01 09:05:19
Kakap Merah,158.000,daging olahan yang di sajikan dengan saos ala vietnam penuh rempah yg menggoda selera,https://food-cms.grab.com/compressed_webp/items/IDITE2021091523344341751/detail/menueditor_item_3449491f95d44904b82914f218978637_1631748870232700258.webp,2025-06-01 09:05:19
Kaneke,115.000,Kombinasi Penyetan : Udang Windu Crispy + Bakwan Penyet + Tahu Tempe + Telur Ceplok + Lalapan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091523340627936/detail/menueditor_item_be353321663346bbbe711086f28fb892_1631748832825232979.webp,2025-06-01 09:05:19
Bawal hitam,130.000,Kombinasi Penyetan : Ayam Paha/Dada + Bakwan Penyet + Tahu Tempe + Tahu Ceplok + Lalapan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091523333273143/detail/menueditor_item_32a4d657dcb6446fa4b76632d19cf7d3_1631748798855446406.webp,2025-06-01 09:05:19
Mata Sebelah,99.000,"Salah Satu Menu Baru Daun Lada, Bakwan Olahan Yang Di Goreng Dan Dikombinasi Dengan Sambal Terasi Andalan Daun Lada. Disertai Dengan Lalapan Yang Segar",https://food-cms.grab.com/compressed_webp/items/IDITE2021091523324136588/detail/menueditor_item_fe802fe243e744de8a12b70fa1c570b6_1631748747162055579.webp,2025-06-01 09:05:19
Bandeng Tanpa Duri,130.000,"Masakan Khas Jawa Tengah Yang Rasanya Asam Segar,Yang Dikelolah Dengan Bumbu Ala Daun Lada Yang Membuat Rasanya Semakin Nikmat",https://food-cms.grab.com/compressed_webp/items/IDITE2021091523313559862/detail/6-CZJ3J2UEG2DZCE_7c1e676f34c247838c349e7d3b6c4c2e_1684321482759518446.webp,2025-06-01 09:05:19
Ikan Tapi Tapi,123.000,Bakmie Yang Digoreng Dengan Campuran Telor & Bumbu Rahasia Daun Lada. 1 Porsi +/- 150 gram. Dengan Kondimen Utama Yakni : Ayam,https://food-cms.grab.com/compressed_webp/items/IDITE2022021017192071900/detail/menueditor_item_506b09dcf5024d5fac94c3129e431a04_1644513548884967928.webp,2025-06-01 09:05:19
Baronang,147.000,"Bakmie Yang Digoreng Dengan Campuran Telor & Bumbu Rahasia Daun Lada. 1 Porsi +/- 150 gram. Dengan Kondimen Seafood Yakni : Udang , Cumi & Otak Otak Ikan",https://food-cms.grab.com/compressed_webp/items/IDITE2021091523304986915/detail/menueditor_item_8b54fa2e0fa4422b9e97ab5660fd18e3_1631748637108558856.webp,2025-06-01 09:05:19
Udang Windu (Fresh),138.000,Bihun Yang Digoreng Dengan Campuran Telor & Bumbu Rahasia Daun Lada. 1 Porsi +/- 150 gram. Dengan Kondimen Utama Yakni : Ayam,https://food-cms.grab.com/compressed_webp/items/IDITE2024121019163531514/detail/menueditor_item_a6abf1bb97f14471a38e39f4a07370da_1733858155052749658.webp,2025-06-01 09:05:19
Sate Udang Windu Bakar,108.000,"Bihun Yang Digoreng Dengan Campuran Telor & Bumbu Rahasia Daun Lada. 1 Porsi +/- 150 gram. Dengan Kondimen Seafood Yakni : Udang , Cumi & Otak Otak Ikan",https://food-cms.grab.com/compressed_webp/items/IDITE2024121019111396187/detail/menueditor_item_37c3fb90b0b34f299c13f325142e7914_1733857766209549142.webp,2025-06-01 09:05:19
Udang Peci,95.000,"Nasi Yang Digoreng Dengan Bumbu Merah , Campuran Telor & Bumbu Rahasia Daun Lada. 1 Porsi +/- 400 gram. Dengan Kondimen Utama Yakni : Potongan Ayam",https://food-cms.grab.com/compressed_webp/items/IDITE2021091523263538038/detail/menueditor_item_591be9934f7e42e59162f6a76857befe_1631748381100178508.webp,2025-06-01 09:05:19
Kepiting Soka,92.000,"Nasi Yang Digoreng Dengan Bunga Lotus , Wortel , Baby Buncis , Campuran Telor & Bumbu Rahasia Daun Lada. 1 Porsi +/- 400 gram. Dengan Kondimen Utama Yakni : Sapi Giling",https://food-cms.grab.com/compressed_webp/items/IDITE2021091523193430301/detail/menueditor_item_04a8b02dc3864d649d684dff4a51c764_1631747948409161282.webp,2025-06-01 09:05:19
Cumi Ring Goreng Tepung,75.000,"Nasi Yang Digoreng Dengan Bumbu Kunir , Kemanggi Dan Bumbu Rahasia Daun Lada. 1 Porsi +/- 400 gram , Dengan Beberapa Pilihan Kondimen Yang Menggugah Selera.",https://food-cms.grab.com/compressed_webp/items/IDITE2021091523180886872/detail/menueditor_item_1ea8de00192f457b80aed393ec3f9ba8_1631747871623040671.webp,2025-06-01 09:05:19
Tumis Cumi Ring,85.000,1 Gurami Variant Saos Free 1 Gurami Variant Saos + 1 Menu Opsional,https://food-cms.grab.com/compressed_webp/items/IDITE2022040621120671896/detail/menueditor_item_d7693ebd88ff4afab677a43f36dcd1ae_1649279514221106124.webp,2025-06-01 09:05:19
Saikoro Beef,125.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024032722301799792/detail/menueditor_item_70d7094e7448447cb630b003b4d08851_1711578502149245048.webp,2025-06-01 09:05:19
Ayam Kampung (Per Potong Dada / Paha),45.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024060312481747399/detail/menueditor_item_d1238347b86f41b999717669f6f44605_1717418857031412514.webp,2025-06-01 09:05:19
Ayam Kampung (Ekor),175.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024060312472129749/detail/menueditor_item_17314f8b4efb44fc9b4990835d72ad1c_1717418809870796573.webp,2025-06-01 09:05:19
Ayam Karkas,75.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091523092248260/detail/menueditor_item_ba878a579fae429f9dd7cbaa21a3af65_1631747345790262986.webp,2025-06-01 09:05:19
Aneka Sambal,22.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024060504132785563/detail/menueditor_item_c762db99d7f4451fba1c1ba872a38ffc_1717560775773810979.webp,2025-06-01 09:05:19
Udang Meteor Crispy,55.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024060312575857615/detail/menueditor_item_f746f1a5cd0449ed83a84b22b9a0052b_1717419448129438609.webp,2025-06-01 09:05:19
Tahu Tempe Penyet,37.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024060312564264283/detail/menueditor_item_1dc6611fb9ea4efc9f74087bac266941_1717419377752321711.webp,2025-06-01 09:05:19
Penyetan 4T,43.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024060312554634056/detail/menueditor_item_ab46cb476e764394962ed83805780637_1717419326997971835.webp,2025-06-01 09:05:19
Wader Sambal Penyet,27.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024060312535193867/detail/menueditor_item_f06d003e1ef445f58eff9c0ecf47de5a_1717419208034385179.webp,2025-06-01 09:05:19
Udang Petai Sambal Roya,90.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022083119504965823/detail/6-CZJ3J2UEG2DZCE_868f017eb2ac40d691a3c664ecdd7e03_1706153942978508040.webp,2025-06-01 09:05:19
Udang Penyet Komplit,85.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091523070815609/detail/menueditor_item_0b9010498f194ddf8b27a1fc39eb04f4_1631747214062493349.webp,2025-06-01 09:05:19
Ayam Penyet Komplit,85.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091523060898532/detail/a5b06a4da5da49b0b63277599b5a1863_1651843029512592296.webp,2025-06-01 09:05:19
Cumi Petai Sambal Roya,77.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022083119511114339/detail/menueditor_item_591058282ffa4f18a4a1cdb77122158b_1664579429587000187.webp,2025-06-01 09:05:19
Bakwan Penyet,47.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091523045450502/detail/menueditor_item_f764164370a245b6905603566752ac4c_1638030150917617953.webp,2025-06-01 09:05:19
Tempe Goreng,22.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091523005293335/detail/menueditor_item_d70bf9b217a4437190fb2f26d75cc426_1631746835636259655.webp,2025-06-01 09:05:19
Petai Goreng,25.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522564590031/detail/menueditor_item_078eb70e973e42828275126454d992f9_1631746587876191458.webp,2025-06-01 09:05:19
Tahu Goreng Dadu,20.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022091020173296469/detail/9e996bec321f4ca29b52f031c4a4c6d1_1663138637215197240.webp,2025-06-01 09:05:19
Garang Asem Ayam,56.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024060409552048802/detail/menueditor_item_6d42531782274eceb6880a424fbf5c07_1717494931405348310.webp,2025-06-01 09:05:19
Sup Buntut,120.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522531968416/detail/menueditor_item_fb9b67ccfdf244d0858dbf0387fcaea2_1685392316567564857.webp,2025-06-01 09:05:19
Sayur Asem,32.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522524908476/detail/menueditor_item_bcb4aef9ba984fd6b4905826c89c3355_1631746355206134957.webp,2025-06-01 09:05:19
Kerang Kipas,60.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522515248851/detail/menueditor_item_e3f18f578fb241358750647c4275d3fc_1631746298228169778.webp,2025-06-01 09:05:19
Kerang Hijau,45.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522511396878/detail/menueditor_item_17e6f674aed84dd199ba2bd6db4494ab_1631746257441856453.webp,2025-06-01 09:05:19
Kerang Batik,45.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522503680770/detail/menueditor_item_6dc1c6e50eab4122a9179241beb89b6a_1631746210288198561.webp,2025-06-01 09:05:19
Iris Iris,80.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023100707140446407/detail/menueditor_item_895cb943290f447aa24664408114939e_1696662770557632114.webp,2025-06-01 09:05:19
Baby Buncis,45.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522472407061/detail/menueditor_item_13cda14656564827bb15c7a5a9332343_1631746024551594247.webp,2025-06-01 09:05:19
Terong Ungu,41.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522454687808/detail/menueditor_item_e8e72b8d422e4d42a27c6f30c57184ff_1658484307653751147.webp,2025-06-01 09:05:19
Kangkung Lombok,38.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522431133599/detail/menueditor_item_cd6531f648464f89bb5f05aef5fc9b43_1685407731942368186.webp,2025-06-01 09:05:19
Cah Tauge,38.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522413890762/detail/menueditor_item_50ef0c55633043f9b3c95a22ff80430d_1631745685981790103.webp,2025-06-01 09:05:19
Orak Arik Jagung,42.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522410563805/detail/menueditor_item_78cf5910c9844d1288fcd969d231d664_1631745652979746614.webp,2025-06-01 09:05:19
Cah Sawi Telur,37.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522402022658/detail/menueditor_item_58175ce4b2504ad99ce618977a6a0e28_1631745607450421556.webp,2025-06-01 09:05:19
Cah Genjer,35.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023030907041300553/detail/menueditor_item_fdf8cc127c6b4fdbb371478eafd0755b_1678353047059971259.webp,2025-06-01 09:05:19
Pucuk Labu,42.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021092501405989950/detail/menueditor_item_2a710053b25846fc9dac15ad349962b3_1632533483140317546.webp,2025-06-01 09:05:19
Bakmie Goreng Ayam,56.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522391063019/detail/menueditor_item_6f95988c37d544b8b0d3355178b4f7ef_1631745537387107413.webp,2025-06-01 09:05:19
Bakmie Goreng Seafood,59.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522374401070/detail/menueditor_item_7ea60373b94b4809af409bf49d76ff78_1631745513217024414.webp,2025-06-01 09:05:19
Bakmie Goreng Jawa,59.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522364728285/detail/menueditor_item_dab5d5e78e25445d9c13a017a7f25bdf_1631745390799613199.webp,2025-06-01 09:05:19
Bihun Goreng Ayam,56.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522355703680/detail/menueditor_item_ec95ade1a42c4a97ae30e4f1eec0a774_1631745302840784054.webp,2025-06-01 09:05:19
Bihun Goreng Seafood,59.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522341696977/detail/menueditor_item_25c84a56fe6f4aa89b46151563b3cb45_1631745233759606694.webp,2025-06-01 09:05:19
Nasi Goreng Ayam Merah,56.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522332439986/detail/menueditor_item_1a52028b54714be5b1858670548e3226_1631745187426246802.webp,2025-06-01 09:05:19
Nasi Goreng Lotus Sapi Cincang,59.300,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522312199119/detail/menueditor_item_dbdf9bc4479f4cc6beee75d63ccc821e_1631745056563709503.webp,2025-06-01 09:05:19
Nasi Goreng Kemangi,56.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023050420500277386/detail/ddf6ecfde92947158c19b0e4a8e2584c_1683557162909393436.webp,2025-06-01 09:05:19
Nasi Putih,12.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2022083120032053290/detail/menueditor_item_933f28552ea84b50ae4be6557b4d711c_1664579502744421361.webp,2025-06-01 09:05:19
Bakmie Ultah,58.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522251336010/detail/menueditor_item_325ea66328ef44e3bf123423c2233f2c_1631744701613814010.webp,2025-06-01 09:05:19
Tropical Fruit Cocktail,52.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021091522174610989/detail/menueditor_item_4e4fd9dc72864966add9f2bf14fb7b8f_1631744253006671094.webp,2025-06-01 09:05:19
Es Kelapa Muda,32.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021092816564917094/detail/menueditor_item_1797acd396ca42c3a3a9e5b68b830597_1632848195306898076.webp,2025-06-01 09:05:19
