Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Healthy For 2,109.035,[Normal Rp 131.800] 2x Healthy Salad / Wrap / Plate,https://food-cms.grab.com/compressed_webp/items/IDITE20240521124432032654/detail/37a0ec73_241113122901.webp,2025-06-01 09:19:53
Healthy Meal + Fresh Smoothie,79.737,[Normal Rp 103.800] 1x Healthy Salad / Wrap / Plate + 1x Fresh Smoothie / Cheezu,https://food-cms.grab.com/compressed_webp/items/IDITE20240521124436016838/detail/6c0fd9c8_240521104647.webp,2025-06-01 09:19:53
Caesar Pleaser - Wrap,54.455,"261 Cal. Spring mix, grilled chicken breast, smoked beef, egg, parmesan, garlic crouton, wonton strips, and caesar dressing. Carb: 21g | Pro: 28 g | Fat: 46g",https://food-cms.grab.com/compressed_webp/items/IDITE20240521124416010250/detail/f48e8b7e_240516115305.webp,2025-06-01 09:19:53
Caesar Supreme Truffle Beef - Wrap,63.545,"191 Cal. Spring mix, lean beef tenderloin, sauteed mushroom, egg, parmesan, garlic crouton, and truffle caesar dressing. Carb: 12 g | Pro: 19g | Fat: 48g",https://food-cms.grab.com/compressed_webp/items/IDITE20240521124417026389/detail/114be667_240516115412.webp,2025-06-01 09:19:53
Caesar Pleaser - Salad,54.455,"261 Cal. Spring mix, grilled chicken breast, smoked beef, egg, parmesan, garlic crouton, wonton strips, and caesar dressing. Carb: 21g | Pro: 28 g | Fat: 46g",https://food-cms.grab.com/compressed_webp/items/IDITE20240521124415032719/detail/8090a9a1_240516115257.webp,2025-06-01 09:19:53
Japanese Sesame Beef - Wrap,63.545,"218 Cal. Spring mix, lean beef tenderloin, kani salad, red cabbage, sesame, nori crackers, and sesame dressing. Carb: 34g | Pro: 12g | Fat: 27g",https://food-cms.grab.com/compressed_webp/items/IDITE20240521124419029948/detail/33036f27_240516115517.webp,2025-06-01 09:19:53
Caesar Schnitzel - Wrap,54.455,"298 Cal. Spring mix, oat breaded chicken, beef bits, egg, parmesan, wonton strips, and caesar dressing. Carb: 30g | Pro: 25g | Fat: 46g",https://food-cms.grab.com/compressed_webp/items/IDITE20240521124416031546/detail/562db0b6_240516115723.webp,2025-06-01 09:19:53
Oat Crusted Teriyaki Chicken Plate,54.455,"537 Cal. Crispy oat-breaded chicken, furikake tofu, kani salad, sous-vide egg, veggie mix, seasoned brown rice, and teriyaki sauce. Carb: 70g | Pro: 45g | Fat: 19g",https://food-cms.grab.com/compressed_webp/items/IDITE20240521124443019214/detail/94a11cc0_240516125722.webp,2025-06-01 09:19:53
Healthy Meal + Fresh Smoothie,79.737,[Normal Rp 103.800] 1x Healthy Salad / Wrap / Plate + 1x Fresh Smoothie / Cheezu,https://food-cms.grab.com/compressed_webp/items/IDITE20240521124436016838/detail/6c0fd9c8_240521104647.webp,2025-06-01 09:19:53
Lean Meal + Plant-Based Drink,59.850,[Normal Rp 79.800] 1x Lean Sandwich / Bowl + 1x Plant-Based Milk / Boba / Shake,https://food-cms.grab.com/compressed_webp/items/IDITE20240521124437032926/detail/25effc3f_240521104820.webp,2025-06-01 09:19:53
Healthy For 2,109.035,[Normal Rp 131.800] 2x Healthy Salad / Wrap / Plate,https://food-cms.grab.com/compressed_webp/items/IDITE20240521124432032654/detail/37a0ec73_241113122901.webp,2025-06-01 09:19:53
Lean For 2,79.840,[Normal Rp 99.800] 2x Lean Sandwich / Bowl,https://food-cms.grab.com/compressed_webp/items/IDITE20240521124439012347/detail/51fbc92d_241018144332.webp,2025-06-01 09:19:53
Fresh Smoothies For 2,59.951,[Normal Rp 75.800] 2x Fresh Smoothie / Cheezu,https://food-cms.grab.com/compressed_webp/items/IDITE20240521124434014402/detail/8bd0ba22_241206110641.webp,2025-06-01 09:19:53
Plant-Based Drinks For 2,44.850,[Normal Rp 59.800] 2x Plant-Based Milk / Boba / Shake,https://food-cms.grab.com/compressed_webp/items/IDITE20240521124438017447/detail/6c41ed6d_241205124219.webp,2025-06-01 09:19:53
Avocado Milo Smoothie,34.455,"(385 Cal) Fresh avocado, banana, Japanese Uji matcha, Milo powder, sea moss gel, yogurt, fresh coconut water, housemade oat milk, cassava syrup, coconut cream, Milo cloud. 49g Carb, 3g Pro, 21g Fat.",https://food-cms.grab.com/compressed_webp/items/IDITE20250410041735018493/detail/603f71b3_250410095949.webp,2025-06-01 09:19:53
Strawberry Matcha Smoothie,34.455,"(337 Cal) Fresh strawberries, avocado, banana, beet powder, real strawberry jam, fresh coconut water, housemade oat milk, cassava syrup, coconut cream, Japanese Uji matcha cloud. 53g Carb, 1g Pro, 15g Fat.",https://food-cms.grab.com/compressed_webp/items/IDITE20250410041735025646/detail/99eeeec7_250410100318.webp,2025-06-01 09:19:53
Acai Antioxidant Smoothie,39.909,"(231 Cal) Antioxidant-rich Acai powder, fresh banana, mixed berries, vanilla yogurt, blue majik spirulina, beet powder, coconut cream, cassava syrup, fresh coconut water. 44g Carb, 2g Pro, 7g Fat.",https://food-cms.grab.com/compressed_webp/items/IDITE20250409021707025193/detail/7f8cc695_250409063849.webp,2025-06-01 09:19:53
Acai Coconut Glow Smoothie,39.909,"(297 Cal) Antioxidant-rich Acai powder, fresh banana, strawberries, cocoa powder, coconut milk, coconut cream, coconut sugar, fresh coconut water. 51g Carb, 2g Pro, 11g Fat",https://food-cms.grab.com/compressed_webp/items/IDITE20250409021707013266/detail/1d73fd07_250409062532.webp,2025-06-01 09:19:53
Malibu Sky Smoothie,34.455,"(243 Cal) Fresh mango, pineapple, banana, passion fruit, sea moss gel, blue majik spirulina, fresh coconut water, orange juice, yogurt, cassava syrup, coconut cream. 48g Carb, 1g Pro, 7g Fat.",https://food-cms.grab.com/compressed_webp/items/IDITE20250409021708022781/detail/3be5191b_250409070540.webp,2025-06-01 09:19:53
Mother Nature Smoothie,39.909,"(349 Cal) Fresh avocado, banana, heart-healthy almond butter, blue majik spirulina, housemade oat milk, coconut biscuit, coconut syrup, coconut cream. 38g Carb, 4g Pro, 22g Fat",https://food-cms.grab.com/compressed_webp/items/IDITE20250409021707032885/detail/5319ff02_250409064424.webp,2025-06-01 09:19:53
Strawberry Glaze Smoothie,34.455,"(342 Cal) Fresh strawberries, avocado, banana, fresh coconut water, housemade oat milk, real strawberry jam, cassava syrup, coconut cream. 55g Carb, 1g Pro, 14g Fat.",https://food-cms.grab.com/compressed_webp/items/IDITE20250409021708015764/detail/b5250447_250409064933.webp,2025-06-01 09:19:53
Tropical Recharge Smoothie,34.455,"(312 Cal) Fresh mango, strawberries, raspberries, banana, pineapple, vanilla collagen, vanilla yogurt, fresh coconut water, apple juice, blue majik spirulina, beet powder, cassava syrup, coconut cream. 64g Carb, 3g Pro, 6g Fat.",https://food-cms.grab.com/compressed_webp/items/IDITE20250409021709015582/detail/5aca8402_250409072359.webp,2025-06-01 09:19:53
BBQ Ranch Chicken Pasta - Salad,54.455,"315 Cal. Spring mix, grilled chicken breast, pasta, tomato cherry, red onion, wonton strips, and truffle BBQ ranch dressing. Carb: 49g | Pro: 24g | Fat: 27g",https://food-cms.grab.com/compressed_webp/items/IDITE20240521124414020643/detail/a879980b_240516121850.webp,2025-06-01 09:19:53
