Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Bottled Combo 1,104.546,Bottled Fresh Honey Lemon Juice + Bottled Ovaltine,https://food-cms.grab.com/compressed_webp/items/IDITE20250430114439066846/detail/75a8c7bfe9e246f8af1b28518abd1098_1746032434576502409.webp,2025-06-01 09:11:52
Bottled Combo 2,117.273,Bottled Milk Tea + Bottled Ovaltine,https://food-cms.grab.com/compressed_webp/items/IDITE20250430114439078681/detail/bf93e7f5f2cc4d9792d4ffbfe726b192_1746032435254496986.webp,2025-06-01 09:11:52
Bottled Combo 3,90.000,Bottled Milk Tea + Bottled Green Milk Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20250430114439095201/detail/e115254111204542b955915480501d50_1746032435615788621.webp,2025-06-01 09:11:52
Bottled Combo 4,90.000,Bottled Creamy Matcha + Bottled Mango Green Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20250430114439086994/detail/e1e70d9c8320459fb9fa88682a4f78fe_1746032436873554945.webp,2025-06-01 09:11:52
Medium Combo 1,52.727,M-Golden Bubble Milk Tea + M-Ovaltine,https://food-cms.grab.com/compressed_webp/items/IDITE20250425114736015496/detail/06f80dbd13c448308f858ee210f63871_1745773262513914651.webp,2025-06-01 09:11:52
Medium Combo 2,52.727,M-Bubble Honey Green Tea + M-Lychee Milk Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20250425114737024038/detail/da59469bfdd9464b9aa35aebda492c7b_1745773262979352936.webp,2025-06-01 09:11:52
Medium Combo 3,52.727,M-Bubble Ovaltine + M-Passion Fruit Green Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20250425114738326022/detail/5f76b68a6da547c897fcaa5e4cdce790_1745773263476250065.webp,2025-06-01 09:11:52
Medium Family Package 1,113.636,(3) M-Ovaltine + (2) M-Bubble Milk Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20250430114439190326/detail/4544f0940fd84aeaaae467305358a3e2_1746032431418386494.webp,2025-06-01 09:11:52
Medium Family Package 2,104.545,(5) M-Milk Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20250430114439117885/detail/244731708a2944769cb27aec1de56415_1746032432139663338.webp,2025-06-01 09:11:52
Medium Family Package 3,113.636,(5) M-Bubble Green Milk Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20250430114439100794/detail/d55f696f944a4815907ee92d48aa1bc2_1746032433121579374.webp,2025-06-01 09:11:52
Medium Family Package 4,113.636,(2) M-KOI Café + (3) M-Milk Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20250430114439058555/detail/bdeb3a0021844a598f2b8a13a1fff4cf_1746032434132647252.webp,2025-06-01 09:11:52
Gula Melaka Milk Tea,28.182,Gula Melaka Milk Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20250303053902020254/detail/43e6628527d74309b2da982a5323a377_1740980342432785279.webp,2025-06-01 09:11:52
Gula Melaka Fresh Milk,30.000,Gula Melaka Fresh Milk,https://food-cms.grab.com/compressed_webp/items/IDITE20250303053902054050/detail/429616d025dd4793a0c4319db9f2fbf9_1740980342695646984.webp,2025-06-01 09:11:52
Gula Melaka Macchiato,30.909,Gula Melaka Macchiato,https://food-cms.grab.com/compressed_webp/items/IDITE20250303053902070242/detail/9bfaad82ce20495699e8991c5d39da6f_1740980342926656288.webp,2025-06-01 09:11:52
Gula Melaka KOI Café,29.091,Gula Melaka KOI Café,https://food-cms.grab.com/compressed_webp/items/IDITE20250303053903037596/detail/4b5c6f450c2e4276a0727ef45dcca549_1740980343198106453.webp,2025-06-01 09:11:52
Gula Melaka KOI Café Macchiato,31.818,Gula Melaka KOI Café Macchiato,https://food-cms.grab.com/compressed_webp/items/IDITE20250303053903087098/detail/4a9bddce746144a9914ce15c543b41e3_1740980343441952780.webp,2025-06-01 09:11:52
Peach Green Tea,22.727,Peach Green Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20240906170111133096/detail/b507bcb3277a4ac78fe898dbfe27f385_1725642071749216097.webp,2025-06-01 09:11:52
Peach Green Milk Tea,26.364,Peach Green Milk Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20240906170112034057/detail/764185b293ad4e77bcbd68b78192b283_1725642072077004092.webp,2025-06-01 09:11:52
Peach Green Tea Macchiato,27.273,Peach Green Tea Macchiato,https://food-cms.grab.com/compressed_webp/items/IDITE20240906170112173645/detail/e5ffab15dced4796b836219af4d76a8c_1725642072412237480.webp,2025-06-01 09:11:52
Peach Yakult Juice,28.182,Peach Yakult Juice,https://food-cms.grab.com/compressed_webp/items/IDITE20240906170112402375/detail/48e0a0209aef426e931877525efbb2aa_1725642072718131380.webp,2025-06-01 09:11:52
Lychee Black Tea,24.545,Lychee Black Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20230718170115016063/detail/f1260e885c114728aa06f722337ee74d_1689699675003363882.webp,2025-06-01 09:11:52
Lychee Black Tea Macchiato,29.091,Lychee Black Tea Macchiato,https://food-cms.grab.com/compressed_webp/items/IDITE20230718170115128785/detail/bee7cf5f499a4ac9b25bf3e3b2e4c07b_1689699675664751448.webp,2025-06-01 09:11:52
Lychee Milk Tea,26.364,Lychee Milk Tea,https://food-cms.grab.com/compressed_webp/items/IDITE20230718170115055963/detail/aed52019722c4d9d9b0ee5037bfab905_1689699675329912884.webp,2025-06-01 09:11:52
