Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Komplit 6,100.000,Salmon Mentai Nori Taco + Salmon Garlic Truffle Nori Taco + Inari Corn Mayo Nori Taco,https://food-cms.grab.com/compressed_webp/items/IDITE2021070403582643529/detail/menueditor_item_f41c5f140ee44a8fb76e9e357ae3259c_1625371038231819697.webp,2025-06-01 09:07:39
Komplit 1,110.000,Saikoro Wagyu Mentai Nori Taco + Salmon Mentai Nori Taco + Salmon Garlic Truffle Nori Taco,https://food-cms.grab.com/compressed_webp/items/IDITE2020100707433302720/detail/fb02b9bbc0404cf394278c5179da3be8_1679134500792970596.webp,2025-06-01 09:07:39
Komplit 2,86.000,Salmon Mentai Nori Taco + Salmon Garlic Truffle Nori Taco + Nori Nachos,https://food-cms.grab.com/compressed_webp/items/IDITE2020100707445539762/detail/menueditor_item_f6cfdb24b31c478988a69c39eeecb603_1602056648603149117.webp,2025-06-01 09:07:39
Komplit 3,104.000,Beef Curry Nori Taco + Salmon Mentai Nori Taco + Salmon Garlic Truffle Nori Taco,https://food-cms.grab.com/compressed_webp/items/IDITE2020100707455279473/detail/menueditor_item_44cfdf0ac1254d4d836cb3b6b809a051_1602056729871371139.webp,2025-06-01 09:07:39
Ebi Furai Nori Taco,25.000,Ebi Furai + Gubis + Truffle Mayo,https://food-cms.grab.com/compressed_webp/items/IDITE2024042907124722763/detail/menueditor_item_29ed56c6ade14459bed6eb6a03fb18d0_1714374726289660244.webp,2025-06-01 09:07:39
Nori Nachos,18.750,Crispy Nori + Herb + Saus,https://food-cms.grab.com/compressed_webp/items/IDITE2020100417064391891/detail/menueditor_item_ecf6e6c36ade420fa5e04f9fbd5bfdf0_1601831147704590631.webp,2025-06-01 09:07:39
Krispi Rice Box (4pcs),56.250,Salmon Mentai + Aburi Beef + Creamy Mushroom + Tartar Sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2024042907113615197/detail/menueditor_item_425d3acdcf6f426bb9e1c6eba5545a16_1714374669799067618.webp,2025-06-01 09:07:39
Komplit 6,100.000,Salmon Mentai Nori Taco + Salmon Garlic Truffle Nori Taco + Inari Corn Mayo Nori Taco,https://food-cms.grab.com/compressed_webp/items/IDITE2021070403582643529/detail/menueditor_item_f41c5f140ee44a8fb76e9e357ae3259c_1625371038231819697.webp,2025-06-01 09:07:39
Komplit 1,110.000,Saikoro Wagyu Mentai Nori Taco + Salmon Mentai Nori Taco + Salmon Garlic Truffle Nori Taco,https://food-cms.grab.com/compressed_webp/items/IDITE2020100707433302720/detail/fb02b9bbc0404cf394278c5179da3be8_1679134500792970596.webp,2025-06-01 09:07:39
Komplit 2,86.000,Salmon Mentai Nori Taco + Salmon Garlic Truffle Nori Taco + Nori Nachos,https://food-cms.grab.com/compressed_webp/items/IDITE2020100707445539762/detail/menueditor_item_f6cfdb24b31c478988a69c39eeecb603_1602056648603149117.webp,2025-06-01 09:07:39
Komplit 3,104.000,Beef Curry Nori Taco + Salmon Mentai Nori Taco + Salmon Garlic Truffle Nori Taco,https://food-cms.grab.com/compressed_webp/items/IDITE2020100707455279473/detail/menueditor_item_44cfdf0ac1254d4d836cb3b6b809a051_1602056729871371139.webp,2025-06-01 09:07:39
Komplit 4,122.000,Salmon Sashimi Nori Taco + Salmon Mentai Nori Taco + Salmon Garlic Truffle Nori Taco,https://food-cms.grab.com/compressed_webp/items/IDITE2020100707464124057/detail/menueditor_item_ae3b2b7119334d94a535d31858813009_1602056778396972463.webp,2025-06-01 09:07:39
Komplit 5,118.000,Tamagoyaki Mayo Nori Taco + Salmon Mentai Nori Taco + Salmon Garlic Truffle Nori Taco,https://food-cms.grab.com/compressed_webp/items/IDITE2020100707474365484/detail/menueditor_item_e7edd93f22544477bcf452667dfca44a_1602056839574677983.webp,2025-06-01 09:07:39
Ebi Furai Nori Taco,25.000,Ebi Furai + Gubis + Truffle Mayo,https://food-cms.grab.com/compressed_webp/items/IDITE2024042907124722763/detail/menueditor_item_29ed56c6ade14459bed6eb6a03fb18d0_1714374726289660244.webp,2025-06-01 09:07:39
Inari Corn Mayo Nori Taco,31.250,Nasi + Kulit Tahu Jepang + Corn Mayo + Nori Kriuk,https://food-cms.grab.com/compressed_webp/items/IDITE2021070403563573949/detail/menueditor_item_ac3eeb18fa6c4c539e65c4aa269ff251_1625370896000415298.webp,2025-06-01 09:07:39
Salmon Mentai Nori Taco,37.500,Nasi + Torched Salmon + Mentai Sauce + Katsuobushi + Crispy Nori,https://food-cms.grab.com/compressed_webp/items/IDITE2020100416553065730/detail/5f1a5dd971734450b4d416535f3bb948_1677762654170734938.webp,2025-06-01 09:07:39
Salmon Garlic Truffle Nori Taco,37.500,Nasi + Torched Salmon + Garlic Truffle Mayo + Katsuobushi + Crispy Nori,https://food-cms.grab.com/compressed_webp/items/IDITE2020100416571234187/detail/75ddc8badb3b4c0cbc92469b6cc29f60_1679276418076109943.webp,2025-06-01 09:07:39
