Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Meat Lovers Kebab,27.273,Kebab special daging sapi & sosis sapi dipadukan dengan saos khas Baba Rafi yang legit,https://food-cms.grab.com/compressed_webp/items/IDITE20241031170337039136/detail/5bee93a1ca764c699afb3c22c6d043ec_1730394217020714336.webp,2025-06-01 09:09:27
Signature Smoked Kebab,31.818,"Kebab special dengan daging sapi asap, telur, dan lelehan saus mentai yang padat dan dijamin kenyang",https://food-cms.grab.com/compressed_webp/items/IDITE20241031170336586484/detail/4ae14e3504ce416782614767f0287332_1730394216778310549.webp,2025-06-01 09:09:27
Triple Kebab Sapi,70.909,"Simple Bundle 3 Kebab Sapi Original khas timur tengah dibungkus dengan tortila gurih, bebas pilih tortila original/black",https://food-cms.grab.com/compressed_webp/items/IDITE20231114092607032255/detail/840fdb7c1b624fc19242b6db38f4f919_1699953967563235558.webp,2025-06-01 09:09:27
Kebab Chijeu,20.909,Kebab sapi ekstra keju tanpa sayur dibungkus dengan tortilla original yang lembut & lezat,https://food-cms.grab.com/compressed_webp/items/IDITE20231114092606046338/detail/1b0a8956dd0d45aba106a4f65bc9887c_1699953966632231430.webp,2025-06-01 09:09:27
Kebab Ayam Spesial,23.636,Daging ayam fillet & lettuce segar dibungkus dengan tortilla yang lembut dan dipadukan dengan bumbu khas timur tengah yang lezat,https://food-cms.grab.com/compressed_webp/items/IDITE20231114092606055413/detail/94064c6b8c5344c281c4f8047582db6b_1699953966966432923.webp,2025-06-01 09:09:27
Kebab Special Flavour,20.000,Kebab dengan isian dengan berbagai variant pisang cokelat/sosis/bolognese/olahan daging sapi dibungkus dengan tortilla original yang lembut & lezat,https://food-cms.grab.com/compressed_webp/items/IDITE20231114092607029720/detail/87f5d8cf9cd844b29bc60d017d5105f3_1699953967243570080.webp,2025-06-01 09:09:27
Kebab Smokey Sei,24.545,Kebab dengan daging sei dipadukan saus suki yang menciptkana perpaduan rasa indonesia dan jepang yang khas,https://food-cms.grab.com/compressed_webp/items/IDITE20231114092607044085/detail/cb79c77eecf74108b52f5bbc12cf396e_1699953967945982622.webp,2025-06-01 09:09:27
Baba Boat Sei,27.273,"Burger unik dengan lapisan telur dan isian daging sei dikombinasikan dengan mayonaise, saus BBQ, saus keju dan saus sambal",https://food-cms.grab.com/compressed_webp/items/IDITE20231114092608010249/detail/d9b350c24c5043c69df3418452904faf_1699953968141178929.webp,2025-06-01 09:09:27
Kebab Sapi Ori Klasik,17.273,Porsi pas kebab daging sapi olahan & lettuce segar dan dipadukan dengan bumbu rahasia yang lezat,https://food-cms.grab.com/compressed_webp/items/IDITE20231114092606016763/detail/ed0cc11fa7d840109734aa1cf72a4ea5_1703596515831517169.webp,2025-06-01 09:09:27
Canai Cokelat Keju Klasik,14.545,Lembutnya roti canai dipadukan dengan coklat dan parutan keju,https://food-cms.grab.com/compressed_webp/items/IDITE20231114092606038594/detail/189125d985e34883b575e2a90ca9a8b7_1707809700954171203.webp,2025-06-01 09:09:27
Kebab Sapi Black Klasik,17.273,Porsi pas kebab daging sapi olahan & lettuce segar dan dipadukan dengan bumbu rahasia yang lezat,https://food-cms.grab.com/compressed_webp/items/IDITE20231114092606022780/detail/e91a6a081a134b6098d6ffedea940950_1703596502326553410.webp,2025-06-01 09:09:27
Kebab Sapi Original,23.636,Kebab daging sapi olahan & lettuce segar dibungkus dengan tortilla original yang lembut dan dipadukan dengan bumbu rahasia yang lezat,https://food-cms.grab.com/compressed_webp/items/IDITE20231114092608025924/detail/0d9021b2258549afb6dc47ef1cbdaec6_1699953968397225938.webp,2025-06-01 09:09:27
Kebab Sapi Black,23.636,Kebab daging sapi olahan & lettuce segar dibungkus dengan tortilla hitam yang lembut dan dipadukan dengan bumbu rahasia yang lezat,https://food-cms.grab.com/compressed_webp/items/IDITE20231114092608030905/detail/7cd1f54eb08d481192eef3b47e770622_1699953968639546469.webp,2025-06-01 09:09:27
Burger,20.000,"Daging burger variant ayam, sapi, crispy dan patty dengan potongan kyuri dan tomat, daun lettuce segar, onion & saus mayonnaise",https://food-cms.grab.com/compressed_webp/items/IDITE20231114092608044174/detail/bb81fa938baf4da09625b38e5f16daaf_1699953968978975488.webp,2025-06-01 09:09:27
Hotdog,20.909,"Sosis sapi, lettuce, potongan tomat, onion dibungkus dalam long bread dengan Topping 1 saus mayonnaise",https://food-cms.grab.com/compressed_webp/items/IDITE20231114092609012734/detail/878fc71c1a264cb2b4d556566b5a3d17_1699953969225171051.webp,2025-06-01 09:09:27
Syawarma,21.818,"Daging sapi olahan, lettuce, potongan tomat, onion dibungkus dalam long bread dengan Topping 1 saus mayonnaise",https://food-cms.grab.com/compressed_webp/items/IDITE20231114092609029115/detail/02c4b765a41f4382a7f9c3b2df71d2e5_1699953969537432998.webp,2025-06-01 09:09:27
Roti Canai,14.545,"Roti canai dengan pilihan rasa khas yang gurih variant original, oreo dan cokelat keju",https://food-cms.grab.com/compressed_webp/items/IDITE20231114092609034622/detail/e58c1b3aacbf49b89e5b96e86a4ef8c8_1699953969885755620.webp,2025-06-01 09:09:27
Kebab Chijeu (Telur Keju),25.455,"Kebab Isian daging sapi, telur dan saus keju yang gurih dibungkus dengan tortilla original yang lembut & lezat",https://food-cms.grab.com/compressed_webp/items/IDITE202405210316231221161/detail/c57711660d1140fcb9e685879bbb0b33_1716265754829843823.webp,2025-06-01 09:09:27
Kebab Pisang Coklat Keju,25.455,Kebab Isian pisang ditambah dengan parutan keju dan pasta coklat yang maniss legit,https://food-cms.grab.com/compressed_webp/items/IDITE202405210316231256264/detail/d93cb7178f3a461084ba80cb39ca8f53_1716265755172900973.webp,2025-06-01 09:09:27
Combo Keju,50.909,1 Kebab Chijeu + 1 Kebab Pisang COklat Keju,https://food-cms.grab.com/compressed_webp/items/IDITE202405210316231161664/detail/41cafcd14dcd4eb7b50298b67d1fe94f_1716265755552105545.webp,2025-06-01 09:09:27
Baba Hemat 1,40.909,Paket 1 Kebab Sapi Ori + 1 Canai Coklat Keju + 1 Air Mineral/Teh Kemasan (Teh Pucuk Harum/Javana),https://food-cms.grab.com/compressed_webp/items/IDITE20231114092610012250/detail/437acd7b078d4d258c28c1c6e603c049_1699953970258671320.webp,2025-06-01 09:09:27
Baba Hemat 2,54.545,Paket 1 Kebab Sapi Ori + 1 Kebab Sapi Ori/Kebab Chijeu + 2 Air Mineral/Teh Kemasan (Teh Pucuk Harum/Javana),https://food-cms.grab.com/compressed_webp/items/IDITE20231114092610028775/detail/0eeede2ab680400c9b36ee490a7805a3_1699953970528380305.webp,2025-06-01 09:09:27
Baba Hemat 3,68.182,Paket 2 Kebab Sapi Ori + 1 Kebab Chijeu/Kebab Sapi Ori + 2 Air Mineral/Teh Kemasan (Teh Pucuk Harum/Javana),https://food-cms.grab.com/compressed_webp/items/IDITE20231114092610039605/detail/680267c94ddd4c8695c95b3b66396d44_1699953970883333199.webp,2025-06-01 09:09:27
Paket Jumbo 1,61.818,Beli 2 Kebab Sapi Ori FREE 2 Topping Telur,https://food-cms.grab.com/compressed_webp/items/IDITE202405300709221848948/detail/f5b42e0224704826af4797dac32fbb87_1717186309123303821.webp,2025-06-01 09:09:27
Paket Jumbo 2,52.727,Harga Special 1 Kebab Sapi Ori + 1 Kebab Sapi Black,https://food-cms.grab.com/compressed_webp/items/IDITE202405300709221787522/detail/e3b5d4256c3e480190d5e3748331d4a5_1717186309440428557.webp,2025-06-01 09:09:27
Paket Jumbo 3,46.364,Harga Special 1 Kebab Sapi Ori + 1 Kebab Sapi Ori Klasik,https://food-cms.grab.com/compressed_webp/items/IDITE202405300709222037841/detail/46043959fa5e47d59bfd44212d5a9a39_1717186309719688513.webp,2025-06-01 09:09:27
Tortilla Chip Original,15.000,Keripik tortila dengan perpaduan rasa asin dan gurih cocok temani nyemil,https://food-cms.grab.com/compressed_webp/items/IDITE20240324170107190606/detail/1b3f57f3b7cc46dda3e58aac3dfd2612_1714582861367950314.webp,2025-06-01 09:09:27
Martababa (Martabak Kebab),20.000,"Martabak kulit tortilla kebab dengan isian telur, daging kebab dan daun pre, dibumbui dengan saus khas Kebab Turki Baba Rafi.",https://food-cms.grab.com/compressed_webp/items/IDITE20231204032324406785/detail/9e4384afbabc4ad4968e6207579a0656_1701660204833938727.webp,2025-06-01 09:09:27
Teh Dalam Kemasan,6.364,Teh segar dalam kemasan merk Teh Pucuk Harum/ Teh Javana 350ml,https://food-cms.grab.com/compressed_webp/items/IDITE20231114092611018695/detail/dc551fa5b61b457b8cf83f92ee556ff0_1707809700809221516.webp,2025-06-01 09:09:27
Air Mineral,7.273,Air Mineral segar dalam kemasan merk Le Mineralle/Cheers 600ml,https://food-cms.grab.com/compressed_webp/items/IDITE20231114092611029975/detail/14a97b7775a24005a41045ca5f52da43_1699953971371840221.webp,2025-06-01 09:09:27
