Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
The Sweet 3 For 50K,45.455,Special Price! Choose 3 of Vanilla Bombolone / Coffee Bombolone/ Cream Cheese Bombolone Creamy Brioche au Craquelin/ Matcha Brioche au Craquelin/ Ube Brioche au Craquelin (Mix & Match),https://food-cms.grab.com/compressed_webp/items/IDITE20250425075346023621/detail/577cad07210046ab892fa39dd5ad6650_1746033273810914715.webp,2025-06-01 09:17:05
Café Malt Latte,40.000,"100% Arabica single origin Bali Kintamani espresso, oatside, hazelnut syrup and macchiato cream.",https://food-cms.grab.com/compressed_webp/items/IDITE20250511170136062772/detail/9b4d97c9515a40c48abb11f667e343a4_1746982896255671881.webp,2025-06-01 09:17:05
Gula Melaka Americano,30.909,"100% Arabica single origin Bali Kintamani espresso, water, 100% gula melaka, and macchiato cream.",https://food-cms.grab.com/compressed_webp/items/IDITE20250511170136139598/detail/c4a3d7353be5474a913098cb860a2315_1746982896465812636.webp,2025-06-01 09:17:05
Sparkling Hibiscus Lemon Macchiato,50.000,"100% Arabica Bali Kintamani espresso, honey, hibiscus tea and honey macchiato cream - by Felicia (KBC 2024 winner)",https://food-cms.grab.com/compressed_webp/items/IDITE20250511170136219495/detail/f309bc9ee36045e68e701309abfc9aeb_1746982896697087050.webp,2025-06-01 09:17:05
Strawberry Cream Macchiato,50.000,"100% Arabica Bali Kintamani espresso, fresh milk and strawberry macchiato cream - by Adit (KBC 2022 winner)",https://food-cms.grab.com/compressed_webp/items/IDITE20250511170136328000/detail/c2e4c2687ed14ec7929bc93ced2e531b_1746982896915616261.webp,2025-06-01 09:17:05
Golden Yuzu Brew,50.000,"100% Arabica Bali Kintamani espresso, yuzu, rose, black tea and simple syrup - by Nabil (KBC 2023 winner)",https://food-cms.grab.com/compressed_webp/items/IDITE20250511170137074879/detail/f23ca8729c5f432aa5eb605902e082be_1746982897101411058.webp,2025-06-01 09:17:05
Nobo Aren Latte,40.000,"Nobo coconut milk with fresh milk, 100% gula melaka and espresso",https://food-cms.grab.com/compressed_webp/items/IDITE20250410170113071895/detail/b2047aca74ae41178c4ed53616ee1aaa_1744304473921051993.webp,2025-06-01 09:17:05
Nobo Oatside Latte,40.000,Nobo coconut milk with Oatside and espresso,https://food-cms.grab.com/compressed_webp/items/IDITE20250410170114093200/detail/0f13438d73eb4cf7911fb3feb6a8ec8d_1744304474459111405.webp,2025-06-01 09:17:05
French Vanilla Frappe,43.636,Vanilla ice blended topped with vanilla / chocolate whipped cream,https://food-cms.grab.com/compressed_webp/items/IDITE20250316170508296793/detail/796e8712b2274b8ba10ded56b8386a3d_1742144708562551583.webp,2025-06-01 09:17:05
Classic Chocolate Frappe,43.636,Classic homemade rich chocolate ice blended topped with vanilla / chocolate whipped cream,https://food-cms.grab.com/compressed_webp/items/IDITE20250316170508442988/detail/315cc9c71495420c9eac2e6bc601111b_1742144708892416948.webp,2025-06-01 09:17:05
Gula Melaka Frappe,40.909,"Fresh espresso, creamy milk & 100% gula melaka ice blended topped with vanilla / chocolate whipped cream",https://food-cms.grab.com/compressed_webp/items/IDITE20250316170509098830/detail/cb6dc9851f3b4b749b26b45e8e48c47b_1742144709208049199.webp,2025-06-01 09:17:05
Kenangan Sparks - Refreshing Peach,21.818,Fresh Fruit Soda dengan Niacinamide dan BEBAS GULA,https://food-cms.grab.com/compressed_webp/items/IDITE20250209170103240897/detail/56df1c6fbcd34061b740d6f2d5e90943_1739120463352941506.webp,2025-06-01 09:17:05
