Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Candle : I Love You,20.636,Kue cokelat dengan taburan choco chip. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170629260029/detail/ed8fe23552124df98e5318a31533df8a_1688576789463031883.webp,2025-06-01 09:14:24
Candle : We Love You,20.636,Kue lembut terbuat dari keju cheddar yang lezat. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170629348777/detail/42f0b98ef11e45b49601bce0bcf2f862_1688576789579543692.webp,2025-06-01 09:14:24
Candle : HBD,20.636,Bolu gulung keju yang lembut dengan krim vanila didalam dan keju parut di atasnya. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170647267935/detail/513a3c21ab20449b851a8bda033e22f7_1688576807429414472.webp,2025-06-01 09:14:24
Blank Card,6.455,Bolu gulung cokelat dengan krim cokelat di dalamnya dan taburan cokelat meises diatasnya. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170647376717/detail/058949fefd094885b6ebd368202f74be_1688576807612569042.webp,2025-06-01 09:14:24
Eid Mubarak Card,6.455,Bolu gulung rasa pandan dengan krim vanila di dalamnya. Notes : Bentuk dan dekorasi dapat berbeda di beberapa store,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170629282785/detail/cbe78ce9cc05467caaf7d1656acc9356_1688576789494582974.webp,2025-06-01 09:14:24
Choco Muffin,14.727,Bolu gulung lembut yang lezat dikombinasikan dengan oreo,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170628150217/detail/aecab294d3624e26b4d24fed4ddbde0a_1702832628821082177.webp,2025-06-01 09:14:24
Cheese Muffin,14.727,Bolu gulung lembut dengan krim mocha di dalamnya,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170620125468/detail/7c5dd605b3cb433ba7317b7adf681bd8_1702832624062360397.webp,2025-06-01 09:14:24
Cheese Roll,17.000,Bolu gulung cokelat yang lembut dengan krim mocha dan dibalut motif yang unik,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170622313039/detail/96dc793df71e4168b3d84826c3515f40_1702832625071279274.webp,2025-06-01 09:14:24
Choco Roll,16.091,Bolu gulung oreo yang lembut dengan krim vanila,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170636043561/detail/e108bcbd94554c6fb042e0e970b5f18c_1702832625425136174.webp,2025-06-01 09:14:24
Pandan Roll,16.091,Bolu gulung pandan dengan krim vanila di dalamnya dibalut motif yang unik,https://food-cms.grab.com/compressed_webp/items/IDITE20230705170635587336/detail/81a13fe17d4543d08332a2269d1e5834_1702832628782493993.webp,2025-06-01 09:14:24
