Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Yuzu Grape Jasmine Green tea,61.200,Four Seasons Oolong Milk tea with Topping Oats and Pearl,https://food-cms.grab.com/compressed_webp/items/IDITE2025041804014392307/detail/menueditor_item_b0b564e88525455891d34b4a2fa017ff_1744948858056220818.webp,2025-06-01 09:26:49
white peach Jasmine green milk tea,51.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102605001993179/detail/menueditor_item_8f91581ec8bf45119b7a53d73711a400_1729918758223208449.webp,2025-06-01 09:26:49
white peach four season oolong milk tea,54.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102604583111059/detail/menueditor_item_ebc9138e6e704165adc74da459ca70fb_1729918594040287289.webp,2025-06-01 09:26:49
Honey Lemon tea + Energy boost,67.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024083008563557725/detail/menueditor_item_11eb4b5495b6495cb1d30ccb1622fa58_1725008061345062499.webp,2025-06-01 09:26:49
House Special Milk Tea,49.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024070609303539960/detail/menueditor_item_fa0aae504e804e62afffecb577aa1a2a_1720257462423637265.webp,2025-06-01 09:26:49
Banana Oolong milk tea,61.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2025041803593560600/detail/menueditor_item_c0d859eaaf3b4e47a09b25ee44a63e06_1744948517866684061.webp,2025-06-01 09:26:49
Rose Tea,67.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024083009030682148/detail/menueditor_item_6f69510a7ba84c72a66f5908fb885b9e_1725008471767448476.webp,2025-06-01 09:26:49
Jasmine green Soy milk tea,46.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024010808182685216/detail/menueditor_item_69eaa9af7ade494e80228437285adf63_1704701860086857984.webp,2025-06-01 09:26:49
Fourseasons Oolong soy milk tea,51.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024010808170504437/detail/menueditor_item_d099cd1f3eab4e678cc2c897cc54e18d_1704701780750486649.webp,2025-06-01 09:26:49
Deep roast Oolong soy milk tea,46.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024010808153430488/detail/menueditor_item_1d8d061c0c2342f580a8a52374c070db_1704701689445771476.webp,2025-06-01 09:26:49
Honey Lemonade,37.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024072511142981739/detail/menueditor_item_cb0d3040ed214cacb9bebc4fcc78962d_1721905963485429683.webp,2025-06-01 09:26:49
Honey Oolong Milk Tea,50.400,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013595192169/detail/menueditor_item_3a13832b2a524679971846d1d978f64a_1701352777497800062.webp,2025-06-01 09:26:49
Honey Deep Roast Oolong,33.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013590892499/detail/menueditor_item_c972bbfc97d744699921e723456ed92e_1701352722979728225.webp,2025-06-01 09:26:49
Honey Jasmine Green Tea,33.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013582555769/detail/menueditor_item_d29cf226e5354b64b02a063c214573fe_1701352678699178006.webp,2025-06-01 09:26:49
Honey Four Seasons Oolong,37.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013574361032/detail/menueditor_item_8a3188b4b1b244adb11beca44b236a2a_1701352648085134023.webp,2025-06-01 09:26:49
Honey Oolong Lemonade,49.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013565686498/detail/menueditor_item_ff9940be2108484eabf5033a2dc7fa52_1701352592992982263.webp,2025-06-01 09:26:49
Deep Roast Oolong,26.400,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013560711028/detail/menueditor_item_2c781ac37c5d47eabe41bca25e9e7a1d_1701352547393536875.webp,2025-06-01 09:26:49
Jasmine Green Tea,26.400,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013551768638/detail/menueditor_item_e9c1b446bfc14a9b91ac65140bcfe53b_1701352496216984960.webp,2025-06-01 09:26:49
Fourseasons Oolong,31.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013544020837/detail/menueditor_item_292fe4c975f64bfd9bb8cfb93b174c47_1701352466539472771.webp,2025-06-01 09:26:49
Lemon Green Tea,37.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013535813148/detail/menueditor_item_cc4e9f83d1c3412ab1e753dcccb057be_1701352420544331116.webp,2025-06-01 09:26:49
Passion Fruit Orange Green Tea,63.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013530094336/detail/menueditor_item_058473ea7ef7483bbe3b684e0f0c55ad_1701352355470751331.webp,2025-06-01 09:26:49
Apple Green Tea,52.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013522195876/detail/menueditor_item_86a39a75e8dc4a19a50b896f6e9383bf_1701352328525682023.webp,2025-06-01 09:26:49
1 Liter Milk Tea,125.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023120604084664063/detail/menueditor_item_d834a0bf89c6463c8ede8040b3b315ff_1701835697407938687.webp,2025-06-01 09:26:49
Jasmine Green Milk Tea,34.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023113013511239427/detail/menueditor_item_54e7a439cce54d318ba2bacf73bfe2c6_1701352240833461477.webp,2025-06-01 09:26:49
