Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Half,215.710,"Add ""extra condiment + sauce"" to get extra chicken sauce, chili ginger and pickle",https://food-cms.grab.com/compressed_webp/items/IDITE2024012914222290042/detail/6-CZKXFBB2NLBZLN_ff609e9c46e84bab88d594b72cf3544b_1707810415055780400.webp,2025-06-01 09:22:12
Single,69.960,"Add ""extra condiment + sauce"" to get extra chicken sauce, chili ginger and pickle",https://food-cms.grab.com/compressed_webp/items/6-CZKXFBB2NLBZLN-CZKXFBB2SBJ2JJ/detail/menueditor_item_9f0a9441109c4e1eafa72cca9fd239e4_1724153482389578777.webp,2025-06-01 09:22:12
Quarter,128.260,"Add ""extra condiment + sauce"" to get extra chicken sauce, chili ginger and pickle",https://food-cms.grab.com/compressed_webp/items/6-CZKXFBB2NLBZLN-CZKXFBB2VFXBSE/detail/2d200a21d8ad41f9962a488bc830cd7e_1623220905679732038.webp,2025-06-01 09:22:12
Whole,376.035,disajikan dengan thai sauce,https://food-cms.grab.com/compressed_webp/items/6-CZKXFBB2NLBZLN-CZKXFBB3CGKAHA/detail/0b43882f68c0477e85907f51386c6df1_1622009732697603655.webp,2025-06-01 09:22:12
Braissed Egg,17.490,"mie goreng seafood , sayur tauge chysim",https://food-cms.grab.com/compressed_webp/items/IDITE2022072214213924312/detail/48663494414140f69245ee62f8ae760f_1672124993661369246.webp,2025-06-01 09:22:12
Tomato Egg,84.535,"Add ""extra condiment + sauce"" to get extra chicken sauce, chili ginger and pickle",https://food-cms.grab.com/compressed_webp/items/IDITE2024082011014347889/detail/menueditor_item_2f300ada08dd4ce89d0dd837231b7d12_1724151665918383793.webp,2025-06-01 09:22:12
Salted Egg Youtiao,75.790,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024082011001244132/detail/menueditor_item_063259a295134c429085739ecbe73a39_1724151553476246878.webp,2025-06-01 09:22:12
Fried Siomay,75.790,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024082010573776475/detail/menueditor_item_12c86f726e964ab39f3938909989336f_1724151383871358166.webp,2025-06-01 09:22:12
Crispy Mantao With Condensed Milk,78.705,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-CZKXFBB2NLBZLN-CZKXFBB3JFCWTA/detail/ce5c421ba7c94a46a30e9c37a6ae2120_1622088637928182740.webp,2025-06-01 09:22:12
Fried Youtiao With Salad Cream,84.535,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/6-CZKXFBB2NLBZLN-CZKXFBB3LJDBEX/detail/c85689e53ba7499db61a8f3d1746e834_1622115855587517463.webp,2025-06-01 09:22:12
