Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Love Card,1.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250212210704031369/detail/3b94dffc_TPO699167.webp,2025-05-31 11:02:05
Birthday Card,1.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250212210704059088/detail/b88a9c0c_TPO699168.webp,2025-05-31 11:02:05
Greetings Card,1.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250212210705015457/detail/09f52201_TPO699169.webp,2025-05-31 11:02:05
PROMO - Paket Hemat Lrg Big Mac Free McFlurry feat. OREO,68.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211807155228/detail/e2e05308_TPO100333_4.webp,2025-05-31 11:02:05
PROMO - Paket Hemat Lrg Triple Cheeseburger Free McFlurry feat. OREO,85.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211811029119/detail/60a3de4b_TPO100334_4.webp,2025-05-31 11:02:05
PROMO - Paket Hemat Lrg Double Cheeseburger Free McFlurry feat. OREO,67.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211811082044/detail/e7a0b7ff_TPO100332_4.webp,2025-05-31 11:02:05
PROMO - Paket Hemat Lrg Cheeseburger Deluxe Free McFlurry feat. OREO,59.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211812015802/detail/954157d0_TPO100331_4.webp,2025-05-31 11:02:05
PROMO - Paket Hemat Lrg Cheeseburger Free McFlurry feat. OREO,57.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211810035753/detail/6bb8ec25_TPO100330_4.webp,2025-05-31 11:02:05
PROMO - Paket Hemat Lrg Beef Burger Deluxe Free McFlurry feat. OREO,52.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211808053503/detail/052d043c_TPO100329_4.webp,2025-05-31 11:02:05
PROMO - Paket Hemat Lrg McSpicy Chicken Burger Free McFlurry feat. OREO,65.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211812057974/detail/a3bf23af_TPO110142_4.webp,2025-05-31 11:02:05
PROMO - Paket Hemat Lrg McChicken Burger Free McFlurry feat. OREO,56.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211811143249/detail/b8374cc1_TPO110141_4.webp,2025-05-31 11:02:05
PROMO - Paket Hemat Lrg Chicken Burger Deluxe Free McFlurry feat. OREO,52.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211811170404/detail/bd792bc1_TPO110140_4.webp,2025-05-31 11:02:05
PROMO - Paket Hemat Lrg Fish Filet Burger Free McFlurry feat. OREO,56.500,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211809048862/detail/85a9af84_TPO120055_4.webp,2025-05-31 11:02:05
PROMO - Paket Hemat Lrg 6 PCS McNuggets Free McFlurry feat. OREO,61.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211809091204/detail/dc6ab254_PO112059_13.webp,2025-05-31 11:02:05
PROMO - PaNas 2 Lrg Ayam McD Krispy with Fries Free McFlurry feat. OREO,63.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211810069048/detail/1beecb52_TPO111309_1.webp,2025-05-31 11:02:05
PROMO - PaNas 2 Lrg Ayam McD Spicy with Fries Free McFlurry feat. OREO,63.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250418211808107001/detail/a00ba29b_TPO111307_1.webp,2025-05-31 11:02:05
