Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Jimbo Bowl Original,45.000,Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Pilihan Bubuk Tabur Salty Pepper Atau Spicy Mala Dan Disajikan Dengan Nasi Putih.,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052800062166/detail/menueditor_item_b3da61394bc04047b1fc852b326dc980_1743064832859548462.webp,2025-06-01 09:30:29
Jimbo Bowl Cheesy Cheese,45.000,"Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Baluran Saus Keju Cair Yang Meleleh, Gurih Dan Asin. Disajikan Dengan Nasi Putih.",https://food-cms.grab.com/compressed_webp/items/IDITE20250218052801053906/detail/menueditor_item_0f0fedc1b3ef4997a8eb4db75b3d25f1_1743064861750660943.webp,2025-06-01 09:30:29
Jimbo Bowl Mala,45.000,"Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Baluran Saus Sambal Mala Yang Gurih, Pedas Dan Kaya Akan Rempah – Rempah. Disajikan Dengan Nasi Putih.",https://food-cms.grab.com/compressed_webp/items/IDITE20250218052801031698/detail/menueditor_item_466b78aef23940bda7b4d550bd8ce4da_1743064889685893168.webp,2025-06-01 09:30:29
Jimbo Bowl Thai,45.000,"Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Baluran Saus Sambal Thailand Yang Gurih, Manis, Dan Segar Asam. Disajikan Dengan Nasi Putih.",https://food-cms.grab.com/compressed_webp/items/IDITE20250218052801041310/detail/menueditor_item_9e4b18b31c734ae3b573747c91bdd2f0_1743064917631022214.webp,2025-06-01 09:30:29
Jimbo Bowl Pesto,45.000,"Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Baluran Saus Gurih Pesto Yang Terbuat Dari Parsley, Bawang Putih Dan Olive Oil. Disajikan Dengan Nasi Putih.",https://food-cms.grab.com/compressed_webp/items/IDITE20250218052801016337/detail/menueditor_item_57dade0d91af4d6781521cd23f79d398_1743064945056492291.webp,2025-06-01 09:30:29
Jimbo Bowl Sambal Pedas,45.000,Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Baluran Saus Sambal Pedas Yang Asin Dan Gurih. Disajikan Dengan Nasi Putih.,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052801029282/detail/menueditor_item_c815a7461e1746da9b182f3070af708d_1743064971037033405.webp,2025-06-01 09:30:29
Master Paha,59.500,Daging Ayam Bagian Paha Tanpa Tulang Yang Gurih Lembut Dan Juicy Dengan Pilihan Bubuk Tabur Salty Pepper Atau Spicy Mala - Nasi Dan Pilihan Minum.,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052757056046/detail/menueditor_item_dfcdbe77c468406089505c08a1635508_1744275291244024648.webp,2025-06-01 09:30:29
Master Paha Cheesy Cheese,66.500,Daging Ayam Bagian Paha Tanpa Tulang Yang Gurih Lembut Dan Juicy Dengan Baluran Saus Keju. Nasi Dan Pilihan Minum,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052758068537/detail/menueditor_item_f21ac0d2fd5c45ef9a6885f2899dc48d_1745205381458236057.webp,2025-06-01 09:30:29
Master Dada,59.500,Daging Ayam Bagian Dada Tulang Yang Kecil Dengan Ukuran Dada Yang Besar Dengan Pilihan Bubuk Tabur Salty Pepper Atau Hot Spicy - Nasi Dan Pilihan Minum.,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052757035226/detail/menueditor_item_9868e45677de4f1da8db1fbd0ab1ee78_1745206494212732471.webp,2025-06-01 09:30:29
Master Dada Cheesy Cheese,66.500,Daging Ayam Bagian Dada Tanpa Tulang Yang Besar Dengan Baluran Saus Keju. Nasi Dan Pilihan Minum,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052758057088/detail/menueditor_item_a2a6ca544b1c41f19145d883d0c8bc9d_1745206544532779706.webp,2025-06-01 09:30:29
Master Jimbo Original,59.500,Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Pilihan Bubuk Tabur Salty Pepper Atau Spicy Mala - Nasi Dan Pilihan Minum.,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052757069810/detail/menueditor_item_655c25dd72ab4ed483e0981833d4dd8a_1745206567669670841.webp,2025-06-01 09:30:29
Master Jimbo Cheesy Cheese,59.500,"Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Baluran Saus Keju Cair Yang Meleleh, Gurih, Asin – Nasi Dan Pilihan Minum.",https://food-cms.grab.com/compressed_webp/items/IDITE20250218052756050913/detail/menueditor_item_61b10a8865584e27b2246354c2985bd4_1745206593665852340.webp,2025-06-01 09:30:29
Master Jimbo Mala Cheese,66.500,Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Baluran Saus Mala Yang Gurih Ditambah Baluran Saus Keju. Nasi Dan Pilihan Minum,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052756025381/detail/menueditor_item_8e2505071f2946f29f923405efc57a49_1745206639315328609.webp,2025-06-01 09:30:29
Master Jimbo Mala,59.500,"Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Baluran Saus Sambal Mala Yang Gurih, Pedas - Nasi Dan Pilihan Minum.",https://food-cms.grab.com/compressed_webp/items/IDITE20250218052758012320/detail/menueditor_item_6830be05044247d1be74c169dd67b746_1745206663707254221.webp,2025-06-01 09:30:29
Master Jimbo Thai,59.500,"Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Baluran Saus Sambal Thailand Yang Gurih, Manis, Segar Asam - Nasi Dan Pilihan Minum.",https://food-cms.grab.com/compressed_webp/items/IDITE20250218052758026309/detail/menueditor_item_4fe0f4ad296f4c9a92f9476716bdf938_1745206697866629934.webp,2025-06-01 09:30:29
Master Jimbo Pesto,59.500,"Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Baluran Saus Gurih Pesto Yang Terbuat Dari Parsley, Bawang Putih, Olive Oil - Nasi Dan Pilihan Minum.",https://food-cms.grab.com/compressed_webp/items/IDITE20250218052757074935/detail/menueditor_item_3b2b5e206b5c4e6fa57e9a466c19e3b9_1745206729322447075.webp,2025-06-01 09:30:29
Master Jimbo Sambal Pedas,59.500,"Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Baluran Saus Sambal Pedas Yang Asin, Gurih - Nasi Dan Pilihan Minum.",https://food-cms.grab.com/compressed_webp/items/IDITE20250218052757019629/detail/menueditor_item_ca8e162b096142429beb294663aada31_1745206756311491115.webp,2025-06-01 09:30:29
Little Master,39.000,Daging Ayam Fillet Bagian Paha Tanpa Tulang Dengan Pilihan Bubuk Tabur Salty Pepper Atau Spicy Mala - Nasi Dan Pilihan Minum.,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052758040863/detail/menueditor_item_3b8db5fc70d744568065c46348cee8b9_1745207689188477929.webp,2025-06-01 09:30:29
Gowes,45.000,3 Pcs Drumette Dan 3 Pcs Wingette Dengan Pilihan Bubuk Tabur Salty Pepper Atau Spicy Mala - Pilihan Nasi/French Fries.,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052757047555/detail/menueditor_item_11e1cac78619452f8395f2680376a255_1745207744933235111.webp,2025-06-01 09:30:29
Gowes Plus,51.500,3 Pcs Drumette Dan 3 Pcs Wingette Dengan Pilihan Bubuk Tabur Salty Pepper Atau Spicy Mala - Nasi/French Fries Dan Pilihan Minum.,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052757024226/detail/menueditor_item_3418ca888b3940b181851b5e5a4792f2_1745207811951462209.webp,2025-06-01 09:30:29
Dada Lovecut,49.000,Daging Ayam Bagian Dada Tulang Yang Kecil Dengan Ukuran Dada Yang Besar Dengan Pilihan Bubuk Tabur Salty Pepper Atau Hot Spicy.,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052800017613/detail/menueditor_item_742bb4e467ff48a58a6870e8d59dc3b5_1743150704219287667.webp,2025-06-01 09:30:29
Dada Lovecut Cheesy Cheese,56.000,Daging Ayam Bagian Dada Tanpa Tulang Yang Besar Dengan Baluran Saus Keju. Nasi Dan Pilihan Minum,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052800051347/detail/menueditor_item_087fe3df2c074ba5a0206d513d1bb3ef_1745219839060063721.webp,2025-06-01 09:30:29
Paha Juicy,49.000,Daging Ayam Bagian Paha Tanpa Tulang Yang Gurih Lembut Dan Juicy Dengan Pilihan Bubuk Tabur Salty Pepper Atau Spicy Mala.,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052759072673/detail/menueditor_item_cee039aaecb94288858e6ca36dd9d1ff_1745219946085718537.webp,2025-06-01 09:30:29
Paha Juicy Cheesy Cheese,56.000,Daging Ayam Bagian Paha Tanpa Tulang Yang Gurih Lembut Dan Juicy Dengan Baluran Saus Keju,https://food-cms.grab.com/compressed_webp/items/IDITE20250218052800045970/detail/menueditor_item_6ff585a3b76d49cb845a6e9ae9853e9b_1745220434758417349.webp,2025-06-01 09:30:29
