Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Matcha Cheese Tart,29.800,"Chicken Curry Puff , Tuna Mayo Puff , Cheese Roll",https://food-cms.grab.com/compressed_webp/items/IDITE20250516115336044608/detail/menueditor_item_a6ead3f4178747e487fe6e357b0627c6_1747549239950150215.webp,2025-06-01 09:39:25
Burnt Cheese Tart,29.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115336061424/detail/menueditor_item_05fb0e36a9cb4b2b8f2153961ec75f83_1747799104424457328.webp,2025-06-01 09:39:25
Praline Hazelnut Cheese Tart,35.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115336079506/detail/menueditor_item_93ace6ca68fb443d9979284c28ab2889_1747798947873700982.webp,2025-06-01 09:39:25
Chunky Peanut Butter Cheesetart,29.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115336086647/detail/menueditor_item_4ded0bdefdcf4338a0e3dd8abc0103fe_1747798466410915436.webp,2025-06-01 09:39:25
Tiramisu Cheese Tart,29.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115336090729/detail/menueditor_item_b17ef00679de4406b926b6f8f7fe097b_1747798454863228841.webp,2025-06-01 09:39:25
Durian Cheese Tart,29.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115336102160/detail/menueditor_item_80977b54b80d41cc800ef1488dcf7fb8_1747549313091627310.webp,2025-06-01 09:39:25
Blueberry Cheeae Tart,29.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115337010036/detail/menueditor_item_ee94f0062f97478a80d15f3dad144f4a_1747549395978094785.webp,2025-06-01 09:39:25
Original Cheese Tart,29.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115337026188/detail/menueditor_item_23f1f99c30ea4776a241c6fce4fcb5fd_1747549342281730936.webp,2025-06-01 09:39:25
Dark Chocolate Cheese Tart,29.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115337032127/detail/menueditor_item_0ea8cb5db6694e4795c9e1dd5a721a51_1747798237952778232.webp,2025-06-01 09:39:25
Oreo Cheese Tart,29.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115337044696/detail/menueditor_item_206c46a9ed6c4b3f951097797649790f_1747549454168762078.webp,2025-06-01 09:39:25
Salted Caramel Cheese Tart,29.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115337052223/detail/menueditor_item_9a69e0a474454a999cb2dac038cfa4f6_1747797663446010444.webp,2025-06-01 09:39:25
Creme Brulee Cheese Tart,29.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115336057679/detail/menueditor_item_c363c9c5df9d4c5d9e23fa489d0054c1_1747799127803999664.webp,2025-06-01 09:39:25
Tote Bag,20.000,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20250516115336011746/detail/menueditor_item_dac15f71783d4692993b4ec1c2e8a994_1747798633825005722.webp,2025-06-01 09:39:25
Papper Bag,3.000,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
Cheesetart Box (Isi 3),89.800,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
1 Box Pastry Isi 6,158.800,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
1 Box Isi 6 Cheese Tart,158.000,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
Chicken Rendang Cornish,29.800,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
Spicy Chicken Cornish,29.800,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
Black Papper Beef Puff,33.800,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
Original Beef Calzone,39.800,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
Original Chicken Cornish,29.800,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
Cheese Roll,29.800,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
Chicken Curry Puff,29.800,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
Tuna Mayo Puff,29.800,Deskripsi tidak ditemukan,Gambar tidak ditemukan,2025-06-01 09:39:25
