Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
nasi campur special+es cao,75.000,"Nasi, ayam goreng biasa, lalapan, sambel",https://food-cms.grab.com/compressed_webp/items/IDITE2022032810230539614/detail/menueditor_item_9ba683c05c8a42e8a72d1b04043e988e_1658818860542239716.webp,2025-06-01 09:47:00
Nasi ayam goreng biasa lalapan,48.000,free bubur tergantung persediaan yg ada. maaf gak bisa request. siapa cepat dia dapat,https://food-cms.grab.com/compressed_webp/items/IDITE2021011305480084597/detail/59b90fadeb6a41dfa8c0c5418c268c89_1644900683431445219.webp,2025-06-01 09:47:00
3 Lontong mie jumbo free 1 bubur,150.000,"Nasi, ayam biasa, tahu,tempe, terong, lalapan",https://food-cms.grab.com/compressed_webp/items/IDITE2021020810213029776/detail/menueditor_item_d326b46c71a0453d93add9b847395b7e_1612779541168317516.webp,2025-06-01 09:47:00
Nasi Ayam biasa penyet,47.000,"Nasi Tahu-tempe,terong lalapan",https://food-cms.grab.com/compressed_webp/items/IDITE2021011305403327464/detail/62e46596a3ce43a6bf83827c84bcc1b6_1645455740366037193.webp,2025-06-01 09:47:00
Nasi Tahu tempe penyet,44.000,"Nasi bakwan, lalapan, tahu,tempe terong, sambel",https://food-cms.grab.com/compressed_webp/items/IDITE2021011305581686760/detail/9a0a4f2115c94cd799ac7137a3a3ae4b_1610780140022412527.webp,2025-06-01 09:47:00
nasi pecel telur,50.000,"Nasi , ayam, udang goreng tepung, telur' separuh, kuahnya kaldu ayam. dimakan sama petis yg sudah di olah bikin mau lagi mau lagi",https://food-cms.grab.com/compressed_webp/items/IDITE2022032209051877093/detail/b5d216300b0c40e99c02e30a7c74ae70_1664377908411124713.webp,2025-06-01 09:47:00
Nasi siomay penyet,50.000,selama persediaan masih ada,https://food-cms.grab.com/compressed_webp/items/IDITE2022081905563332466/detail/1c5ba805213c4365a9471a1756f3095e_1720010255979318862.webp,2025-06-01 09:47:00
Nasi bakwan penyet,50.000,selama persediaan masih ada (terlaris),https://food-cms.grab.com/compressed_webp/items/IDITE2021052613103069323/detail/menueditor_item_bcea8f784330425e80cc8c8ad3e4b3d6_1622034693580290895.webp,2025-06-01 09:47:00
Nasi Bakmoy super lezat,55.000,selama persediaan masih ada,https://food-cms.grab.com/compressed_webp/items/IDITE2021020810133436248/detail/menueditor_item_45bdf0bc74a84a979d501f7d9add5dd4_1612779044946960159.webp,2025-06-01 09:47:00
nasi campur kare ayam+ es degan,60.000,selama persediaan masih ada (murah poll),https://food-cms.grab.com/compressed_webp/items/IDITE2024031101411669206/detail/434d1789cdc84764809ce38a24876e9c_1720010255831073469.webp,2025-06-01 09:47:00
mie ayam+ es teh tarik,55.000,hanya ada hari ini. bisa untuk 2-3 orang,https://food-cms.grab.com/compressed_webp/items/IDITE2024031101392473128/detail/bbd5368d326e4a68a458c57a8acd734e_1720010255809954910.webp,2025-06-01 09:47:00
es teler+ es oyen,75.000,"selama persediaan masih ada,(terlaris)",https://food-cms.grab.com/compressed_webp/items/IDITE2024031101370829834/detail/1ba2cb2d4a974777a249b2163918ed40_1720010255992637282.webp,2025-06-01 09:47:00
lontong sayur ayam + es degan,60.000,selama persediaan masih ada,https://food-cms.grab.com/compressed_webp/items/IDITE2024031101253514051/detail/2207081ad3bd48f0bb58e85261168bc3_1720010256843258892.webp,2025-06-01 09:47:00
lontong kare ayam+es cao,65.000,selama persediaan masih ada.,https://food-cms.grab.com/compressed_webp/items/IDITE2024031101065932105/detail/2566328473cc4cc2aff2ed8c1a4aca02_1720010256484849574.webp,2025-06-01 09:47:00
tahu campur+ es blewa,85.000,kemasan kertas bungkus,https://food-cms.grab.com/compressed_webp/items/IDITE2024031101051747333/detail/1557a1a2668845a1875c40d3978ad77b_1720010255513179025.webp,2025-06-01 09:47:00
5 porsi lontong mie biasa,230.000,gunakan promo diskon kilat lebih murah,https://food-cms.grab.com/compressed_webp/items/IDITE2024031100564443057/detail/42b07f5231474b71adfc0d262cd5a80e_1720010255927983097.webp,2025-06-01 09:47:00
bubur sagu+ ketan hitam+ mutiara,23.000,gunakan promo diskon kilat lebih murah.,https://food-cms.grab.com/compressed_webp/items/IDITE2024031100541269125/detail/e3cc440d82df476a9fac53df8438547f_1720010257457569903.webp,2025-06-01 09:47:00
