Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Donat Classic 6 Pcs,49.000,Donat empuk dengan berbagai pilihan dipping dan topping yang menggugah selera,https://food-cms.grab.com/compressed_webp/items/IDITE2025050106263183162/detail/menueditor_item_4403388ef58e483782c333557fa617bc_1746080702824390553.webp,2025-06-01 09:28:52
Donat CLASSIC 2 Pcs,20.000,Donat kentang klasik bebas memilih 1 dipping dan 1 topping,https://food-cms.grab.com/compressed_webp/items/IDGFSTI000010kv1544974764076512187/detail/237af415aff645e3aa280462033f1cda_1568196911202742766.webp,2025-06-01 09:28:52
Donat CLASSIC 12 Pcs,89.000,Donat kentang klasik dengan berbagai topping lezat dan rasa yang menggoda. Deskripsi ini dibuat oleh AI,https://food-cms.grab.com/compressed_webp/items/IDGFSTI000010kv1544974764307066568/detail/415e291d10a24aec8e7de44d043e7a3c_1679128713272578572.webp,2025-06-01 09:28:52
Donat CLASSIC 1 Pcs,10.000,Donat kentang klasik dengan pilihan 1 dipping dan 1 topping,https://food-cms.grab.com/compressed_webp/items/IDGFSTI000010kv1544974763883365715/detail/menueditor_item_43d66fd8c37a479a908bff3caad7b440_1600413203391821891.webp,2025-06-01 09:28:52
Donat Crispy 6 Pcs,49.000,Donat renyah kriuk kriuk dengan berbagai pilihan dipping dan topping yang menggugah selera,https://food-cms.grab.com/compressed_webp/items/IDITE2025050106283489954/detail/menueditor_item_157a9829246e4977a7fe2f437fe96832_1746080827759741887.webp,2025-06-01 09:28:52
Donat CRISPY 12 Pcs,89.000,Donat Kentang KRIUK RENYAH,https://food-cms.grab.com/compressed_webp/items/IDITE2020081710420698157/detail/b1d6fa42ab10475689ff1dd66c62971e_1679276864356949447.webp,2025-06-01 09:28:52
Donat CRISPY 2 Pcs,20.000,Donat Kentang KRIUK RENYAH,https://food-cms.grab.com/compressed_webp/items/IDITE2020081710341967426/detail/menueditor_item_3ed3d08e68264ccfadb2d436fda4d516_1597660406921569601.webp,2025-06-01 09:28:52
Donat CRISPY 1 Pcs,10.000,Donat Kentang KRIUK RENYAH,https://food-cms.grab.com/compressed_webp/items/IDITE2020081710270226003/detail/menueditor_item_d831bce6d6794adaa6ea134e9980de4b_1597659986449768250.webp,2025-06-01 09:28:52
#PaketSiapMasak Frozen Donat 2 Pcs,20.000,"Choose Icy Sugar, Cinnamon or Coconut Palm Sugar",https://food-cms.grab.com/compressed_webp/items/IDITE2020073003594410261/detail/menueditor_item_4dd9190d54fb4ccfb0e177abc5b63020_1596180108884714984.webp,2025-06-01 09:28:52
#PaketSiapMasak Frozen Donut 12 Pcs,89.000,"Choose Icy Sugar, Cinnamon or Coconut Palm Sugar",https://food-cms.grab.com/compressed_webp/items/IDITE2020051313495083358/detail/menueditor_item_8b5e105817af4bef9ec29d8a57c5c44d_1589377733781103696.webp,2025-06-01 09:28:52
#PaketSiapMasak Frozen Donut 6 Pcs,49.000,"Choose Icy Sugar, Cinnamon or Coconut Palm Sugar",https://food-cms.grab.com/compressed_webp/items/IDITE2020051313482480613/detail/menueditor_item_9e1e62c3a5cd4fec82459c82519a7ae9_1589377607500569619.webp,2025-06-01 09:28:52
