Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Mie Ayam,23.700,Mie yang diracik dengan bumbu Original asin gurih,https://food-cms.grab.com/compressed_webp/items/IDITE2021011003013512400/detail/6-C2JBA66BA6DUNE_41f0ec53534240278b97c0c27b1477ed_1684901680061981950.webp,2025-06-01 09:36:26
Yamie Ayam,23.700,Mie Dengan Racikan bumbu Yg Manis Legit,https://food-cms.grab.com/compressed_webp/items/IDITE2021010816031921505/detail/6-C2JBA66BA6DUNE_fa1f451f3bf540d5bd09ba20b36f6cf6_1684901681629899993.webp,2025-06-01 09:36:26
Lamie Ayam 🌶🌶🌶,23.700,Mie Dengan Racikan Bumbu PEDAS,https://food-cms.grab.com/compressed_webp/items/IDITE2021010816100675095/detail/6-C2JBA66BA6DUNE_e42d5b1db9634652a0c18ff38077611f_1684901681774633507.webp,2025-06-01 09:36:26
Mie/ Yamie/ Lamie Ayam Jamur,29.900,Pilihan Mie/Yamie/ Lamie dengan tambahan toping ayam dan jamur masak kecap ala pinangsia,https://food-cms.grab.com/compressed_webp/items/IDITE2021010907040571550/detail/6-C2JBA66BA6DUNE_0e164448518e48c2b465ed7882ceba7b_1684918590749663596.webp,2025-06-01 09:36:26
Mie/Yamie/ Lamie Ayam Pangsit,29.900,Pilihan Mie/Yamie/ Lamie dengan tambahan toping ayam dan pangsit rebus 2 biji,https://food-cms.grab.com/compressed_webp/items/IDITE2021010815013887795/detail/menueditor_item_c36e72268bc34bf49357fefd7a5eb021_1680600885896185935.webp,2025-06-01 09:36:26
Mie/ Yamie/ Lamie Ayam Bakso,29.900,Pilihan Mie/Yamie/ Lamie dengan tambahan toping ayam dan bakso sapi 2 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2021010815105097097/detail/menueditor_item_8d50cafda0e34d6ca4ccd9f1fd3b601a_1680598160562249147.webp,2025-06-01 09:36:26
Mie/ Yamie/ Lamie Ayam Komplit 😋👍,34.300,Pilihan Mie/Yamie/ Lamie dengan tambahan toping ayam + pangsit rebus 2pcs dan bakso sapi 2 pcs,https://food-cms.grab.com/compressed_webp/items/IDITE2021010816283790289/detail/6-C2JBA66BA6DUNE_3916c4170de64c79a730c9eb58769d62_1684901680121863538.webp,2025-06-01 09:36:26
Mie/ Yamie/ Lamie Ayam +Telur 😋,32.000,Pilihan Mie/Yamie/ Lamie dengan tambahan toping ayam dan telur kecap utuh,https://food-cms.grab.com/compressed_webp/items/IDITE2021010900281485236/detail/menueditor_item_db823f9ddeac4db6a7a12cf6bf29de0d_1680598245780853823.webp,2025-06-01 09:36:26
Mie/ Yamie/ Lamie Komplit Spesial 😋👍,42.450,Mie dengan toping ayam pangsit bakso dan telur,https://food-cms.grab.com/compressed_webp/items/IDITE2021010900322318698/detail/menueditor_item_2ed0f2b1588b46b4bb4624aa321adc03_1680598285340927741.webp,2025-06-01 09:36:26
Mie/ Yanie/ Lamie Casio 🥰,35.000,Car-siu adalah Ayam BBQ Bumbu Carsiu Yang Gurih Legit,https://food-cms.grab.com/compressed_webp/items/IDITE2021032102463824474/detail/menueditor_item_50b4f5d51fc648caaf17f9387d1d6d8d_1680597416556157881.webp,2025-06-01 09:36:26
