Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
SALMON CHEESE SANDWICH,48.000,"SALMON, CHEESE SLICE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103201291559/detail/0911743e87814b08a069fd50d7d8c797_1679651014808348984.webp,2025-06-01 09:40:48
SPICY TUNA SANDWICH,42.000,"SPICY TUNA, CRUNCHY, TOBIKKO, SPICY SAUCE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103201362701/detail/cd44093f065442bbb1c7fb68a88fe461_1679651014913977031.webp,2025-06-01 09:40:48
SALMON MAYO SANDWICH,48.000,"SALMON, MAYO, ONION, AONORI, ABURI SAUCE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103201205150/detail/225cfda886db47b38682eea22ea96fcb_1679651014806100198.webp,2025-06-01 09:40:48
SALMON MAYO INARI,42.000,"6PCS SALMON MAKI, 4PCS SALMON NIGIRI, 4PCS TAMAGO NIGIRI, 3PCS SALMON DYNAMITE, 2PCS CHUKA IDAKO GUNKAN, 2PCS TOBIKO GUNKAN, 2PCS WAKAME GUNKAN, 8PCS SKI ROLL, 2PCS KANI NIGIRI.",https://food-cms.grab.com/compressed_webp/items/IDITE2023081107320795374/detail/menueditor_item_1a54f0f8709b4f16891bf96d9dc60a80_1691739046084057738.webp,2025-06-01 09:40:48
PLAIN INARI,30.000,"2PCS INARI, 4PCS TAMAGO NIGIRI, 5PCS TUNA FUTOMAKI, 8PCS SALMON SKIN ROLL, 6PCS SALMON MAKI, 2PCS SALMON DYNAMITE.",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103159360302/detail/a31e6453fa10412b83f61336d50ce3ff_1679659980339006591.webp,2025-06-01 09:40:48
TOBIKKO INARI,42.000,"8PCS RYUUJIN, 8PCS FUJIYAMA, 5PCS TAKO ROLL, 8PCS NINJA ROLL, 4PCS SALMON ABURI",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103158426684/detail/1fcf581492654387964cd2a69b4f5023_1679659980039952949.webp,2025-06-01 09:40:48
SPICY SALMON INARI,36.000,"8PCS SALMON SKIN ROLL, 8PCS SPICY TUNA ROLL, 5PCS TAKO ROLL, 8PCS BEEF CHEESE ROLL, 6PCS SALMON MAKI",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103159294651/detail/0d314fea913f44a8b0b206127f1184c1_1679659980085672127.webp,2025-06-01 09:40:48
KANIMAYO INARI,36.000,"8PCS RYUUJIN, 8PCS FUJIYAMA, 5PCS TAKO ROLL",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103159017703/detail/cf3633376ed5464f94f2942c65ea5c22_1679651014242739199.webp,2025-06-01 09:40:48
TUNA SALAD INARI,36.000,"8PCS SAKURA ROLL, 8PCS KARITTO ROLL, 8PCS TUNA ROLL, 8PCS CALIFORNIA ROLL, 4PCS TAMAGO NIGIRI, 4PCS INARI, 6PCS SALMON MAKI",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103159152569/detail/aae70925eb2d4fe7998279caa20de122_1679659980043853346.webp,2025-06-01 09:40:48
WAKAME INARI,36.000,"3PCS SALMON DYNAMITE, 6PCS SALMON MAKI, 8PCS SKI ROLL, 5PCS CHICKEN KATSU ROLL, 8PCS KARITTO ROLL, 8PCS GOLDEN KAWA ROLL, 2PCS SALMON NIGIRI, 2PCS KANI NIGIRI,",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103159099402/detail/279a6647db62484082688ba524553790_1679659980271722302.webp,2025-06-01 09:40:48
TARO SET,288.000,"6PCS SALMON MAKI, 6PCS SALMON MAYO MAKI",https://food-cms.grab.com/compressed_webp/items/IDITE2023032401430636958/detail/menueditor_item_09533a8f3b6a4e5cb9a8457d68e4e9f5_1679622069893299541.webp,2025-06-01 09:40:48
MORI SET,210.000,"8PCS RYUUJIN, 8PCS FUJIYAMA, 5PCS TAKO ROLL, 8PCS NINJA ROLL, 4PCS SALMON ABURI, 4PCS INARI, 3PCS DRAGON BALL",https://food-cms.grab.com/compressed_webp/items/IDITE2023032401393982397/detail/menueditor_item_d2fdef6fc74f41c7bc4465c103d57b57_1679621901625076281.webp,2025-06-01 09:40:48
SAMURAI SET B,228.000,"3PCS SALMON VOLCANO, 12PCS SALMON NEGI MAKI, 7PCS KARITTO ROLL, 7PCS SPICY TUNA ROLL, 8PCS HANA ROLL, 8PCS BEEF CHEESE ROLL, 8PCS CATERPILLAR ROLL",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103155273659/detail/18179a02bc97425d9c852800f49e1e22_1679659980032410552.webp,2025-06-01 09:40:48
HIRO SET,198.000,"2PCS TOBIKKO GUNKAN, 2PCS KANIMAYO INARI, 2PCS TAMAGO NIGIRI, 2PCS SALMON NIGIRI, 2PCS UNAGI NIGIRI",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103156151280/detail/770226b30e334bd7b7eed150ac99f7ff_1679651014900181348.webp,2025-06-01 09:40:48
KABUKI SET B,150.000,"4PCS SALMON NIGIRI, 6PCS SALMON MAKI, 2PCS SALMON DYNAMITE, 3PCS SALMON SASHIMI",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103155164455/detail/62ddaee564574f128dd6c156fb201b1d_1679659979968433832.webp,2025-06-01 09:40:48
SUMO SET A,270.000,"8PCS SAKURA ROLL, 8PCS KARITTO ROLL, 8PCS TUNA ROLL",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103155332515/detail/d99b9fd25c12497bb29cfc66e84280d4_1679659980026670867.webp,2025-06-01 09:40:48
YUKI SET,276.000,"8PCS SAKURA ROLL, 8PCS KARITTO ROLL, 8PCS TUNA ROLL, 8PCS CALIFORNIA ROLL, 4PCS TAMAGO NIGIRI",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103156406766/detail/0902dac0ae3d4a8b9c083af04de8c400_1679651014866384562.webp,2025-06-01 09:40:48
SALMON COMBO,72.000,"SALMON, TUNA SALAD, CUCUMBER, AVOCADO, TOBIKO, EEL SAUCE, SESAME",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103155423329/detail/a34d648b25514eb79d923c17893b6ed2_1679651014686488860.webp,2025-06-01 09:40:48
SUMO SET B,300.000,"SOFT SHELL CRAB, KANIMAYO, MOZARELLA CHEESE, CRYNCHY, AONORI, ABURI SAUCE.",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103155386294/detail/62fea9ccb3a84f778dafd9cf53af674e_1679659980025717930.webp,2025-06-01 09:40:48
HANA SET,294.000,"EBI TEMPURA, KANIMAYO, TAMAGO, CUCUMBER, TOBIKO, CRUNCHY, ABURI SAUCE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103156210762/detail/9bab0b30ee764035bd430aa61be91a73_1679651014161191656.webp,2025-06-01 09:40:48
AYUMI SET,138.000,"SOFT SHELL CRAB, AVOCADO, TAMAGO, KANIMAYO, TOBIKO, EEL SAUCE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103156104213/detail/1202b5b9240e4e12a61e1b65710d3509_1679651014911945574.webp,2025-06-01 09:40:48
YAMATO SALMON PLATTER,174.000,"Ebi Tempura, Crunchy, Cucumber, Salmon Mentai, Minced Salmon Aburi",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103156053817/detail/a1ca4a6a097649cc84f253c034d2f478_1679651014743424353.webp,2025-06-01 09:40:48
KABUKI SET A,126.000,"Tuna salad, Crunchy, Cucumber, Salmon mentai, Aonori",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103155116183/detail/3b2e54dfcbc947f1b6e6ae75875dd47e_1679651014271249034.webp,2025-06-01 09:40:48
SAMURAI SET A,198.000,"plant base meat,cucumber with topping avocado and aburi sc",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103155222830/detail/a9521a88e727448780ae89c83a95d3f8_1679659979971732917.webp,2025-06-01 09:40:48
CHOPSTICK,1.080,"soya nori,plant base meat,avocado,cucumber, lettuce,wasabi mayo",https://food-cms.grab.com/compressed_webp/items/IDITE2023053103283017421/detail/menueditor_item_9cce6393f9df40e4b6500d93ebfd5a35_1685503678271945976.webp,2025-06-01 09:40:48
SOFT SHELL CRAB MAKI,48.000,"Baked salmon,tempura flakes,scaliions served in aburi Sc and Eel sc",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103157020382/detail/dcb0ee63e47749f39301ca4e210b887c_1679651014506902412.webp,2025-06-01 09:40:48
SALMON MAKI,36.000,"chicken karaage,cucumber,cheese,spicy sauce",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103157273600/detail/8333035b7b324de29952bf621aa6614e_1679651014108945424.webp,2025-06-01 09:40:48
EBI MAKI,30.000,"KANIMAYO, TAMAGO, AVOCADO, CRUNCHY, EEL SAUCE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103157096004/detail/101ac984c19441cf99b94114a0d2982a_1679651014618855118.webp,2025-06-01 09:40:48
TUNA MAKI,36.000,"SALMON SKIN KARAAGE, CRUNCHY, CUCUMBER, ABURI SAUCE, TAMAGO, TOBIKKO, MAYONAISE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103157164765/detail/3aa41eecc04449d7a1f4c15a72e4a44a_1679651014263170222.webp,2025-06-01 09:40:48
TAMAGO MAKI,24.000,"UNAGI, SALMON SKIN KARAAGE, KANIMAYO, CUCUMBER, AVOCADO, CRUNCHY, TOBIKKO, EEL SAUCE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103157226957/detail/22d8b90ead1c4bcdad03800cf536b438_1679651014333887398.webp,2025-06-01 09:40:48
KANI MAKI,24.000,"BREADED SUSHI ROLL WITH EBI TEMPURA, CHEESE, CRUNCHY, VOLCANO SAUCE, CRUNCHY, SPICY SAUCE, SPRING ONION",https://food-cms.grab.com/compressed_webp/items/IDITE2023053103304437264/detail/6-CYN2DCLWAUVJGJ_c974e20d1ee74505886ecc947888b48e_1691417969547749774.webp,2025-06-01 09:40:48
SALMON VOLCANO,48.000,"UNAGI, SOFTSHELL CRAB, KANIMAYO, TAMAGO, CUCUMBER, TOBIKKO, EEL SAUCE, SESAME",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103201126640/detail/6f58a231e60743048e2261869f7f613b_1679651014426192183.webp,2025-06-01 09:40:48
TAMAGO KANI,36.000,"SPICY SALMON, CRUNCHY, CUCUMBER, KANIMAYO, SPICY SAUCE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103200264554/detail/cb356b03ea1b4a008f6a8abd568ee722_1679651014692456111.webp,2025-06-01 09:40:48
KANI NIGIRI,24.000,"SALMON, JELLYFISH, KANI STICK, TAMAGO, CUCUMBER, ABURI SAUCE, GRATED CHEESE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103201045059/detail/5c14314289be4818b95fb8d846e93fdf_1679651014423103595.webp,2025-06-01 09:40:48
TAMAGOYAKI,42.000,"TUNA SALAD, JELLYFISH, KANI STICK, TAMAGO, CUCUMBER, ABURI SAUCE, BBQ SAUCE, MAYONAISE, SESAME",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103200411190/detail/866fd94820e048348cd6fa9e3df7022a_1679651014474436081.webp,2025-06-01 09:40:48
SALMON DYNAMITE,42.000,"CHICKEN KATSU, CRUNCHY, TAMAGO, CUCUMBER, ABURI SAUCE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103200146606/detail/6da99f9d50a948fdbaabdb2b900ab766_1679651014315063272.webp,2025-06-01 09:40:48
TAMAGO NIGIRI,24.000,"SPICY TUNA, CRUNCHY, CUCUMBER, TOBIKKO",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103200093780/detail/4ca5aff0e7514776bd3464fc7f44ffe9_1679651014410550194.webp,2025-06-01 09:40:48
SALMON MENTAI ABURI,42.000,"TUNA SALAD, CRUNCHY, CUCUMBER, SALMON MENTAI, AONORI",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103200201300/detail/586b610e34294423876dd6348fdd532c_1679651013955544799.webp,2025-06-01 09:40:48
UNAGI NIGIRI,42.000,"SALMON, KANI STICK, AVOCADO, TAMAGO, CUCUMBER, GARLIC MAYO, TOBIKKO, SPRING ONION",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103159471457/detail/ed8c6d59c7cc4f6fbd7bcaec3270d9d6_1679651014665062900.webp,2025-06-01 09:40:48
SALMON NIGIRI,30.000,"SALMON SKIN KARAAGE, KANIMAYO, TAMAGO, CUCUMBER, AVOCADO, MAYONAISE, TOBIKKO, EEL SAUCE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103159530314/detail/b6a9d530c2934c24a86458d75b3958a5_1679651014784102227.webp,2025-06-01 09:40:48
SALMON ABURI,32.400,"UNAGI, AVOCADO, TOBIKKO, KANIMAYO, TAMAGO, CUCUMBER, SESAME, EEL SAUCE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103200051295/detail/d3e139ab48d4447995242eced810af06_1679651014228576389.webp,2025-06-01 09:40:48
SALMON CHEESE ABURI,42.000,"CHUKA IDAKO, AVOCADO, KANIMAYO, TAMAGO, EEL SAUCE",https://food-cms.grab.com/compressed_webp/items/IDITE20230323103200485926/detail/342f541600c6472eaf124590ba5d45ed_1679651014500638143.webp,2025-06-01 09:40:48
SALMON SASHIMI,72.000,"KANI STICK, TAMAGO, MOZZARELLA CHEESE, KANIMAYO, TOBIKKO, AONORI",https://food-cms.grab.com/compressed_webp/items/IDITE20230324082857737231/detail/6-CYN2DCLWAUVJGJ_11e1ca3494db4c73b1e02e2e186b1784_1697200636361100083.webp,2025-06-01 09:40:48
