Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Pizza Pumpkin Bread 50% OFF,9.500,"Pumpkin Based Soft Bread With Cheese,Sausage And Bolognese Sauce. Gurih, Empuk",https://food-cms.grab.com/compressed_webp/items/IDITE2025060100494090714/detail/menueditor_item_9682152c325c46a4a61b25a93b558dcc_1748745008732816799.webp,2025-06-01 09:32:01
Potato Chip Ovenbaked 50% OFF,25.000,"Baked Thinly Sliced Potato, Steamed and Baked till Crispy. Tossed With Our Homemade Bumbu; Asin Manis Gurih. Tidak Bikin Serik.",https://food-cms.grab.com/compressed_webp/items/IDITE2025060100541433863/detail/menueditor_item_43996881cc1a470085a56dabcf40fe11_1748739190673843393.webp,2025-06-01 09:32:01
Hazelnut Xtra Dark Choco Susu Almond50% OFF,15.700,"Dairy Free Susu Coklat Dengan Bahan Bahan Dasar Susu Almond, Kacang Hazelnut, Cocoa! Perpaduan Coklat Dark Intense, Kombo Nutty Almond & Hazelnut Membuat Minuman Ini Your Go-To Guilt Free Drinks! Mood Booster and healthy choice",https://food-cms.grab.com/compressed_webp/items/IDITE2025053100221813862/detail/menueditor_item_9daa8f85477146e1911e3003247b316d_1748650843414495759.webp,2025-06-01 09:32:01
2 Botol Jus No Gula,45.000,"Pilihan Jus: Immunity Booster, Multivitamin Juice, Recovery Juice, Glowing Skin, Super Vitamin C, Toxin Cleanser, Super Detox, Flat Tummy",https://food-cms.grab.com/compressed_webp/items/IDITE2025020714195644012/detail/menueditor_item_05c3c814d8d6492a8d16e9d03e707820_1738937951833065273.webp,2025-06-01 09:32:01
Cappucino Cincau Susu Almond,21.850,"Homemade Cincau Segar, No Sugar & Tinggi Serat. Dairy Free Dan Vegan Karna Menggunakan Homemade Susu Almond. Honey Sweetened & Expreso",https://food-cms.grab.com/compressed_webp/items/IDITE2025030816462676479/detail/menueditor_item_b2161ed7f0124519af0d2db410005b2f_1747365215642873472.webp,2025-06-01 09:32:01
Cupcake Paket Hemat ( 3 Free 1 ),50.000,"4 Healthy Cupcake For Lower Price,! No Butter No Milk, Various Flavors, Mix Match !",https://food-cms.grab.com/compressed_webp/items/IDITE2025020817154154812/detail/menueditor_item_f18b453a95954cf188021cdd2133ecea_1739259851678267334.webp,2025-06-01 09:32:01
Hokaido Pumkin Bun,19.000,"Roti Berbahan Dasar Labu Dan Almond, Ukuran Besar Bulat 16cm Dengan Cita Rasa Gurih Manis, Dimaakan Polosan Sudah Enak",https://food-cms.grab.com/compressed_webp/items/IDITE2025020803545846802/detail/menueditor_item_fb97d828a10444a0a68f8ed2aadc9c03_1738986840801673425.webp,2025-06-01 09:32:01
Paket Hemat Roti Labu (5 Free 1),75.000,"Ayo Buat Pencinta Roti Pumkin Di Borong Rotinya, Dengan Harga Murah Meriah",https://food-cms.grab.com/compressed_webp/items/IDITE2024103115413887999/detail/menueditor_item_0615e35ffa0649b2ba1667f75b6f3898_1730389179735627233.webp,2025-06-01 09:32:01
Roti Labu Coklat Keju,14.400,"Roti viral keju. Tidak manis melainkan gurih manis,isian bittersweet dark chocolate mixed with melted cheese menjadikan isian banyak tapi tidak eneg ataupun serik. Bebas mentega dan susu",https://food-cms.grab.com/compressed_webp/items/IDITE2024112702020929179/detail/menueditor_item_7b65702696f64f48bb121514bf41eb9e_1732672769558467690.webp,2025-06-01 09:32:01
Korean Garlic Bread,14.400,"Roti Korea dibuat sehat.Garlic bread dari labu empuk, tanpa mentega tanpa susu. Isian homemade non dairy dan gurih",https://food-cms.grab.com/compressed_webp/items/IDITE2024090702292425195/detail/menueditor_item_a0f90ee88e1a4d5b8e213f6fa155b42d_1727229425707226321.webp,2025-06-01 09:32:01
