Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
BANANA Oolong Milk Tea - Large,61.200,Four Seasons Oolong Milk Tea with Topping Oats And Pearl,https://food-cms.grab.com/compressed_webp/items/IDITE2025041803124758648/detail/menueditor_item_0e69772339c4408faf08ef9c136be8c2_1744945934818888067.webp,2025-06-01 09:34:45
YUZU GRAPE Jasmine Green Tea - Large,61.200,"Smooth, Creamy Dari Buah Winter Melon Dengan Tambahan Fresh Milk",https://food-cms.grab.com/compressed_webp/items/IDITE2025041803113146901/detail/menueditor_item_f418c29ecf6e43c5a18677725ee2884e_1744945860182545307.webp,2025-06-01 09:34:45
WHITE PEACH Four Seasons Oolong Milk Tea - Large,54.000,Manis Alami Dari Buah Wintermelon Fresh,https://food-cms.grab.com/compressed_webp/items/IDITE2024102407380039483/detail/menueditor_item_1a12c5737a5b4a2790dba51e0ca118be_1729755379025944237.webp,2025-06-01 09:34:45
WHITE PEACH Jasmine Green Milk Tea - Large,51.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024102407352243166/detail/menueditor_item_361cb0b4eaaf46d5abe8c4bed8b3e502_1729755244467490452.webp,2025-06-01 09:34:45
Honey Lemon Tea + ENERGY BOOST - Large,67.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024082915221527697/detail/menueditor_item_6106249142a84187b9cfbe60444a3f7f_1725023380812789773.webp,2025-06-01 09:34:45
Rose Tea + ENERGY BOOST - Large,67.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2024082915235070220/detail/menueditor_item_c5425531861b47a2a311e9db713bf1e6_1725023320219900216.webp,2025-06-01 09:34:45
Deep Roast Oolong Milk Tea,34.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023031608325573793/detail/6-C351LXVKTFDALJ_08bf4cd0830d4dc68036c1d4b73eb482_1684738101387303330.webp,2025-06-01 09:34:45
Four Seasons Oolong Milk Tea,40.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023031608401000576/detail/6-C351LXVKTFDALJ_255664e8620242f182151b5a8bbbe2a4_1684738101414466152.webp,2025-06-01 09:34:45
Jasmine Green Milk Tea,34.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023031608362901045/detail/6-C351LXVKTFDALJ_01e30ec93fca4373b74926b820d237f5_1684738101401135444.webp,2025-06-01 09:34:45
Lemon Green Tea,37.200,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023031608450866797/detail/menueditor_item_2ff3413e52c141eca47790e823d7fc7d_1678956292063023950.webp,2025-06-01 09:34:45
Passion Fruit Orange Green Tea,63.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2023031608432572418/detail/menueditor_item_3414fcc39bd5483ca9786194bac1ca30_1678956178868433694.webp,2025-06-01 09:34:45
