Nama Makanan,Harga,Deskripsi,Gambar,Waktu Scraping
Milo Dinosaur,102.000,with added twist that maked you addicted to,https://food-cms.grab.com/compressed_webp/items/IDITE2021121610483973869/detail/6f6dfaa9b8724c1cb1aa59388831a75d_1650451716508146148.webp,2025-06-01 09:45:17
Bandung Singapore,102.000,2 eggs with pepper and sauce,https://food-cms.grab.com/compressed_webp/items/IDITE2021121610474407190/detail/bc8745fa4b35470b98b2d4eca1edafa9_1667481420601234033.webp,2025-06-01 09:45:17
Yuan Yang,90.000,Homemade Ginger Milk Tea,https://food-cms.grab.com/compressed_webp/items/IDITE2021121610470588442/detail/92c3d9533a8b48ddaddc43fd76e5fe53_1653818462442752495.webp,2025-06-01 09:45:17
Kopi Lah,90.000,100% Milo with added Uncle Cheng's secret ingredients twist.,https://food-cms.grab.com/compressed_webp/items/IDITE2021121610464709361/detail/menueditor_item_d1149e79f5344a00ad71bb4cf13b365e_1639653343019232822.webp,2025-06-01 09:45:17
Kopi Susu,90.000,100% Milo with added Uncle Cheng's secret ingredients twist.,https://food-cms.grab.com/compressed_webp/items/IDITE2021121610462069100/detail/menueditor_item_79f43706221d4eceba0f042a33363f5d_1639653395564516685.webp,2025-06-01 09:45:17
Teh Tarik,90.000,Homemade syrup that is typical of Singaporean drinks.,https://food-cms.grab.com/compressed_webp/items/IDITE2022062205424458251/detail/6-C25GAJ4TETE1JE_2700b87505494c4d9da9eb827a118ec0_1684323822147929007.webp,2025-06-01 09:45:17
Butter Sugar Toast,24.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021111513303675237/detail/menueditor_item_db22b1cdc43c4bed92c3bf106495d173_1636983025835561330.webp,2025-06-01 09:45:17
Kaya Peanut Toast,24.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021111513301046958/detail/menueditor_item_1b3d0e361ea444dbbc8a3412f7e89f71_1636982993517954950.webp,2025-06-01 09:45:17
Kaya Cheese Toast,24.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021111513292808974/detail/menueditor_item_fde7fb33dd8e429f879cd5d8228c2e21_1636982948377533616.webp,2025-06-01 09:45:17
Kaya Choco Toast,24.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021111513275097843/detail/menueditor_item_03da95e80cc94962b06fded4b27fec8a_1636982857620712227.webp,2025-06-01 09:45:17
Peanut Toast,24.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211111074754020804/detail/6-C25GAJ4TETE1JE_d3d0a6c22ebe43988b2038b28bda731b_1684323822121418191.webp,2025-06-01 09:45:17
Kaya Toast,25.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE20211111074754010216/detail/menueditor_item_616f6592d742469ebaaa8f5d42d75c52_1636982777407267081.webp,2025-06-01 09:45:17
Choco Toast,24.600,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021111513390354175/detail/menueditor_item_9907db36fbfb47e998b090897fb776e8_1636983532696944152.webp,2025-06-01 09:45:17
Kaya Cheese Steamed Bread,28.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021111513383991089/detail/menueditor_item_270ecd23326f4d15ad3472a766d46e64_1636983486542326626.webp,2025-06-01 09:45:17
Kaya Peanut Steamed Bread,28.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021111513375422485/detail/menueditor_item_6f658bfea40b405faea7984b876a3eef_1636983462803276765.webp,2025-06-01 09:45:17
Kaya Choco Steamed Bread,28.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021111513371772784/detail/menueditor_item_9c502b342df64091adbdcead7e0a6ee5_1636983406056917111.webp,2025-06-01 09:45:17
Peanut Steamed Bread,28.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021111513363040913/detail/menueditor_item_5eef37c89a7041b1b4962d95d5571e4d_1636983356660557772.webp,2025-06-01 09:45:17
Choco Steamed Bread,28.800,Deskripsi tidak ditemukan,https://food-cms.grab.com/compressed_webp/items/IDITE2021111513321530228/detail/menueditor_item_8599cffeed274a9bab81cabc93e7ea3e_1636983088842350530.webp,2025-06-01 09:45:17
